Date,rate_HD_5D,rate_VOO_20D
2016-01,2.4808,1.4254
2016-02,-0.201,0.6142
2016-03,7.4461,6.1243
2016-04,5.6598,4.6014
2016-05,3.3092,5.2878
2016-06,-0.1514,4.687
2016-07,7.8762,7.7174
2016-08,4.5496,6.8637
2016-09,-0.3604,5.9421
2016-10,-5.5003,3.4868
2016-11,1.13,6.843
2016-12,4.4709,8.2789
2017-01,5.7658,9.3935
2017-02,10.9541,12.821
2017-03,12.255,12.0413
2017-04,18.4595,12.4367
2017-05,16.158,13.2406
2017-06,15.0435,14.1802
2017-07,11.3965,15.6892
2017-08,11.6696,15.2834
2017-09,21.2272,16.8657
2017-10,21.7786,18.7799
2017-11,31.6515,21.509
2017-12,37.2871,22.1709
2018-01,43.7892,27.9258
2018-02,29.1847,22.2578
2018-03,25.9572,18.4465
2018-04,29.6697,18.162
2018-05,30.5786,20.337
2018-06,35.3857,20.5057
2018-07,35.8737,24.0401
2018-08,37.6634,27.2093
2018-09,40.857,27.1082
2018-10,19.0161,17.9327
2018-11,22.0622,19.5577
2018-12,15.7217,8.5722
2019-01,23.1513,16.8959
2019-02,23.6023,20.2219
2019-03,28.4283,21.9603
2019-04,35.5424,26.2654
2019-05,25.6371,20.4953
2019-06,37.8902,25.3574
2019-07,40.7152,26.514
2019-08,45.7081,24.0717
2019-09,46.3489,25.9454
2019-10,45.6861,27.4086
2019-11,36.0093,31.384
2019-12,34.816,34.5804
2020-01,40.0723,33.8021
2020-02,36.9388,22.3336
2020-03,31.1342,15.1867
2020-04,53.8115,29.6272
2020-05,69.3942,28.2305
2020-06,68.4132,28.0341
2020-07,78.1412,33.4885
2020-08,89.7143,42.106
2020-09,74.9758,38.2475
2020-10,66.5646,34.0563
2020-11,68.873,42.9575
2020-12,59.0345,47.5016
2021-01,61.0063,45.1166
2021-02,49.0081,43.0879
2021-03,76.1421,49.8512
2021-04,85.4629,56.911
2021-05,80.3701,54.6413
2021-06,80.1549,57.2758
2021-07,84.1711,60.2291
2021-08,79.8577,64.0213
2021-09,79.1928,55.5224
2021-10,99.4408,65.5435
2021-11,113.187,65.5034
2021-12,116.7568,68.4598
2022-01,90.2879,58.7763
2022-02,62.7101,53.2596
2022-03,58.2748,58.2953
2022-04,53.9128,52.2757
2022-05,51.3072,51.0659
2022-06,37.336,38.0304
2022-07,50.145,50.1558
2022-08,44.2065,43.3725
2022-09,37.3641,29.6913
2022-10,46.9142,39.7003
2022-11,48.9498,46.8631
2022-12,43.1514,40.5677
2023-01,41.9971,48.7988
2023-02,35.171,45.5387
2023-03,34.7969,49.6635
2023-04,36.869,48.4614
2023-05,27.2525,48.1923
2023-06,39.0309,57.2072
2023-07,48.9523,61.7125
2023-08,45.6747,59.5229
2023-09,32.7715,51.3631
2023-10,24.7821,47.5518
2023-11,38.0116,60.474
2023-12,52.1041,67.125
2024-01,54.3404,69.1001
2024-02,65.802,77.1309
2024-03,62.7271,83.2841
2024-04,41.3537,75.177
2024-05,42.1656,83.1784
2024-06,45.7182,90.182
2024-07,50.8434,90.9416
2024-08,53.0981,97.1965
2024-09,63.0454,98.31
2024-10,61.275,95.5089
2024-11,73.1255,105.9957
2024-12,56.3185,100.2436
2025-01,65.0085,104.6582
2025-02,58.3134,101.1287
2025-03,52.5371,89.045
2025-04,49.5833,88.6819
2025-05,52.3684,99.6712
2025-06,52.1869,109.046
2025-07,52.09,112.823
2025-08,67.8207,112.1707
2025-09,67.4748,118.6779
2025-10,56.3889,122.8639
2025-11,46.5955,122.3204
2025-12,41.8753,121.4705
2026-01,54.0635,123.6468
2026-02,56.0994,120.852
