Date,rate_PPA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.3645,-1.8027
2016-03,3.3823,4.5695
2016-04,5.5863,3.6217
2016-05,6.0414,4.6859
2016-06,7.4827,4.2011
2016-07,9.9849,7.3141
2016-08,9.3955,6.5393
2016-09,9.9893,5.8417
2016-10,8.0086,3.4057
2016-11,18.8628,7.0013
2016-12,17.1306,8.6582
2017-01,16.1985,9.9058
2017-02,21.5282,13.4199
2017-03,18.1286,12.5861
2017-04,20.4007,12.9516
2017-05,23.0591,13.7442
2017-06,21.7006,14.6714
2017-07,25.5638,16.2352
2017-08,28.7799,15.7466
2017-09,32.5018,17.3266
2017-10,34.1093,19.2474
2017-11,35.9641,22.0133
2017-12,34.7237,22.6523
2018-01,43.4043,28.4864
2018-02,41.2185,22.6807
2018-03,37.3521,18.8927
2018-04,33.1944,18.6249
2018-05,35.0711,20.8091
2018-06,29.688,20.9812
2018-07,37.9804,24.5763
2018-08,37.5108,27.7899
2018-09,42.0763,27.6747
2018-10,24.7441,18.1983
2018-11,25.6723,19.8597
2018-12,12.5067,8.8011
2019-01,25.8704,17.1215
2019-02,34.1259,20.4441
2019-03,29.8879,22.1999
2019-04,37.9712,26.5012
2019-05,34.3069,17.9266
2019-06,43.0592,25.7011
2019-07,44.7163,26.9004
2019-08,47.3052,24.2426
2019-09,46.6828,26.142
2019-10,44.9558,28.3311
2019-11,48.4166,32.3256
2019-12,45.4759,35.5485
2020-01,49.4056,34.7719
2020-02,33.3958,23.2511
2020-03,4.8588,7.5779
2020-04,13.3,21.2186
2020-05,19.5364,26.5774
2020-06,16.1358,28.3766
2020-07,14.7243,35.3325
2020-08,21.5676,44.0777
2020-09,16.1472,37.914
2020-10,12.0428,33.7633
2020-11,34.8891,47.7098
2020-12,40.1922,52.3667
2021-01,32.8164,49.9654
2021-02,37.5649,53.2453
2021-03,48.4713,60.4049
2021-04,52.3939,67.83
2021-05,54.353,67.8968
2021-06,51.2139,70.6358
2021-07,49.8796,73.7106
2021-08,46.8381,77.7187
2021-09,42.5776,68.3779
2021-10,44.687,79.119
2021-11,34.9558,76.6949
2021-12,41.5207,83.6042
2022-01,37.2287,72.9303
2022-02,50.1352,66.8181
2022-03,51.5401,72.1992
2022-04,39.9468,56.2223
2022-05,38.5079,55.8933
2022-06,34.6148,42.4002
2022-07,42.0116,54.8512
2022-08,36.4305,47.8158
2022-09,22.9806,33.7039
2022-10,44.4739,44.0824
2022-11,49.7703,51.4429
2022-12,47.9343,42.1877
2023-01,51.0505,50.5828
2023-02,50.4153,46.2373
2023-03,50.4217,52.2586
2023-04,49.4209,54.0684
2023-05,44.3962,54.1996
2023-06,56.2311,63.548
2023-07,57.1775,68.1942
2023-08,55.524,64.7317
2023-09,46.0791,56.2636
2023-10,48.5955,52.2886
2023-11,59.8814,65.5989
2023-12,67.3426,72.448
2024-01,64.6069,74.4576
2024-02,76.2211,82.7177
2024-03,82.2964,89.0282
2024-04,80.878,80.6052
2024-05,86.8135,88.8335
2024-06,82.1382,96.0415
2024-07,93.1323,97.3583
2024-08,99.4482,101.128
2024-09,101.3025,105.7758
2024-10,98.2816,102.865
2024-11,110.5275,113.7798
2024-12,98.5537,107.7813
2025-01,107.7348,112.3595
2025-02,100.1064,108.6721
2025-03,98.9317,96.0839
2025-04,106.9069,93.6359
2025-05,125.66,104.9003
2025-06,138.7083,114.5225
2025-07,144.7348,118.4064
2025-08,146.7753,121.8959
2025-09,158.6779,128.6764
2025-10,161.3329,133.0211
2025-11,149.1835,132.409
2025-12,156.6737,131.4906
2026-01,184.6328,133.7386
2026-02,193.6365,130.7823
2026-03,167.2827,117.6098
2026-04,168.7215,139.3863
2026-05,183.5642,150.8374
2026-06,180.847,146.5232
2026-07,175.9229,145.3136
2026-08,167.5818,151.4971
