Date,rate_JOBY_5D,rate_VOO_20D
2020-11,0.0,0.0
2020-12,7.5554,7.7004
2021-01,11.3833,5.2991
2021-02,2.9735,8.5791
2021-03,-11.6912,15.7386
2021-04,-11.992,23.1637
2021-05,-9.8268,23.2305
2021-06,-8.3233,25.9695
2021-07,-7.4204,29.0444
2021-08,18.8198,33.0525
2021-09,-7.152,23.7116
2021-10,-19.4093,34.4527
2021-11,-25.5917,32.0286
2021-12,-29.25,38.9379
2022-01,-58.611,28.264
2022-02,-44.1298,22.1518
2022-03,-24.7,27.533
2022-04,-39.1844,11.556
2022-05,-29.216,11.227
2022-06,-39.8664,-2.2661
2022-07,-30.0113,10.1849
2022-08,-31.6776,3.1495
2022-09,-43.0609,-10.9624
2022-10,-34.6333,-0.5839
2022-11,-42.8625,6.7766
2022-12,-52.1489,-2.4786
2023-01,-34.3498,5.9166
2023-02,-28.9101,1.571
2023-03,-33.2479,7.5924
2023-04,-32.2958,9.4022
2023-05,-10.8733,9.5333
2023-06,63.1388,18.8818
2023-07,40.6546,23.5279
2023-08,16.1612,20.0655
2023-09,0.2235,11.5973
2023-10,-18.0956,7.6224
2023-11,-6.8843,20.9327
2023-12,3.8092,27.7817
2024-01,-14.828,29.7913
2024-02,-12.0533,38.0514
2024-03,-15.7731,44.3619
2024-04,-20.1888,35.9389
2024-05,-22.6497,44.1672
2024-06,-18.4623,51.3752
2024-07,-3.8066,52.6921
2024-08,-19.301,56.4617
2024-09,-18.4043,61.1095
2024-10,-21.6693,58.1988
2024-11,46.7359,69.1136
2024-12,32.4532,63.115
2025-01,33.9229,67.6933
2025-02,12.9578,64.0058
2025-03,-3.0517,51.4176
2025-04,1.5415,48.9696
2025-05,25.9771,60.2341
2025-06,69.2956,69.8562
2025-07,165.5636,73.7401
2025-08,123.105,77.2296
2025-09,152.086,84.0101
2025-10,168.0871,88.3549
2025-11,120.8229,87.7427
2025-12,100.3324,86.8243
2026-01,59.1646,89.0723
2026-02,50.6101,86.1161
2026-03,52.3616,81.7491
