Date,rate_PEG_5D,rate_VOO_20D
2016-01,6.5,-3.28
2016-02,6.4847,-1.8027
2016-03,16.2523,4.5695
2016-04,9.6896,3.6217
2016-05,4.5501,4.6859
2016-06,8.906,4.2011
2016-07,6.2884,7.3141
2016-08,-1.7619,6.5393
2016-09,-2.6254,5.8417
2016-10,-1.8765,3.4057
2016-11,-3.3396,7.0013
2016-12,3.9708,8.6582
2017-01,4.5352,9.9058
2017-02,8.4211,13.4199
2017-03,5.1483,12.5861
2017-04,4.1185,12.9516
2017-05,5.9456,13.7442
2017-06,2.0917,14.6714
2017-07,6.6225,16.2352
2017-08,10.6725,15.7466
2017-09,9.8207,17.3266
2017-10,16.3325,19.2474
2017-11,24.6412,22.0133
2017-12,20.9863,22.6523
2018-01,21.0071,28.4864
2018-02,12.3263,22.6807
2018-03,17.0953,18.8927
2018-04,20.904,18.6249
2018-05,22.1111,20.8091
2018-06,25.0827,20.9812
2018-07,18.355,24.5763
2018-08,19.6442,27.7899
2018-09,21.0688,27.6747
2018-10,21.9145,18.1983
2018-11,26.8867,19.8597
2018-12,18.4803,8.8011
2019-01,23.6352,17.1215
2019-02,32.6113,20.4441
2019-03,34.1509,22.1999
2019-04,33.8865,26.5012
2019-05,31.1119,17.9266
2019-06,31.5459,25.7011
2019-07,27.1247,26.9004
2019-08,33.8486,24.2426
2019-09,39.7337,26.142
2019-10,41.6477,28.3311
2019-11,31.8873,32.3256
2019-12,31.6871,35.5485
2020-01,31.3718,34.7719
2020-02,13.339,23.2511
2020-03,0.0754,7.5779
2020-04,13.1509,21.2186
2020-05,13.6859,26.5774
2020-06,10.3072,28.3766
2020-07,25.2469,35.3325
2020-08,16.5502,44.0777
2020-09,23.3253,37.914
2020-10,30.159,33.7633
2020-11,29.9373,47.7098
2020-12,30.5915,52.3667
2021-01,25.9196,49.9654
2021-02,19.7073,53.2453
2021-03,34.6149,60.4049
2021-04,40.661,67.83
2021-05,37.7314,67.8968
2021-06,33.0366,70.6358
2021-07,38.0395,73.7106
2021-08,41.2547,77.7187
2021-09,35.0811,68.3779
2021-10,40.9978,79.119
2021-11,37.5275,76.6949
2021-12,47.4112,83.6042
2022-01,46.3211,72.9303
2022-02,41.9813,66.8181
2022-03,53.8771,72.1992
2022-04,52.3877,56.2223
2022-05,49.271,55.8933
2022-06,38.421,42.4002
2022-07,43.0842,54.8512
2022-08,39.7044,47.8158
2022-09,22.8074,33.7039
2022-10,22.1797,44.0824
2022-11,31.6386,51.4429
2022-12,33.9934,42.1877
2023-01,35.0295,50.5828
2023-02,31.3663,46.2373
2023-03,36.6544,52.2586
2023-04,37.8712,54.0684
2023-05,29.9498,54.1996
2023-06,37.046,63.548
2023-07,37.7496,68.1942
2023-08,32.903,64.7317
2023-09,24.7553,56.2636
2023-10,34.8481,52.2886
2023-11,36.1685,65.5989
2023-12,34.2325,72.448
2024-01,26.9654,74.4576
2024-02,36.2976,82.7177
2024-03,46.7739,89.0282
2024-04,51.3443,80.6052
2024-05,65.3961,88.8335
2024-06,64.1901,96.0415
2024-07,77.0277,97.3583
2024-08,78.4517,101.128
2024-09,97.6279,105.7758
2024-10,97.1089,102.865
2024-11,106.9508,113.7798
2024-12,85.8605,107.7813
2025-01,82.9919,112.3595
2025-02,77.0272,108.6721
2025-03,80.198,96.0839
2025-04,74.2916,93.6359
2025-05,76.0366,104.9003
2025-06,83.543,114.5225
2025-07,95.0266,118.4064
2025-08,78.0926,121.8959
2025-09,81.2158,128.6764
2025-10,74.2807,133.0211
2025-11,80.0317,132.409
2025-12,73.8266,131.4906
2026-01,77.6551,133.7386
2026-02,84.9859,130.7823
2026-03,80.9354,129.7769
