Date,rate_SUI-USD_5D,rate_VOO_20D
2022-03,0.0,0.0
2022-04,-44.3377,-13.2355
2022-05,-53.9031,-13.5645
2022-06,-60.8418,-27.0576
2022-07,-24.1039,-14.6066
2022-08,-13.4294,-21.642
2022-09,-5.9757,-35.7539
2022-10,36.146,-25.3754
2022-11,23.6256,-18.0149
2022-12,2.5189,-27.2701
2023-01,62.5412,-18.875
2023-02,113.6595,-23.2205
2023-03,120.5392,-17.1991
2023-04,177.7878,-15.3893
2023-05,53.4794,-15.2582
2023-06,6.1815,-5.9097
2023-07,-4.8884,-1.2636
2023-08,-26.9465,-4.726
2023-09,-28.9098,-13.1942
2023-10,-28.5917,-17.1692
2023-11,-27.2213,-3.8588
2023-12,-18.3292,2.9902
2024-01,-96.138,4.9998
2024-02,-94.4571,13.2599
2024-03,-72.5277,19.5704
2024-04,-17.7764,11.1474
2024-05,-71.3672,19.3757
2024-06,-68.8184,18.9385
