Date,rate_LYB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-11.4787,-3.7423
2016-03,-0.3989,0.3764
2016-04,7.0214,5.1946
2016-05,0.199,3.5695
2016-06,3.0222,4.8356
2016-07,-7.204,4.3651
2016-08,-5.9379,7.2005
2016-09,2.5635,6.5176
2016-10,5.1054,5.8316
2016-11,1.4082,2.6321
2016-12,21.3673,6.5262
2017-01,12.4937,8.6002
2017-02,23.6031,9.8701
2017-03,20.3969,14.9815
2017-04,16.6851,12.5254
2017-05,5.8329,13.1716
2017-06,2.9435,14.581
2017-07,7.6728,14.626
2017-08,13.4537,16.4591
2017-09,15.1639,15.9061
2017-10,29.0179,17.2911
2017-11,33.3376,19.4181
2017-12,32.7381,21.7575
2018-01,40.355,22.6249
2018-02,47.8405,28.3844
2018-03,34.2856,21.0506
2018-04,33.6887,18.8566
2018-05,30.1091,18.843
2018-06,40.6697,22.0592
2018-07,38.9782,20.962
2018-08,38.04,24.4135
2018-09,40.1665,27.7869
2018-10,29.4105,28.1445
2018-11,14.3208,19.3954
2018-12,14.869,19.8359
2019-01,5.683,8.7501
2019-02,12.7941,17.203
2019-03,8.8619,21.2677
2019-04,13.8931,23.6016
2019-05,12.6291,25.5902
2019-06,-3.5543,17.8911
2019-07,17.5625,26.7327
2019-08,9.3764,25.8061
2019-09,3.6554,24.2046
2019-10,17.0238,24.595
2019-11,26.4002,29.5299
2019-12,28.6462,32.3145
2020-01,30.7275,35.5516
2020-02,7.2127,34.7733
2020-03,2.5973,23.2161
2020-04,-35.385,2.6957
2020-05,-20.018,17.923
2020-06,-4.8118,27.1545
2020-07,0.2623,29.2791
2020-08,-4.4702,35.3897
2020-09,9.5086,45.4969
2020-10,8.8242,38.8421
2020-11,9.1647,33.8054
2020-12,41.5906,49.4413
2021-01,50.5836,52.4925
2021-02,41.7309,52.5474
2021-03,72.9097,57.1165
2021-04,75.5624,62.2404
2021-05,71.385,68.0147
2021-06,91.8376,67.9506
2021-07,74.1003,71.7835
2021-08,66.098,73.9065
2021-09,68.2165,78.108
2021-10,63.8525,70.559
2021-11,60.3035,79.7147
2021-12,48.7301,74.8714
2022-01,61.4939,83.8439
2022-02,73.3655,74.2485
2022-03,61.7911,64.4857
2022-04,83.8994,72.8765
2022-05,87.5465,56.3809
2022-06,100.9651,54.7432
2022-07,86.6038,43.9638
2022-08,83.971,54.5402
2022-09,79.7224,48.4061
2022-10,64.3631,33.808
2022-11,70.5085,43.6413
2022-12,90.7164,51.6237
2023-01,86.0206,42.3283
2023-02,116.5142,52.4008
2023-03,115.8446,45.8599
2023-04,114.4679,52.4428
2023-05,112.3182,54.1535
2023-06,106.8575,55.8684
2023-07,117.9271,63.7729
2023-08,130.6192,67.9151
2023-09,145.5161,65.3142
2023-10,128.7934,56.4671
2023-11,115.871,54.158
2023-12,137.0012,66.8181
2024-01,134.5282,72.7134
2024-02,131.9878,77.0248
2024-03,145.4862,84.7703
2024-04,156.5751,89.0895
2024-05,148.6316,80.3005
2024-06,146.9107,89.1407
2024-07,136.976,96.817
2024-08,144.3565,94.9948
2024-09,147.6713,101.4737
2024-10,139.05,104.2286
2024-11,114.7849,104.0979
2024-12,105.7612,114.1559
2025-01,85.7871,108.1307
2025-02,88.5578,112.719
2025-03,90.5544,109.0154
2025-04,76.2785,97.097
2025-05,46.1857,95.2965
2025-06,41.226,105.2137
2025-07,56.0246,114.7559
2025-08,35.7612,115.142
2025-09,46.3551,122.2543
2025-10,25.4148,129.8729
2025-11,20.0272,133.4127
2025-12,27.2685,131.7276
2026-01,14.7892,131.8756
2026-02,33.2283,120.852
