Date,rate_ECL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.6025,-3.7423
2016-03,-3.7693,0.3764
2016-04,4.4595,5.1946
2016-05,5.6717,3.5695
2016-06,7.7353,4.8356
2016-07,7.6686,4.3651
2016-08,6.3966,7.2005
2016-09,9.5261,6.5176
2016-10,8.1658,5.8316
2016-11,-1.1097,2.6321
2016-12,4.587,6.5262
2017-01,4.0558,8.6002
2017-02,6.8856,9.8701
2017-03,10.8701,14.9815
2017-04,10.6463,12.5254
2017-05,13.4044,13.1716
2017-06,16.5568,14.581
2017-07,15.7006,14.626
2017-08,13.7259,16.4591
2017-09,14.2559,15.9061
2017-10,10.2638,17.2911
2017-11,12.0632,19.4181
2017-12,14.6102,21.7575
2018-01,13.7437,22.6249
2018-02,16.8254,28.3844
2018-03,7.9703,21.0506
2018-04,15.0079,18.8566
2018-05,22.8692,18.843
2018-06,19.1482,22.0592
2018-07,16.1464,20.962
2018-08,19.2226,24.4135
2018-09,23.3569,27.7869
2018-10,28.6203,28.1445
2018-11,23.9842,19.3954
2018-12,29.5606,19.8359
2019-01,18.5655,8.7501
2019-02,27.3629,17.203
2019-03,35.563,21.2677
2019-04,41.7466,23.6016
2019-05,43.6216,25.5902
2019-06,43.8918,17.8911
2019-07,52.2567,26.7327
2019-08,55.0276,25.8061
2019-09,57.8921,24.2046
2019-10,49.0203,24.595
2019-11,44.2658,29.5299
2019-12,40.0874,32.3145
2020-01,44.3153,35.5516
2020-02,45.727,34.7733
2020-03,33.2469,23.2161
2020-04,8.1392,2.6957
2020-05,39.8519,17.923
2020-06,53.0445,27.1545
2020-07,45.9939,29.2791
2020-08,35.6157,35.3897
2020-09,45.4974,45.4969
2020-10,41.7484,38.8421
2020-11,31.3734,33.8054
2020-12,59.6534,49.4413
2021-01,53.5724,52.4925
2021-02,47.0957,52.5474
2021-03,48.2933,57.1165
2021-04,51.7927,62.2404
2021-05,56.0432,68.0147
2021-06,48.941,67.9506
2021-07,44.4432,71.7835
2021-08,51.7856,73.9065
2021-09,53.8539,78.108
2021-10,45.6963,70.559
2021-11,51.0634,79.7147
2021-12,48.8428,74.8714
2022-01,58.1168,83.8439
2022-02,28.5296,74.2485
2022-03,14.002,64.4857
2022-04,20.7358,72.8765
2022-05,13.0949,56.3809
2022-06,8.609,54.7432
2022-07,6.3923,43.9638
2022-08,12.6333,54.5402
2022-09,9.3433,48.4061
2022-10,-2.5233,33.808
2022-11,-3.4663,43.6413
2022-12,2.6262,51.6237
2023-01,-1.3563,42.3283
2023-02,5.5512,52.4008
2023-03,7.3753,45.8599
2023-04,12.3926,52.4428
2023-05,14.4542,54.1535
2023-06,14.5209,55.8684
2023-07,27.6728,63.7729
2023-08,26.3292,67.9151
2023-09,24.3606,65.3142
2023-10,15.4237,56.4671
2023-11,13.7681,54.158
2023-12,30.7392,66.8181
2024-01,34.8375,72.7134
2024-02,35.616,77.0248
2024-03,52.48,84.7703
2024-04,53.9635,89.0895
2024-05,51.4368,80.3005
2024-06,55.7701,89.1407
2024-07,58.1904,96.817
2024-08,60.7963,94.9948
2024-09,68.8401,101.4737
2024-10,68.808,104.2286
2024-11,62.2019,104.0979
2024-12,64.3951,114.1559
2025-01,54.7116,108.1307
2025-02,64.6525,112.719
2025-03,76.4052,109.0154
2025-04,66.5124,97.097
2025-05,64.8406,95.2965
2025-06,72.7191,105.2137
2025-07,77.0299,114.7559
2025-08,68.8545,115.142
2025-09,78.5938,122.2543
2025-10,73.6311,129.8729
2025-11,64.4681,133.4127
2025-12,74.449,131.7276
2026-01,67.7056,131.8756
2026-02,54.6758,120.852
