Date,rate_CVNA_5D,rate_VOO_20D
2017-04,0.0,0.0
2017-05,-3.0699,0.1423
2017-06,-14.7435,1.9702
2017-07,97.762,2.0464
2017-08,58.3965,3.8355
2017-09,35.9557,3.2934
2017-10,10.0123,4.6435
2017-11,3.6126,6.5695
2017-12,31.8623,8.5789
2018-01,36.9796,9.198
2018-02,28.8804,14.2
2018-03,30.6156,7.3669
2018-04,53.4932,5.4926
2018-05,75.8183,5.6522
2018-06,77.8452,8.6869
2018-07,154.9589,7.7816
2018-08,157.8849,10.9736
2018-09,267.9429,14.0156
2018-10,213.4056,14.3042
2018-11,133.3958,6.484
2018-12,121.1028,7.0458
2019-01,62.7047,-2.716
2019-02,72.4092,5.2053
2019-03,109.268,9.0388
2019-04,176.6086,11.2519
2019-05,223.2745,13.1227
2019-06,157.6583,6.2406
2019-07,185.4459,14.3715
2019-08,166.9202,13.5815
2019-09,237.4593,12.195
2019-10,172.2081,12.6262
2019-11,229.0563,17.1651
2019-12,270.8817,19.7154
2020-01,250.2286,22.6552
2020-02,195.1888,21.94
2020-03,202.9842,11.4845
2020-04,81.325,-7.0052
2020-05,169.2534,7.054
2020-06,220.0208,15.5649
2020-07,329.1404,17.554
2020-08,420.1779,23.1571
2020-09,647.6629,32.3611
2020-10,667.4033,26.2637
2020-11,485.3043,21.6809
2020-12,678.0794,35.9309
2021-01,627.7948,38.6554
2021-02,687.7834,38.6464
2021-03,812.656,42.7446
2021-04,661.9049,47.3297
2021-05,704.6399,52.4865
2021-06,656.9568,52.327
2021-07,739.0643,55.7078
2021-08,803.9843,57.5295
2021-09,770.1709,61.2307
2021-10,684.2962,54.2913
2021-11,669.5333,62.4934
2021-12,568.8003,58.015
2022-01,472.9263,66.0395
2022-02,301.4967,57.2763
2022-03,248.9476,48.4021
2022-04,183.9475,55.9392
2022-05,36.3027,41.012
2022-06,-37.9726,39.5335
2022-07,-48.2942,29.8183
2022-08,-27.6323,39.3937
2022-09,-20.9116,33.869
2022-10,-50.8268,20.7239
2022-11,-62.417,29.6627
2022-12,-79.5157,36.9086
2023-01,-87.3861,28.5338
2023-02,-60.3474,37.6749
2023-03,-73.3875,31.7848
2023-04,-69.6407,37.7685
2023-05,-77.8354,39.3357
2023-06,-47.0709,40.9042
2023-07,-12.1421,48.0661
2023-08,66.7624,51.8119
2023-09,71.7718,49.4547
2023-10,41.0482,41.4569
2023-11,-12.9989,39.3871
2023-12,18.0498,50.859
2024-01,77.2072,56.1915
2024-02,41.6042,60.0827
2024-03,175.2362,67.0728
2024-04,185.7593,70.9531
2024-05,184.5529,62.9788
2024-06,224.2041,70.955
2024-07,300.0218,77.8662
2024-08,367.322,76.184
2024-09,376.155,82.0058
2024-10,450.877,84.4553
2024-11,611.3745,84.2968
2024-12,701.1406,93.339
2025-01,519.7165,87.8509
2025-02,647.4374,91.9517
2025-03,597.587,88.5667
2025-04,530.5296,77.7796
2025-05,640.5506,76.1354
2025-06,853.4276,85.0622
2025-07,876.8618,93.6389
2025-08,952.5777,93.9499
2025-09,954.8877,100.3247
2025-10,1011.5591,107.148
2025-11,754.1173,110.2882
2025-12,936.7151,108.7196
2026-01,1055.8631,108.8057
2026-02,329.2493,108.4152
