Date,rate_CRL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-3.9055,-1.8027
2016-03,0.1036,4.5695
2016-04,3.8785,3.6217
2016-05,11.6273,4.6859
2016-06,5.1531,4.2011
2016-07,11.1704,7.3141
2016-08,3.8625,6.5393
2016-09,3.541,5.8417
2016-10,-5.9895,3.4057
2016-11,-11.1701,7.0013
2016-12,-3.7087,8.6582
2017-01,2.3919,9.9058
2017-02,9.8813,13.4199
2017-03,12.9159,12.5861
2017-04,11.7974,12.9516
2017-05,13.9589,13.7442
2017-06,24.2278,14.6714
2017-07,19.3813,16.2352
2017-08,31.0984,15.7466
2017-09,28.7159,17.3266
2017-10,37.1466,19.2474
2017-11,21.4454,22.0133
2017-12,26.6071,22.6523
2018-01,20.9552,28.4864
2018-02,21.3949,22.6807
2018-03,20.8108,18.8927
2018-04,17.2078,18.6249
2018-05,20.3069,20.8091
2018-06,24.8733,20.9812
2018-07,37.3535,24.5763
2018-08,35.3102,27.7899
2018-09,46.2059,27.6747
2018-10,31.212,18.1983
2018-11,44.2096,19.8597
2018-12,20.0474,8.8011
2019-01,30.0565,17.1215
2019-02,49.1247,20.4441
2019-03,51.0289,22.1999
2019-04,44.8252,26.5012
2019-05,28.4352,17.9266
2019-06,44.4822,25.7011
2019-07,35.9903,26.9004
2019-08,31.8348,24.2426
2019-09,32.2945,26.142
2019-10,29.291,28.3311
2019-11,43.7021,32.3256
2019-12,50.1607,35.5485
2020-01,50.9121,34.7719
2020-02,50.8523,23.2511
2020-03,21.6465,7.5779
2020-04,39.0587,21.2186
2020-05,71.8076,26.5774
2020-06,65.4411,28.3766
2020-07,87.402,35.3325
2020-08,104.4467,44.0777
2020-09,109.5737,37.914
2020-10,108.8012,33.7633
2020-11,113.1526,47.7098
2020-12,125.0545,52.3667
2021-01,131.1999,49.9654
2021-02,152.9508,53.2453
2021-03,153.7279,60.4049
2021-04,188.1986,67.83
2021-05,190.0505,67.8968
2021-06,214.2861,70.6358
2021-07,242.1664,73.7106
2021-08,269.2981,77.7187
2021-09,239.7655,68.3779
2021-10,265.645,79.119
2021-11,195.2128,76.6949
2021-12,201.2338,83.6042
2022-01,161.2474,72.9303
2022-02,128.7388,66.8181
2022-03,121.4507,72.1992
2022-04,86.977,56.2223
2022-05,80.135,55.8933
2022-06,63.7641,42.4002
2022-07,90.747,54.8512
2022-08,55.3663,47.8158
2022-09,48.3315,33.7039
2022-10,59.3295,44.0824
2022-11,70.8353,51.4429
2022-12,62.0771,42.1877
2023-01,80.1056,50.5828
2023-02,61.5521,46.2373
2023-03,48.0004,52.2586
2023-04,38.9191,54.0684
2023-05,40.8519,54.1996
2023-06,52.6028,63.548
2023-07,51.512,68.1942
2023-08,48.9961,64.7317
2023-09,40.6795,56.2636
2023-10,20.5014,52.2886
2023-11,40.7878,65.5989
2023-12,68.3135,72.448
2024-01,53.3592,74.4576
2024-02,79.5319,82.7177
2024-03,90.4532,89.0282
2024-04,60.2343,80.6052
2024-05,45.3128,88.8335
2024-06,43.5774,96.0415
2024-07,69.143,97.3583
2024-08,36.5282,101.128
2024-09,35.6439,105.7758
2024-10,22.7085,102.865
2024-11,36.5126,113.7798
2024-12,26.2934,107.7813
2025-01,12.5282,112.3595
2025-02,12.7888,108.6721
2025-03,2.6137,96.0839
2025-04,-19.0848,93.6359
2025-05,-7.2963,104.9003
2025-06,3.7552,114.5225
2025-07,15.9317,118.4064
2025-08,11.4921,121.8959
2025-09,6.7276,128.6764
2025-10,22.666,133.0211
2025-11,21.1651,132.409
2025-12,35.4745,131.4906
2026-01,42.6268,133.7386
2026-02,20.6709,130.7823
2026-03,18.6158,127.7382
