Date,rate_MKC_5D,rate_VOO_20D
2016-01,4.2435,-3.28
2016-02,8.088,-1.8027
2016-03,12.2953,4.5695
2016-04,3.2269,3.6217
2016-05,6.1664,4.6859
2016-06,15.427,4.2011
2016-07,9.1132,7.3141
2016-08,7.6776,6.5393
2016-09,4.7823,5.8417
2016-10,0.539,3.4057
2016-11,-4.287,7.0013
2016-12,-0.9574,8.6582
2017-01,1.4639,9.9058
2017-02,4.4681,13.4199
2017-03,3.2057,12.5861
2017-04,5.9751,12.9516
2017-05,10.1564,13.7442
2017-06,2.5503,14.6714
2017-07,0.5936,16.2352
2017-08,0.3872,15.7466
2017-09,8.2215,17.3266
2017-10,6.0666,19.2474
2017-11,8.5937,22.0133
2017-12,8.4732,22.6523
2018-01,15.405,28.4864
2018-02,12.7586,22.6807
2018-03,11.8778,18.8927
2018-04,12.0604,18.6249
2018-05,7.0151,20.8091
2018-06,22.7175,20.9812
2018-07,25.1402,24.5763
2018-08,32.109,27.7899
2018-09,38.339,27.6747
2018-10,51.5504,18.1983
2018-11,56.28,19.8597
2018-12,45.3899,8.8011
2019-01,28.0344,17.1215
2019-02,39.9898,20.4441
2019-03,53.9008,22.1999
2019-04,57.6646,26.5012
2019-05,58.3939,17.9266
2019-06,55.9685,25.7011
2019-07,59.8781,26.9004
2019-08,62.8679,24.2426
2019-09,54.9665,26.142
2019-10,59.6199,28.3311
2019-11,66.7745,32.3256
2019-12,66.4569,35.5485
2020-01,58.9217,34.7719
2020-02,41.1817,23.2511
2020-03,35.5992,7.5779
2020-04,52.2434,21.2186
2020-05,68.9847,26.5774
2020-06,71.7579,28.3766
2020-07,87.5074,35.3325
2020-08,96.7078,44.0777
2020-09,83.5821,37.914
2020-10,71.1475,33.7633
2020-11,76.0261,47.7098
2020-12,79.3299,52.3667
2021-01,66.753,49.9654
2021-02,55.9602,53.2453
2021-03,64.0367,60.4049
2021-04,67.0897,67.83
2021-05,63.6697,67.8968
2021-06,61.3561,70.6358
2021-07,54.7654,73.7106
2021-08,57.8333,77.7187
2021-09,47.418,68.3779
2021-10,47.144,79.119
2021-11,56.6551,76.6949
2021-12,76.1001,83.6042
2022-01,81.7574,72.9303
2022-02,71.4054,66.8181
2022-03,78.722,72.1992
2022-04,81.0026,56.2223
2022-05,65.9104,55.8933
2022-06,48.2418,42.4002
2022-07,56.8729,54.8512
2022-08,50.2873,47.8158
2022-09,26.9012,33.7039
2022-10,41.6198,44.0824
2022-11,52.8431,51.4429
2022-12,48.8133,42.1877
2023-01,34.3528,50.5828
2023-02,32.5207,46.2373
2023-03,47.9662,52.2586
2023-04,58.3979,54.0684
2023-05,53.9135,54.1996
2023-06,55.9697,63.548
2023-07,61.4392,68.1942
2023-08,47.5327,64.7317
2023-09,35.5198,56.2636
2023-10,16.2733,52.2886
2023-11,17.7774,65.5989
2023-12,24.838,72.448
2024-01,24.1084,74.4576
2024-02,25.1249,82.7177
2024-03,39.2933,89.0282
2024-04,39.8244,80.6052
2024-05,32.4562,88.8335
2024-06,29.7989,96.0415
2024-07,41.3634,97.3583
2024-08,46.4648,101.128
2024-09,50.1602,105.7758
2024-10,43.0528,102.865
2024-11,42.9484,113.7798
2024-12,39.426,107.7813
2025-01,40.8673,112.3595
2025-02,50.2727,108.6721
2025-03,49.2762,96.0839
2025-04,39.4444,93.6359
2025-05,32.004,104.9003
2025-06,37.315,114.5225
2025-07,28.4185,118.4064
2025-08,27.7095,121.8959
2025-09,21.2121,128.6764
2025-10,16.8659,133.0211
2025-11,22.7579,132.409
2025-12,24.5964,131.4906
2026-01,12.9325,133.7386
2026-02,29.6159,130.7823
2026-03,27.3008,129.7769
