Date,rate_WST_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.8957,-0.6039
2016-03,16.4182,5.2168
2016-04,14.9527,3.9893
2016-05,17.7323,4.6886
2016-06,15.885,4.1237
2016-07,20.1188,7.1795
2016-08,19.6962,6.3603
2016-09,6.9603,5.6281
2016-10,8.5756,3.196
2016-11,15.2351,6.7601
2016-12,19.2207,8.3626
2017-01,19.1227,10.2536
2017-02,14.6339,13.6522
2017-03,12.2042,12.7005
2017-04,25.6754,12.9818
2017-05,30.6635,13.693
2017-06,25.4118,13.5288
2017-07,16.5779,15.0481
2017-08,13.5741,14.5515
2017-09,24.782,16.1037
2017-10,30.3276,17.9557
2017-11,27.0851,20.6805
2017-12,24.3384,21.3029
2018-01,26.4368,28.0338
2018-02,9.09,22.1441
2018-03,10.1117,18.3021
2018-04,9.925,18.0902
2018-05,15.501,20.2208
2018-06,22.7018,20.3415
2018-07,34.8123,23.8746
2018-08,42.5947,27.0072
2018-09,50.4057,27.7347
2018-10,27.8399,18.1437
2018-11,31.3411,19.7418
2018-12,16.6448,8.5778
2019-01,28.9868,17.1263
2019-02,24.1058,20.3748
2019-03,29.7776,22.0514
2019-04,44.9651,26.2651
2019-05,33.1506,17.5943
2019-06,44.4225,25.308
2019-07,57.3111,26.4355
2019-08,65.1601,23.7232
2019-09,61.0287,26.1617
2019-10,62.0159,28.2707
2019-11,64.0267,32.1761
2019-12,66.1318,35.3247
2020-01,72.5167,35.2749
2020-02,64.9336,23.5454
2020-03,65.219,7.7105
2020-04,103.7407,21.425
2020-05,129.9802,26.7132
2020-06,139.0115,28.4357
2020-07,179.6663,35.3124
2020-08,191.466,43.9511
2020-09,178.5499,37.6938
2020-10,172.2688,33.4637
2020-11,172.2364,47.2943
2020-12,177.0289,51.8455
2021-01,193.0156,50.305
2021-02,171.3224,53.4604
2021-03,169.3158,59.4101
2021-04,210.5986,66.6882
2021-05,224.6651,66.6274
2021-06,231.5724,69.2184
2021-07,275.8202,72.1455
2021-08,307.2375,75.992
2021-09,278.16,66.6118
2021-10,278.4492,77.1553
2021-11,285.3605,74.6519
2021-12,303.6548,81.397
2022-01,234.8487,70.7122
2022-02,226.148,64.6001
2022-03,242.5414,69.8532
2022-04,160.2738,54.0273
2022-05,154.1604,53.6333
2022-06,145.4919,40.2902
2022-07,176.7108,52.5094
2022-08,136.9341,45.531
2022-09,95.0012,31.5965
2022-10,81.1042,41.7445
2022-11,83.7467,48.9584
2022-12,83.1402,39.838
2023-01,106.8201,48.5632
2023-02,145.1723,44.2258
2023-03,165.907,48.9578
2023-04,175.2128,50.6836
2023-05,152.9194,50.7741
2023-06,186.9031,59.884
2023-07,174.071,64.3798
2023-08,200.6615,60.953
2023-09,175.0639,52.6248
2023-10,131.6685,48.7132
2023-11,153.7521,61.6976
2023-12,152.9721,68.3392
2024-01,168.133,71.0275
2024-02,155.742,79.0476
2024-03,180.4423,83.99
2024-04,151.7058,75.7344
2024-05,131.8108,83.6813
2024-06,128.9937,89.2836
2024-07,111.7381,90.5002
2024-08,115.6995,94.0822
2024-09,106.4407,98.2932
2024-10,110.6379,95.412
2024-11,121.6676,105.8418
2024-12,121.7037,99.9875
2025-01,131.1684,105.351
2025-02,56.5248,101.7087
2025-03,50.2986,89.4719
2025-04,41.5372,87.0451
2025-05,40.8361,97.8575
2025-06,45.7365,107.0685
2025-07,58.9923,110.7404
2025-08,63.5148,114.0337
2025-09,73.6949,121.6081
2025-10,85.9687,125.7153
2025-11,82.1506,125.0226
2025-12,80.0171,124.0393
2026-01,51.3849,127.2713
2026-02,-11.3169,125.3185
