Date,rate_WELL_5D,rate_VOO_20D
2016-01,-7.4642,1.4254
2016-02,0.3134,0.6142
2016-03,7.7198,6.1243
2016-04,5.9518,4.6014
2016-05,7.3432,5.2878
2016-06,17.0855,4.687
2016-07,19.3801,7.7174
2016-08,16.8873,6.8637
2016-09,12.0746,5.9421
2016-10,1.6112,3.4868
2016-11,-2.7624,6.843
2016-12,4.0801,8.2789
2017-01,2.7859,9.3935
2017-02,12.9463,12.821
2017-03,12.8599,12.0413
2017-04,13.0456,12.4367
2017-05,17.8875,13.2406
2017-06,20.5135,14.1802
2017-07,17.1544,15.6892
2017-08,20.1524,15.2834
2017-09,14.3743,16.8657
2017-10,8.4765,18.7799
2017-11,10.2928,21.509
2017-12,3.8811,22.1709
2018-01,-2.4588,27.9258
2018-02,-13.9151,22.2578
2018-03,-10.2538,18.4465
2018-04,-11.5213,18.162
2018-05,-2.7307,20.337
2018-06,5.8621,20.5057
2018-07,5.4913,24.0401
2018-08,13.678,27.2093
2018-09,9.3142,27.1082
2018-10,12.0481,17.9327
2018-11,20.5874,19.5577
2018-12,14.7092,8.5722
2019-01,27.7966,16.8959
2019-02,23.3142,20.2219
2019-03,28.1091,21.9603
2019-04,22.462,26.2654
2019-05,34.3251,20.4953
2019-06,33.3363,25.3574
2019-07,30.9363,26.514
2019-08,41.663,24.0717
2019-09,42.3984,25.9454
2019-10,41.5509,27.4086
2019-11,32.6673,31.384
2019-12,27.6304,34.5804
2020-01,31.8787,33.8021
2020-02,26.3074,22.3336
2020-03,11.4106,15.1867
2020-04,-1.0577,29.6272
2020-05,-7.2108,28.2305
2020-06,-5.2045,28.0341
2020-07,-3.5793,33.4885
2020-08,-0.6346,42.106
2020-09,-0.4907,38.2475
2020-10,-8.1281,34.0563
2020-11,10.249,42.9575
2020-12,7.6491,47.5016
2021-01,-2.2577,45.1166
2021-02,9.854,43.0879
2021-03,9.2353,49.8512
2021-04,11.2363,56.911
2021-05,11.105,54.6413
2021-06,23.2522,57.2758
2021-07,28.431,60.2291
2021-08,29.9488,64.0213
2021-09,21.935,55.5224
2021-10,18.6569,65.5435
2021-11,20.3637,65.5034
2021-12,23.4647,68.4598
2022-01,23.5864,58.7763
2022-02,22.9053,53.2596
2022-03,41.5001,58.2953
2022-04,39.4276,52.2757
2022-05,39.5669,51.0659
2022-06,28.5497,38.0304
2022-07,34.3854,50.1558
2022-08,19.8757,43.3725
2022-09,0.3634,29.6913
2022-10,-4.7611,39.7003
2022-11,9.5343,46.8631
2022-12,7.9012,40.5677
2023-01,23.3892,48.7988
2023-02,19.6726,45.5387
2023-03,21.1905,49.6635
2023-04,33.6583,48.4614
2023-05,27.7934,48.1923
2023-06,36.5908,57.2072
2023-07,38.3087,61.7125
2023-08,38.4764,59.5229
2023-09,35.405,51.3631
2023-10,35.3548,47.5518
2023-11,41.0741,60.474
2023-12,42.3049,67.125
2024-01,36.1073,69.1001
2024-02,45.526,77.1309
2024-03,47.0704,83.2841
2024-04,49.5027,75.177
2024-05,65.1475,83.1784
2024-06,65.428,90.182
2024-07,75.8558,90.9416
2024-08,86.2245,97.1965
2024-09,93.5589,98.31
2024-10,100.4669,95.5089
2024-11,105.4087,105.9957
2024-12,86.6146,100.2436
2025-01,101.2266,104.6582
2025-02,126.2829,101.1287
2025-03,123.2711,89.045
2025-04,116.9846,88.6819
2025-05,119.3226,99.6712
2025-06,117.4969,109.046
2025-07,132.4369,112.823
2025-08,134.8132,112.1707
2025-09,147.3509,118.6779
2025-10,150.1017,122.8639
2025-11,187.3058,122.3204
2025-12,154.7964,121.4705
2026-01,157.2718,123.6468
2026-02,181.4777,120.852
