Date,rate_QCOM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.7654,-1.8027
2016-03,4.3389,4.5695
2016-04,2.1373,3.6217
2016-05,14.7487,4.6859
2016-06,9.589,4.2011
2016-07,26.5218,7.3141
2016-08,25.3539,6.5393
2016-09,32.9578,5.8417
2016-10,30.0771,3.4057
2016-11,27.2804,7.0013
2016-12,20.2048,8.6582
2017-01,-2.7167,9.9058
2017-02,4.0356,13.4199
2017-03,5.2713,12.5861
2017-04,-1.6283,12.9516
2017-05,9.1117,13.7442
2017-06,4.5116,14.6714
2017-07,0.449,16.2352
2017-08,-0.2545,15.7466
2017-09,-1.0385,17.3266
2017-10,-2.5722,19.2474
2017-11,27.6161,22.0133
2017-12,22.1139,22.6523
2018-01,29.2322,28.4864
2018-02,23.1662,22.6807
2018-03,4.3019,18.8927
2018-04,-4.1019,18.6249
2018-05,10.5795,20.8091
2018-06,6.4013,20.9812
2018-07,21.2605,24.5763
2018-08,29.2608,27.7899
2018-09,35.7286,27.6747
2018-10,17.5743,18.1983
2018-11,8.4385,19.8597
2018-12,6.8493,8.8011
2019-01,-7.1583,17.1215
2019-02,0.2862,20.4441
2019-03,8.2262,22.1999
2019-04,62.9696,26.5012
2019-05,25.3035,17.9266
2019-06,43.1012,25.7011
2019-07,36.6061,26.9004
2019-08,44.3859,24.2426
2019-09,41.7967,26.142
2019-10,48.6,28.3311
2019-11,53.1829,32.3256
2019-12,61.7142,35.5485
2020-01,55.1499,34.7719
2020-02,41.4007,23.2511
2020-03,22.5938,7.5779
2020-04,42.114,21.2186
2020-05,45.3592,26.5774
2020-06,64.1481,28.3766
2020-07,88.7379,35.3325
2020-08,111.0258,44.0777
2020-09,107.6875,37.914
2020-10,115.7056,33.7633
2020-11,154.9478,47.7098
2020-12,162.2891,52.3667
2021-01,166.3383,49.9654
2021-02,129.7428,53.2453
2021-03,122.7206,60.4049
2021-04,131.0286,67.83
2021-05,121.9868,67.8968
2021-06,134.973,70.6358
2021-07,144.1824,73.7106
2021-08,137.0402,77.7187
2021-09,107.6492,68.3779
2021-10,112.5987,79.119
2021-11,186.2911,76.6949
2021-12,188.4751,83.6042
2022-01,174.79,72.9303
2022-02,166.5783,66.8181
2022-03,136.023,72.1992
2022-04,114.2146,56.2223
2022-05,118.104,55.8933
2022-06,94.2513,42.4002
2022-07,119.2562,54.8512
2022-08,99.6847,47.8158
2022-09,69.5823,33.7039
2022-10,75.7138,44.0824
2022-11,89.0249,51.4429
2022-12,63.3894,42.1877
2023-01,97.0285,50.5828
2023-02,81.6414,46.2373
2023-03,87.7418,52.2586
2023-04,70.9789,54.0684
2023-05,66.4195,54.1996
2023-06,73.8482,63.548
2023-07,92.1111,68.1942
2023-08,66.7841,64.7317
2023-09,61.0223,56.2636
2023-10,57.387,52.2886
2023-11,86.7374,65.5989
2023-12,108.2348,72.448
2024-01,112.6709,74.4576
2024-02,125.9226,82.7177
2024-03,140.9497,89.0282
2024-04,134.6473,80.6052
2024-05,188.2264,88.8335
2024-06,179.5475,96.0415
2024-07,152.3843,97.3583
2024-08,143.1829,101.128
2024-09,135.7557,105.7758
2024-10,124.4961,102.865
2024-11,117.5053,113.7798
2024-12,110.8799,107.7813
2025-01,136.2222,112.3595
2025-02,113.5788,108.6721
2025-03,108.8935,96.0839
2025-04,100.9612,93.6359
2025-05,95.7589,104.9003
2025-06,114.9702,114.5225
2025-07,97.1848,118.4064
2025-08,115.0172,121.8959
2025-09,122.7107,128.6764
2025-10,141.026,133.0211
2025-11,122.8648,132.409
2025-12,126.92,131.4906
2026-01,100.1859,133.7386
2026-02,87.2371,130.7823
2026-03,76.9071,126.4154
