Date,rate_NDAQ_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.9861,-0.6039
2016-03,5.5541,5.2168
2016-04,-3.1659,3.9893
2016-05,3.6979,4.6886
2016-06,1.5102,4.1237
2016-07,10.7116,7.1795
2016-08,9.8884,6.3603
2016-09,3.5552,5.6281
2016-10,-2.2268,3.196
2016-11,-1.8218,6.7601
2016-12,3.4957,8.3626
2017-01,8.7397,10.2536
2017-02,8.8749,13.6522
2017-03,6.0658,12.7005
2017-04,4.7998,12.9818
2017-05,2.6575,13.693
2017-06,8.8408,13.5288
2017-07,12.6682,15.0481
2017-08,13.4667,14.5515
2017-09,16.6117,16.1037
2017-10,8.4382,17.9557
2017-11,17.7233,20.6805
2017-12,14.0456,21.3029
2018-01,20.071,28.0338
2018-02,18.9498,22.1441
2018-03,26.7943,18.3021
2018-04,28.838,18.0902
2018-05,32.84,20.2208
2018-06,31.426,20.3415
2018-07,30.4894,23.8746
2018-08,35.1761,27.0072
2018-09,22.153,27.7347
2018-10,22.6472,18.1437
2018-11,28.3919,19.7418
2018-12,14.4866,8.5778
2019-01,23.5119,17.1263
2019-02,27.7542,20.3748
2019-03,21.8904,22.0514
2019-04,27.7553,26.2651
2019-05,24.8409,17.5943
2019-06,32.3878,25.308
2019-07,31.7831,26.4355
2019-08,35.6562,23.7232
2019-09,35.6291,26.1617
2019-10,35.3379,28.2707
2019-11,41.2761,32.1761
2019-12,44.0204,35.3247
2020-01,56.5512,35.2749
2020-02,36.6833,23.5454
2020-03,26.273,7.7105
2020-04,45.2558,21.425
2020-05,55.907,26.7132
2020-06,56.683,28.4357
2020-07,70.8918,35.3124
2020-08,73.4927,43.9511
2020-09,57.6775,37.6938
2020-10,54.339,33.4637
2020-11,62.1363,47.2943
2020-12,67.5379,51.8455
2021-01,70.7192,50.305
2021-02,73.1445,53.4604
2021-03,83.7792,59.4101
2021-04,99.6423,66.6882
2021-05,105.1563,66.6274
2021-06,114.1777,69.2184
2021-07,125.4549,72.1455
2021-08,134.2005,75.992
2021-09,129.3798,66.6118
2021-10,147.1442,77.1553
2021-11,137.094,74.6519
2021-12,143.4707,81.397
2022-01,105.9773,70.7122
2022-02,95.1894,64.6001
2022-03,102.383,69.8532
2022-04,77.369,54.0273
2022-05,73.8995,53.6333
2022-06,70.5187,40.2902
2022-07,100.9876,52.5094
2022-08,97.0648,45.531
2022-09,87.0229,31.5965
2022-10,104.0198,41.7445
2022-11,122.89,48.9584
2022-12,98.8785,39.838
2023-01,95.1183,48.5632
2023-02,80.6061,44.2258
2023-03,75.7801,48.9578
2023-04,77.071,50.6836
2023-05,76.0569,50.7741
2023-06,58.4275,59.884
2023-07,59.7447,64.3798
2023-08,65.2995,60.953
2023-09,53.0353,52.6248
2023-10,55.5833,48.7132
2023-11,74.4546,61.6976
2023-12,81.434,68.3392
2024-01,80.2841,71.0275
2024-02,74.5204,79.0476
2024-03,95.6809,83.99
2024-04,84.6187,75.7344
2024-05,81.1771,83.6813
2024-06,84.7932,89.2836
2024-07,106.5444,90.5002
2024-08,118.7761,94.0822
2024-09,122.3267,98.2932
2024-10,123.7974,95.412
2024-11,149.805,105.8418
2024-12,132.0177,99.9875
2025-01,147.0615,105.351
2025-02,146.8883,101.7087
2025-03,125.6247,89.4719
2025-04,125.4032,87.0451
2025-05,145.7286,97.8575
2025-06,162.2878,107.0685
2025-07,180.5527,110.7404
2025-08,174.5508,114.0337
2025-09,157.11,121.6081
2025-10,147.0964,125.7153
2025-11,161.3117,125.0226
2025-12,178.3454,124.0393
2026-01,177.6596,127.2713
2026-02,97.2597,125.3185
