Date,rate_TGT_5D,rate_VOO_20D
2016-01,2.1685,1.4254
2016-02,12.5838,0.6142
2016-03,13.0013,6.1243
2016-04,5.9001,4.6014
2016-05,-6.1635,5.2878
2016-06,-3.6259,4.687
2016-07,4.4726,7.7174
2016-08,-2.5331,6.8637
2016-09,-4.4616,5.9421
2016-10,-3.9555,3.4868
2016-11,9.3557,6.843
2016-12,2.074,8.2789
2017-01,-7.3852,9.3935
2017-02,-14.2448,12.821
2017-03,-18.067,12.0413
2017-04,-15.9493,12.4367
2017-05,-15.1873,13.2406
2017-06,-18.851,14.1802
2017-07,-10.9845,15.6892
2017-08,-12.8584,15.2834
2017-09,-5.2279,16.8657
2017-10,-5.0404,18.7799
2017-11,-2.6167,21.509
2017-12,6.2249,22.1709
2018-01,22.0185,27.9258
2018-02,20.1232,22.2578
2018-03,10.1072,18.4465
2018-04,14.7412,18.162
2018-05,15.7231,20.337
2018-06,20.134,20.5057
2018-07,26.5648,24.0401
2018-08,37.44,27.2093
2018-09,37.4082,27.1082
2018-10,29.3161,17.9327
2018-11,9.9761,19.5577
2018-12,2.1668,8.5722
2019-01,12.7799,16.8959
2019-02,12.8682,20.2219
2019-03,24.2156,21.9603
2019-04,19.1471,26.2654
2019-05,24.3135,20.4953
2019-06,32.9226,25.3574
2019-07,29.5837,26.514
2019-08,60.9542,24.0717
2019-09,62.3054,25.9454
2019-10,58.1172,27.4086
2019-11,84.4462,31.384
2019-12,87.31,34.5804
2020-01,60.674,33.8021
2020-02,49.1028,22.3336
2020-03,33.6483,15.1867
2020-04,56.8772,29.6272
2020-05,63.3406,28.2305
2020-06,56.8291,28.0341
2020-07,62.9055,33.4885
2020-08,94.7873,42.106
2020-09,99.1679,38.2475
2020-10,100.4867,34.0563
2020-11,126.1151,42.9575
2020-12,119.8375,47.5016
2021-01,129.4703,45.1166
2021-02,123.2825,43.0879
2021-03,144.5102,49.8512
2021-04,153.4689,56.911
2021-05,157.1265,54.6413
2021-06,163.5469,57.2758
2021-07,181.8798,60.2291
2021-08,165.1933,64.0213
2021-09,143.4575,55.5224
2021-10,173.9596,65.5435
2021-11,155.8882,65.5034
2021-12,156.1751,68.4598
2022-01,141.9494,58.7763
2022-02,118.5298,53.2596
2022-03,119.4404,58.2953
2022-04,127.3483,52.2757
2022-05,109.4518,51.0659
2022-06,82.0237,38.0304
2022-07,109.3548,50.1558
2022-08,105.3239,43.3725
2022-09,88.7894,29.6913
2022-10,107.6944,39.7003
2022-11,93.9989,46.8631
2022-12,80.7216,40.5677
2023-01,107.5835,48.7988
2023-02,104.7869,45.5387
2023-03,108.5569,49.6635
2023-04,101.6524,48.4614
2023-05,86.0334,48.1923
2023-06,87.5634,57.2072
2023-07,93.0644,61.7125
2023-08,76.0327,59.5229
2023-09,53.1271,51.3631
2023-10,52.871,47.5518
2023-11,85.5127,60.474
2023-12,96.4344,67.125
2024-01,90.8534,69.1001
2024-02,110.3137,77.1309
2024-03,142.4091,83.2841
2024-04,129.439,75.177
2024-05,119.6999,83.1784
2024-06,107.1634,90.182
2024-07,105.4362,90.9416
2024-08,117.8491,97.1965
2024-09,115.2181,98.31
2024-10,98.7315,95.5089
2024-11,75.2709,105.9957
2024-12,78.3641,100.2436
2025-01,81.2319,104.6582
2025-02,64.0674,101.1287
2025-03,37.6734,89.045
2025-04,30.4689,88.6819
2025-05,28.0636,99.6712
2025-06,34.0938,109.046
2025-07,31.5971,112.823
2025-08,22.4716,112.1707
2025-09,14.3418,118.6779
2025-10,18.0705,122.8639
2025-11,16.7249,122.3204
2025-12,25.7504,121.4705
2026-01,35.4253,123.6468
2026-02,47.1939,120.852
