Date,rate_DPZ_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.5828,-3.7423
2016-03,19.9448,0.3764
2016-04,13.6516,5.1946
2016-05,-0.1832,3.5695
2016-06,0.2629,4.8356
2016-07,9.7522,4.3651
2016-08,20.5444,7.2005
2016-09,19.1553,6.5176
2016-10,19.5445,5.8316
2016-11,29.7443,2.6321
2016-12,27.8954,6.5262
2017-01,18.8043,8.6002
2017-02,25.9352,9.8701
2017-03,36.099,14.9815
2017-04,31.7673,12.5254
2017-05,28.2684,13.1716
2017-06,49.6595,14.581
2017-07,44.6099,14.626
2017-08,25.3898,16.4591
2017-09,22.2115,15.9061
2017-10,31.3246,17.2911
2017-11,15.9609,19.4181
2017-12,20.0552,21.7575
2018-01,22.315,22.6249
2018-02,40.5085,28.3844
2018-03,41.5836,21.0506
2018-04,47.1354,18.8566
2018-05,54.2413,18.843
2018-06,55.5479,22.0592
2018-07,71.8493,20.962
2018-08,62.4205,24.4135
2018-09,77.2174,27.7869
2018-10,67.5587,28.1445
2018-11,54.2781,19.3954
2018-12,59.1939,19.8359
2019-01,41.1968,8.7501
2019-02,57.2522,17.203
2019-03,40.2688,21.2677
2019-04,38.8839,23.6016
2019-05,50.0772,25.5902
2019-06,53.262,17.8911
2019-07,47.7771,26.7327
2019-08,32.9924,25.8061
2019-09,22.025,24.2046
2019-10,32.0236,24.595
2019-11,43.8766,29.5299
2019-12,56.2338,32.3145
2020-01,55.1287,35.5516
2020-02,47.695,34.7733
2020-03,76.7953,23.2161
2020-04,72.7521,2.6957
2020-05,83.4305,17.923
2020-06,95.2302,27.1545
2020-07,90.6757,29.2791
2020-08,94.508,35.3897
2020-09,104.5589,45.4969
2020-10,111.4318,38.8421
2020-11,85.6278,33.8054
2020-12,90.7129,49.4413
2021-01,85.5723,52.4925
2021-02,78.3849,52.5474
2021-03,64.5487,57.1165
2021-04,78.2797,62.2404
2021-05,100.2701,68.0147
2021-06,99.0365,67.9506
2021-07,118.0631,71.7835
2021-08,143.9015,73.9065
2021-09,137.1413,78.108
2021-10,117.1805,70.559
2021-11,121.0888,79.7147
2021-12,130.3065,74.8714
2022-01,152.4412,83.8439
2022-02,103.3135,74.2485
2022-03,90.4214,64.4857
2022-04,74.3605,72.8765
2022-05,47.5465,56.3809
2022-06,56.8606,54.7432
2022-07,75.1074,43.9638
2022-08,68.3341,54.5402
2022-09,59.5366,48.4061
2022-10,33.0245,33.808
2022-11,42.5559,43.6413
2022-12,64.253,51.6237
2023-01,47.3409,42.3283
2023-02,52.4561,52.4008
2023-03,27.3415,45.8599
2023-04,39.3822,52.4428
2023-05,31.0908,54.1535
2023-06,24.616,55.8684
2023-07,41.7476,63.7729
2023-08,67.5582,67.9151
2023-09,63.2705,65.3142
2023-10,57.9584,56.4671
2023-11,42.9434,54.158
2023-12,64.4561,66.8181
2024-01,70.4887,72.7134
2024-02,78.5321,77.0248
2024-03,83.3462,84.7703
2024-04,102.1725,89.0895
2024-05,110.3123,80.3005
2024-06,106.0428,89.1407
2024-07,105.5262,96.817
2024-08,72.6475,94.9948
2024-09,66.9384,101.4737
2024-10,74.7231,104.2286
2024-11,72.0638,104.0979
2024-12,91.6584,114.1559
2025-01,70.0125,108.1307
2025-02,81.2139,112.719
2025-03,96.7854,109.0154
2025-04,88.3034,97.097
2025-05,93.9253,95.2965
2025-06,90.0568,105.2137
2025-07,84.8441,114.7559
2025-08,87.58,115.142
2025-09,83.6701,122.2543
2025-10,71.6168,129.8729
2025-11,59.1461,133.4127
2025-12,68.7573,131.7276
2026-01,66.0844,131.8756
2026-02,41.9031,120.852
