Date,rate_SWKS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.5613,-0.6039
2016-03,10.9815,5.2168
2016-04,-7.2169,3.9893
2016-05,-5.6842,4.6886
2016-06,-9.8784,4.1237
2016-07,-4.4299,7.1795
2016-08,9.2633,6.3603
2016-09,9.9888,5.6281
2016-10,10.1902,3.196
2016-11,9.622,6.7601
2016-12,6.2673,8.3626
2017-01,30.8607,10.2536
2017-02,32.7424,13.6522
2017-03,34.5787,12.7005
2017-04,34.6284,12.9818
2017-05,41.6638,13.693
2017-06,25.4221,13.5288
2017-07,35.5141,15.0481
2017-08,34.6802,14.5515
2017-09,28.5497,16.1037
2017-10,42.0693,17.9557
2017-11,29.4291,20.6805
2017-12,16.2844,21.3029
2018-01,19.0455,28.0338
2018-02,32.9695,22.1441
2018-03,20.9118,18.3021
2018-04,4.0843,18.0902
2018-05,18.2597,20.2208
2018-06,15.1641,20.3415
2018-07,12.162,23.8746
2018-08,8.315,27.0072
2018-09,7.6188,27.7347
2018-10,2.6632,18.1437
2018-11,-13.5636,19.7418
2018-12,-20.0516,8.5778
2019-01,-12.8823,17.1263
2019-02,-1.783,20.3748
2019-03,-0.7749,22.0514
2019-04,6.0317,26.2651
2019-05,-19.5594,17.5943
2019-06,-6.1646,25.308
2019-07,3.5527,26.4355
2019-08,-8.0768,23.7232
2019-09,-3.2511,26.1617
2019-10,11.3162,28.2707
2019-11,19.6713,32.1761
2019-12,47.1849,35.3247
2020-01,37.7831,35.2749
2020-02,21.7242,23.5454
2020-03,8.0625,7.7105
2020-04,25.5834,21.425
2020-05,43.3202,26.7132
2020-06,53.5776,28.4357
2020-07,73.6261,35.3124
2020-08,71.8488,43.9511
2020-09,71.1666,37.6938
2020-10,64.7927,33.4637
2020-11,63.9893,47.2943
2020-12,76.2334,51.8455
2021-01,95.0892,50.305
2021-02,103.5413,53.4604
2021-03,107.9806,59.4101
2021-04,103.6179,66.6882
2021-05,89.8231,66.6274
2021-06,112.3563,69.2184
2021-07,102.5588,72.1455
2021-08,100.3141,75.992
2021-09,78.4911,66.6118
2021-10,79.7709,77.1553
2021-11,62.5797,74.6519
2021-12,65.332,81.397
2022-01,55.1764,70.7122
2022-02,46.1505,64.6001
2022-03,40.395,69.8532
2022-04,18.88,54.0273
2022-05,14.4887,53.6333
2022-06,-2.7259,40.2902
2022-07,14.3802,52.5094
2022-08,3.9944,45.531
2022-09,-10.0886,31.5965
2022-10,-9.2184,41.7445
2022-11,1.6984,48.9584
2022-12,-3.0901,39.838
2023-01,16.6056,48.5632
2023-02,19.0182,44.2258
2023-03,25.5796,48.9578
2023-04,12.44,50.6836
2023-05,10.4093,50.7741
2023-06,17.8732,59.884
2023-07,21.5514,64.3798
2023-08,16.049,60.953
2023-09,5.0272,52.6248
2023-10,-7.6409,48.7132
2023-11,4.0187,61.6976
2023-12,20.5402,68.3392
2024-01,12.0103,71.0275
2024-02,13.1071,79.0476
2024-03,16.5842,83.99
2024-04,14.5519,75.7344
2024-05,0.3566,83.6813
2024-06,15.441,89.2836
2024-07,22.8826,90.5002
2024-08,19.0968,94.0822
2024-09,7.4226,98.2932
2024-10,-4.7585,95.412
2024-11,-4.7205,105.8418
2024-12,-2.7403,99.9875
2025-01,-2.6533,105.351
2025-02,-26.0387,101.7087
2025-03,-28.0166,89.4719
2025-04,-28.1354,87.0451
2025-05,-21.7658,97.8575
2025-06,-15.325,107.0685
2025-07,-22.0177,110.7404
2025-08,-13.6958,114.0337
2025-09,-11.3702,121.6081
2025-10,-10.4047,125.7153
2025-11,-23.0529,125.0226
2025-12,-25.8155,124.0393
2026-01,-34.7617,127.2713
2026-02,-36.6558,125.3185
