Date,rate_BIDU_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.0412,-1.8027
2016-03,9.2268,4.5695
2016-04,8.869,3.6217
2016-05,-1.4162,4.6859
2016-06,-8.346,4.2011
2016-07,-10.2503,7.3141
2016-08,-2.7901,6.5393
2016-09,3.3864,5.8417
2016-10,0.1302,3.4057
2016-11,-5.2845,7.0013
2016-12,-6.0905,8.6582
2017-01,0.4455,9.9058
2017-02,-0.0708,13.4199
2017-03,-1.0181,12.5861
2017-04,3.4299,12.9516
2017-05,6.5825,13.7442
2017-06,2.0819,14.6714
2017-07,28.9658,16.2352
2017-08,28.4846,15.7466
2017-09,37.8895,17.3266
2017-10,34.1214,19.2474
2017-11,29.722,22.0133
2017-12,26.2068,22.6523
2018-01,31.9201,28.4864
2018-02,33.6465,22.6807
2018-03,17.2156,18.8927
2018-04,31.0489,18.6249
2018-05,25.6472,20.8091
2018-06,24.9392,20.9812
2018-07,26.265,24.5763
2018-08,15.2038,27.7899
2018-09,15.8557,27.6747
2018-10,-4.0191,18.1983
2018-11,-4.9626,19.8597
2018-12,-19.7473,8.8011
2019-01,-12.0853,17.1215
2019-02,-16.8973,20.4441
2019-03,-15.2726,22.1999
2019-04,-14.2636,26.5012
2019-05,-42.9791,17.9266
2019-06,-38.0832,25.7011
2019-07,-40.2239,26.9004
2019-08,-43.1697,24.2426
2019-09,-43.1531,26.142
2019-10,-42.7091,28.3311
2019-11,-32.3782,32.3256
2019-12,-27.1787,35.5485
2020-01,-28.2703,34.7719
2020-02,-29.7957,23.2511
2020-03,-40.4998,7.5779
2020-04,-39.5778,21.2186
2020-05,-35.3256,26.5774
2020-06,-26.5284,28.3766
2020-07,-26.3581,35.3325
2020-08,-22.6841,44.0777
2020-09,-21.0614,37.914
2020-10,-16.6645,33.7633
2020-11,-12.6573,47.7098
2020-12,36.0775,52.3667
2021-01,47.216,49.9654
2021-02,76.4897,53.2453
2021-03,34.5014,60.4049
2021-04,29.5154,67.83
2021-05,20.4521,67.8968
2021-06,24.759,70.6358
2021-07,0.1163,73.7106
2021-08,-4.1412,77.7187
2021-09,-6.1427,68.3779
2021-10,-0.8545,79.119
2021-11,-8.4732,76.6949
2021-12,-8.9872,83.6042
2022-01,-2.1743,72.9303
2022-02,-6.6149,66.8181
2022-03,-18.909,72.1992
2022-04,-23.7367,56.2223
2022-05,-13.4684,55.8933
2022-06,-8.1367,42.4002
2022-07,-15.5508,54.8512
2022-08,-10.7622,47.8158
2022-09,-27.045,33.7039
2022-10,-52.1654,44.0824
2022-11,-31.3438,51.4429
2022-12,-27.3039,42.1877
2023-01,-14.0623,50.5828
2023-02,-12.124,46.2373
2023-03,-3.5929,52.2586
2023-04,-22.8747,54.0684
2023-05,-21.1901,54.1996
2023-06,-12.0023,63.548
2023-07,0.3951,68.1942
2023-08,-8.0448,64.7317
2023-09,-13.4386,56.2636
2023-10,-32.1858,52.2886
2023-11,-23.0038,65.5989
2023-12,-22.4671,72.448
2024-01,-31.2138,74.4576
2024-02,-33.4993,82.7177
2024-03,-30.588,89.0282
2024-04,-31.5566,80.6052
2024-05,-35.3652,88.8335
2024-06,-42.1652,96.0415
2024-07,-40.3487,97.3583
2024-08,-42.6098,101.128
2024-09,-28.1092,105.7758
2024-10,-37.5029,102.865
2024-11,-41.391,113.7798
2024-12,-41.5196,107.7813
2025-01,-36.7588,112.3595
2025-02,-39.3297,108.6721
2025-03,-35.0444,96.0839
2025-04,-37.7084,93.6359
2025-05,-41.5878,104.9003
2025-06,-38.4601,114.5225
2025-07,-36.6095,118.4064
2025-08,-30.8956,121.8959
2025-09,-4.1363,128.6764
2025-10,-12.0512,133.0211
2025-11,-14.843,132.409
2025-12,-4.7115,131.4906
2026-01,11.7243,133.7386
2026-02,-9.2909,130.7823
2026-03,-18.6999,117.6098
2026-04,-7.5248,139.3863
2026-05,-1.0476,150.8374
2026-06,-16.3711,146.5232
2026-07,-18.5943,145.3136
2026-08,-23.9012,153.7614
