Date,rate_AEE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.2827,-0.6039
2016-03,8.9982,5.2168
2016-04,1.9923,3.9893
2016-05,4.6889,4.6886
2016-06,13.1463,4.1237
2016-07,8.7815,7.1795
2016-08,1.4114,6.3603
2016-09,1.6382,5.6281
2016-10,3.1281,3.196
2016-11,1.2356,6.7601
2016-12,8.9071,8.3626
2017-01,9.2981,10.2536
2017-02,12.892,13.6522
2017-03,12.6215,12.7005
2017-04,11.9494,12.9818
2017-05,15.4036,13.693
2017-06,11.1648,13.5288
2017-07,13.4693,15.0481
2017-08,20.4971,14.5515
2017-09,16.0601,16.1037
2017-10,23.4756,17.9557
2017-11,26.2861,20.6805
2017-12,16.328,21.3029
2018-01,11.7208,28.0338
2018-02,6.7647,22.1441
2018-03,11.9639,18.3021
2018-04,15.3871,18.0902
2018-05,15.9318,20.2208
2018-06,19.5333,20.3415
2018-07,21.1724,23.8746
2018-08,22.7574,27.0072
2018-09,23.6265,27.7347
2018-10,25.4805,18.1437
2018-11,32.4695,19.7418
2018-12,25.8469,8.5778
2019-01,33.7057,17.1263
2019-02,36.3549,20.3748
2019-03,40.5979,22.0514
2019-04,38.0123,26.2651
2019-05,38.0636,17.5943
2019-06,41.1988,25.308
2019-07,41.2017,26.4355
2019-08,42.8293,23.7232
2019-09,49.0731,26.1617
2019-10,43.5369,28.2707
2019-11,36.3205,32.1761
2019-12,40.8834,35.3247
2020-01,50.4433,35.2749
2020-02,43.7131,23.5454
2020-03,32.3456,7.7105
2020-04,31.7048,21.425
2020-05,34.6223,26.7132
2020-06,26.958,28.4357
2020-07,44.0347,35.3124
2020-08,41.1527,43.9511
2020-09,41.1756,37.6938
2020-10,43.96,33.4637
2020-11,37.1879,47.2943
2020-12,37.8664,51.8455
2021-01,28.5016,50.305
2021-02,23.6582,53.4604
2021-03,43.5871,59.4101
2021-04,48.9252,66.6882
2021-05,46.9495,66.6274
2021-06,39.8801,69.2184
2021-07,45.9265,72.1455
2021-08,51.7199,75.992
2021-09,40.251,66.6118
2021-10,45.2778,77.1553
2021-11,39.9346,74.6519
2021-12,52.8991,81.397
2022-01,51.6362,70.7122
2022-02,46.1353,64.6001
2022-03,59.6746,69.8532
2022-04,57.3147,54.0273
2022-05,60.3599,53.6333
2022-06,52.4141,40.2902
2022-07,56.2564,52.5094
2022-08,54.6465,45.531
2022-09,34.8165,31.5965
2022-10,35.8958,41.7445
2022-11,48.3596,48.9584
2022-12,48.0482,39.838
2023-01,44.659,48.5632
2023-02,37.1685,44.2258
2023-03,43.8369,48.9578
2023-04,47.5601,50.6836
2023-05,33.918,50.7741
2023-06,35.5342,59.884
2023-07,41.6759,64.3798
2023-08,30.6437,60.953
2023-09,24.0278,52.6248
2023-10,25.3056,48.7132
2023-11,28.0952,61.6976
2023-12,20.1498,68.3392
2024-01,15.5919,71.0275
2024-02,18.0565,79.0476
2024-03,23.5396,83.99
2024-04,23.1415,75.7344
2024-05,22.0433,83.6813
2024-06,19.1575,89.2836
2024-07,32.6002,90.5002
2024-08,37.629,94.0822
2024-09,46.9996,98.2932
2024-10,45.9119,95.412
2024-11,57.5985,105.8418
2024-12,49.4047,99.9875
2025-01,57.8208,105.351
2025-02,69.4623,101.7087
2025-03,67.994,89.4719
2025-04,65.371,87.0451
2025-05,60.8194,97.8575
2025-06,60.0066,107.0685
2025-07,67.8587,110.7404
2025-08,64.9689,114.0337
2025-09,73.7431,121.6081
2025-10,69.1446,125.7153
2025-11,75.6487,125.0226
2025-12,65.4669,124.0393
2026-01,71.0909,127.2713
2026-02,83.6179,125.3185
