Date,rate_UUUU_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.2692,-1.8027
2016-03,-14.8409,4.5695
2016-04,-6.4377,3.6217
2016-05,-10.7922,4.6859
2016-06,-6.5256,4.2011
2016-07,-7.9591,7.3141
2016-08,-3.329,6.5393
2016-09,-33.4569,5.8417
2016-10,-36.2558,3.4057
2016-11,-38.2016,7.0013
2016-12,-20.4791,8.6582
2017-01,8.7516,9.9058
2017-02,3.0146,13.4199
2017-03,6.6472,12.5861
2017-04,-14.3089,12.9516
2017-05,-22.9677,13.7442
2017-06,-20.0004,14.6714
2017-07,-9.2747,16.2352
2017-08,-5.2291,15.7466
2017-09,-17.7386,17.3266
2017-10,-28.3403,19.2474
2017-11,-7.6323,22.0133
2017-12,-4.9943,22.6523
2018-01,-13.8263,28.4864
2018-02,-19.1749,22.6807
2018-03,-6.1975,18.8927
2018-04,-2.7374,18.6249
2018-05,-0.5954,20.8091
2018-06,22.4851,20.9812
2018-07,58.2034,24.5763
2018-08,69.0986,27.7899
2018-09,71.7136,27.6747
2018-10,74.2831,18.1983
2018-11,67.5658,19.8597
2018-12,43.9812,8.8011
2019-01,43.2931,17.1215
2019-02,52.5166,20.4441
2019-03,63.9822,22.1999
2019-04,46.216,26.5012
2019-05,31.5868,17.9266
2019-06,50.5411,25.7011
2019-07,-13.0882,26.9004
2019-08,-12.2477,24.2426
2019-09,-7.1711,26.142
2019-10,-3.0924,28.3311
2019-11,-4.462,32.3256
2019-12,-7.7464,35.5485
2020-01,-31.2703,34.7719
2020-02,-42.3497,23.2511
2020-03,-41.5193,7.5779
2020-04,-10.502,21.2186
2020-05,-13.3442,26.5774
2020-06,-23.6565,28.3766
2020-07,-13.098,35.3325
2020-08,-7.2654,44.0777
2020-09,-14.3413,37.914
2020-10,-22.8302,33.7633
2020-11,6.7948,47.7098
2020-12,118.5598,52.3667
2021-01,93.2368,49.9654
2021-02,161.587,53.2453
2021-03,183.4669,60.4049
2021-04,172.1293,67.83
2021-05,217.3925,67.8968
2021-06,192.6754,70.6358
2021-07,151.4733,73.7106
2021-08,156.8386,77.7187
2021-09,230.2458,68.3779
2021-10,265.1821,79.119
2021-11,301.439,76.6949
2021-12,248.0422,83.6042
2022-01,178.7164,72.9303
2022-02,265.7095,66.8181
2022-03,305.5591,72.1992
2022-04,229.5641,56.2223
2022-05,178.7627,55.8933
2022-06,111.8428,42.4002
2022-07,187.4584,54.8512
2022-08,245.05,47.8158
2022-09,157.9186,33.7039
2022-10,201.1499,44.0824
2022-11,187.9743,51.4429
2022-12,155.7218,42.1877
2023-01,201.2955,50.5828
2023-02,172.1679,46.2373
2023-03,124.69,52.2586
2023-04,128.4723,54.0684
2023-05,133.8141,54.1996
2023-06,146.4632,63.548
2023-07,150.345,68.1942
2023-08,177.9535,64.7317
2023-09,218.2056,56.2636
2023-10,207.8169,52.2886
2023-11,203.3381,65.5989
2023-12,172.4633,72.448
2024-01,184.2332,74.4576
2024-02,136.7003,82.7177
2024-03,133.7993,89.0282
2024-04,91.4268,80.6052
2024-05,157.3637,88.8335
2024-06,121.4814,96.0415
2024-07,106.8545,97.3583
2024-08,77.3371,101.128
2024-09,97.8524,105.7758
2024-10,115.9123,102.865
2024-11,159.1426,113.7798
2024-12,82.1014,107.7813
2025-01,87.7076,112.3595
2025-02,45.046,108.6721
2025-03,30.9583,96.0839
2025-04,58.3563,93.6359
2025-05,70.7458,104.9003
2025-06,100.0268,114.5225
2025-07,214.782,118.4064
2025-08,297.9644,121.8959
2025-09,425.0227,128.6764
2025-10,596.6402,133.0211
2025-11,385.6218,132.409
2025-12,387.1174,131.4906
2026-01,646.7857,133.7386
2026-02,604.481,130.7823
2026-03,498.8481,117.6098
2026-04,605.3116,139.3863
2026-05,489.7835,150.8374
2026-06,366.3166,146.5232
2026-07,265.6674,145.3136
2026-08,370.0329,152.5742
