Date,rate_WAB_5D,rate_VOO_20D
2016-01,0.1294,1.4254
2016-02,10.5882,0.6142
2016-03,19.8552,6.1243
2016-04,19.4939,4.6014
2016-05,8.0687,5.2878
2016-06,-3.2475,4.687
2016-07,-5.1806,7.7174
2016-08,6.5634,6.8637
2016-09,12.8991,5.9421
2016-10,5.6679,3.4868
2016-11,15.0649,6.843
2016-12,11.7314,8.2789
2017-01,15.6482,9.3935
2017-02,5.8833,12.821
2017-03,2.9368,12.0413
2017-04,10.5057,12.4367
2017-05,7.3183,13.2406
2017-06,19.5551,14.1802
2017-07,-2.386,15.6892
2017-08,-8.181,15.2834
2017-09,-1.1338,16.8657
2017-10,-0.1115,18.7799
2017-11,0.9548,21.509
2017-12,6.8899,22.1709
2018-01,6.0952,27.9258
2018-02,6.7397,22.2578
2018-03,5.7343,18.4465
2018-04,15.1765,18.162
2018-05,26.017,20.337
2018-06,26.3833,20.5057
2018-07,40.4146,24.0401
2018-08,36.7171,27.2093
2018-09,31.1659,27.1082
2018-10,1.875,17.9327
2018-11,17.4015,19.5577
2018-12,-13.1763,8.5722
2019-01,-14.1773,16.8959
2019-02,-8.6339,20.2219
2019-03,-7.8043,21.9603
2019-04,-7.205,26.2654
2019-05,-21.2698,20.4953
2019-06,-9.0502,25.3574
2019-07,-1.3774,26.514
2019-08,-11.4338,24.0717
2019-09,-7.5849,25.9454
2019-10,-5.7673,27.4086
2019-11,6.8581,31.384
2019-12,5.7299,34.5804
2020-01,0.2625,33.8021
2020-02,-6.7734,22.3336
2020-03,-34.0465,15.1867
2020-04,-21.7725,29.6272
2020-05,-20.5216,28.2305
2020-06,-22.2296,28.0341
2020-07,-16.9573,33.4885
2020-08,-11.2031,42.106
2020-09,-14.2318,38.2475
2020-10,-18.7856,34.0563
2020-11,0.8092,42.9575
2020-12,-0.2171,47.5016
2021-01,0.713,45.1166
2021-02,-7.2643,43.0879
2021-03,1.4287,49.8512
2021-04,5.136,56.911
2021-05,6.1144,54.6413
2021-06,5.4108,57.2758
2021-07,8.6275,60.2291
2021-08,10.687,64.0213
2021-09,3.868,55.5224
2021-10,9.1975,65.5435
2021-11,7.0552,65.5034
2021-12,10.1626,68.4598
2022-01,6.3289,58.7763
2022-02,9.1206,53.2596
2022-03,6.8076,58.2953
2022-04,-0.1662,52.2757
2022-05,4.3658,51.0659
2022-06,-8.8076,38.0304
2022-07,3.8372,50.1558
2022-08,-2.1914,43.3725
2022-09,-9.2426,29.6913
2022-10,4.1316,39.7003
2022-11,11.1549,46.8631
2022-12,8.9296,40.5677
2023-01,11.6107,48.7988
2023-02,12.2025,45.5387
2023-03,10.377,49.6635
2023-04,6.5001,48.4614
2023-05,0.6767,48.1923
2023-06,18.994,57.2072
2023-07,28.2832,61.7125
2023-08,23.0737,59.5229
2023-09,15.9874,51.3631
2023-10,11.8953,47.5518
2023-11,23.034,60.474
2023-12,33.6519,67.125
2024-01,38.1877,69.1001
2024-02,44.9226,77.1309
2024-03,48.9547,83.2841
2024-04,52.2767,75.177
2024-05,60.1619,83.1784
2024-06,49.1442,90.182
2024-07,50.5155,90.9416
2024-08,61.4804,97.1965
2024-09,67.4337,98.31
2024-10,67.9081,95.5089
2024-11,66.0662,105.9957
2024-12,56.2813,100.2436
2025-01,70.8098,104.6582
2025-02,50.8683,101.1287
2025-03,48.5592,89.045
2025-04,53.0144,88.6819
2025-05,67.2446,99.6712
2025-06,68.6162,109.046
2025-07,63.9675,112.823
2025-08,64.9725,112.1707
2025-09,70.3387,118.6779
2025-10,73.1116,122.8639
2025-11,76.1738,122.3204
2025-12,79.6621,121.4705
2026-01,92.962,123.6468
2026-02,120.392,120.852
