Date,rate_MA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.4115,-3.7423
2016-03,-1.6512,0.3764
2016-04,5.1973,5.1946
2016-05,5.2923,3.5695
2016-06,3.5905,4.8356
2016-07,-5.0994,4.3651
2016-08,2.5129,7.2005
2016-09,4.927,6.5176
2016-10,8.8053,5.8316
2016-11,11.4989,2.6321
2016-12,5.4145,6.5262
2017-01,8.1713,8.6002
2017-02,9.5868,9.8701
2017-03,16.4758,14.9815
2017-04,15.5351,12.5254
2017-05,18.7544,13.1716
2017-06,24.7522,14.581
2017-07,21.422,14.626
2017-08,28.4703,16.4591
2017-09,30.7207,15.9061
2017-10,36.9748,17.2911
2017-11,42.8685,19.4181
2017-12,41.7577,21.7575
2018-01,41.5757,22.6249
2018-02,60.0779,28.3844
2018-03,58.274,21.0506
2018-04,57.6147,18.8566
2018-05,60.7398,18.843
2018-06,71.9486,22.0592
2018-07,70.545,20.962
2018-08,72.9154,24.4135
2018-09,82.8115,27.7869
2018-10,87.166,28.1445
2018-11,65.3698,19.3954
2018-12,64.612,19.8359
2019-01,52.7575,8.7501
2019-02,71.7441,17.203
2019-03,80.5639,21.2677
2019-04,87.764,23.6016
2019-05,93.3534,25.5902
2019-06,93.1785,17.8911
2019-07,102.5597,26.7327
2019-08,105.965,25.8061
2019-09,108.9074,24.2046
2019-10,98.8309,24.595
2019-11,102.807,29.5299
2019-12,110.0927,32.3145
2020-01,112.3195,35.5516
2020-02,122.5104,34.7733
2020-03,102.1643,23.2161
2020-04,57.6516,2.6957
2020-05,84.294,17.923
2020-06,104.9051,27.1545
2020-07,102.8057,29.2791
2020-08,106.112,35.3897
2020-09,136.2311,45.4969
2020-10,124.9745,38.8421
2020-11,87.5625,33.8054
2020-12,118.4644,49.4413
2021-01,128.0257,52.4925
2021-02,103.81,52.5474
2021-03,128.1202,57.1165
2021-04,126.3342,62.2404
2021-05,136.2158,68.0147
2021-06,120.4718,67.9506
2021-07,125.281,71.7835
2021-08,132.8532,73.9065
2021-09,109.1386,78.108
2021-10,113.855,70.559
2021-11,97.0899,79.7147
2021-12,79.4503,74.8714
2022-01,109.2304,83.8439
2022-02,126.9438,74.2485
2022-03,97.8935,64.4857
2022-04,107.7094,72.8765
2022-05,106.2342,56.3809
2022-06,101.2901,54.7432
2022-07,78.247,43.9638
2022-08,95.5189,54.5402
2022-09,80.3037,48.4061
2022-10,56.7573,33.808
2022-11,83.1449,43.6413
2022-12,97.2349,51.6237
2023-01,88.9733,42.3283
2023-02,103.09,52.4008
2023-03,90.7823,45.8599
2023-04,95.0568,52.4428
2023-05,103.0601,54.1535
2023-06,97.1277,55.8684
2023-07,107.8986,63.7729
2023-08,108.9929,67.9151
2023-09,117.4888,65.3142
2023-10,105.9951,56.4671
2023-11,95.8006,54.158
2023-12,113.6296,66.8181
2024-01,118.6743,72.7134
2024-02,135.3297,77.0248
2024-03,141.9213,84.7703
2024-04,141.3798,89.0895
2024-05,122.073,80.3005
2024-06,123.3611,89.1407
2024-07,117.45,96.817
2024-08,128.8935,94.9948
2024-09,137.9571,101.4737
2024-10,143.0266,104.2286
2024-11,147.6941,104.0979
2024-12,158.3645,114.1559
2025-01,153.8266,108.1307
2025-02,167.3416,112.719
2025-03,175.8111,109.0154
2025-04,160.9982,97.097
2025-05,159.0298,95.2965
2025-06,175.9874,105.2137
2025-07,164.6058,114.7559
2025-08,161.3278,115.142
2025-09,176.3707,122.2543
2025-10,164.926,129.8729
2025-11,153.8731,133.4127
2025-12,148.9091,131.7276
2026-01,159.9194,131.8756
2026-02,94.7075,120.852
