Date,rate_CMCSA_5D,rate_VOO_20D
2016-01,0.7918,1.4254
2016-02,1.7111,0.6142
2016-03,5.791,6.1243
2016-04,3.9173,4.6014
2016-05,7.2004,5.2878
2016-06,9.078,4.687
2016-07,12.965,7.7174
2016-08,8.4194,6.8637
2016-09,8.9331,5.9421
2016-10,1.7664,3.4868
2016-11,13.9192,6.843
2016-12,12.74,8.2789
2017-01,22.6995,9.3935
2017-02,20.1273,12.821
2017-03,19.2609,12.0413
2017-04,23.5923,12.4367
2017-05,29.9927,13.2406
2017-06,20.6344,14.1802
2017-07,25.2016,15.6892
2017-08,24.445,15.2834
2017-09,16.7609,16.8657
2017-10,9.0617,18.7799
2017-11,13.1744,21.509
2017-12,20.0484,22.1709
2018-01,26.8274,27.9258
2018-02,7.3243,22.2578
2018-03,0.9319,18.4465
2018-04,-6.7778,18.162
2018-05,-7.2733,20.337
2018-06,-2.2898,20.5057
2018-07,7.1344,24.0401
2018-08,10.5648,27.2093
2018-09,5.533,27.1082
2018-10,14.0653,17.9327
2018-11,10.782,19.5577
2018-12,-3.0276,8.5722
2019-01,4.7955,16.8959
2019-02,10.6604,20.2219
2019-03,12.419,21.9603
2019-04,20.6298,26.2654
2019-05,15.9442,20.4953
2019-06,17.5834,25.3574
2019-07,20.1496,26.514
2019-08,22.7133,24.0717
2019-09,26.8435,25.9454
2019-10,24.6916,27.4086
2019-11,22.2909,31.384
2019-12,24.0828,34.5804
2020-01,19.2442,33.8021
2020-02,11.1971,22.3336
2020-03,2.6144,15.1867
2020-04,7.1466,29.6272
2020-05,7.6992,28.2305
2020-06,6.504,28.0341
2020-07,15.5109,33.4885
2020-08,18.2679,42.106
2020-09,21.7453,38.2475
2020-10,13.212,34.0563
2020-11,30.375,42.9575
2020-12,33.9087,47.5016
2021-01,25.0792,45.1166
2021-02,32.5312,43.0879
2021-03,37.7155,49.8512
2021-04,40.5699,56.911
2021-05,38.552,54.6413
2021-06,37.2085,57.2758
2021-07,41.576,60.2291
2021-08,45.3979,64.0213
2021-09,38.9224,55.5224
2021-10,25.7153,65.5435
2021-11,21.7783,65.5034
2021-12,22.1721,68.4598
2022-01,21.1185,58.7763
2022-02,13.4098,53.2596
2022-03,13.3822,58.2953
2022-04,6.6968,52.2757
2022-05,15.0539,51.0659
2022-06,7.1844,38.0304
2022-07,3.0289,50.1558
2022-08,-0.7202,43.3725
2022-09,-19.5119,29.6913
2022-10,-11.9401,39.7003
2022-11,1.8395,46.8631
2022-12,-2.4719,40.5677
2023-01,6.4085,48.7988
2023-02,4.8223,45.5387
2023-03,9.1163,49.6635
2023-04,19.8717,48.4614
2023-05,11.0816,48.1923
2023-06,15.0297,57.2072
2023-07,26.8611,61.7125
2023-08,28.082,59.5229
2023-09,21.2693,51.3631
2023-10,13.449,47.5518
2023-11,14.9143,60.474
2023-12,20.0991,67.125
2024-01,28.0983,69.1001
2024-02,17.71,77.1309
2024-03,18.9248,83.2841
2024-04,5.2474,75.177
2024-05,10.4787,83.1784
2024-06,7.9765,90.182
2024-07,15.594,90.9416
2024-08,8.932,97.1965
2024-09,14.886,98.31
2024-10,20.8635,95.5089
2024-11,18.6633,105.9957
2024-12,12.2089,100.2436
2025-01,2.2192,104.6582
2025-02,8.9157,101.1287
2025-03,7.0667,89.045
2025-04,2.3659,88.6819
2025-05,3.453,99.6712
2025-06,6.7717,109.046
2025-07,0.1855,112.823
2025-08,2.9455,112.1707
2025-09,-4.8063,118.6779
2025-10,-14.7226,122.8639
2025-11,-18.1159,122.3204
2025-12,-8.1264,121.4705
2026-01,-3.9058,123.6468
2026-02,0.0355,120.852
