Date,rate_GOOGL_5D,rate_VOO_20D
2016-01,2.2255,1.4254
2016-02,-7.2723,0.6142
2016-03,0.0261,6.1243
2016-04,-7.4211,4.6014
2016-05,-1.0195,5.2878
2016-06,-6.847,4.687
2016-07,5.7121,7.7174
2016-08,4.8239,6.8637
2016-09,5.635,5.9421
2016-10,5.7527,3.4868
2016-11,1.1711,6.843
2016-12,3.3371,8.2789
2017-01,6.3651,9.3935
2017-02,8.9683,12.821
2017-03,8.6361,12.0413
2017-04,17.804,12.4367
2017-05,24.218,13.2406
2017-06,15.7264,14.1802
2017-07,16.7794,15.6892
2017-08,17.1439,15.2834
2017-09,18.5897,16.8657
2017-10,24.9159,18.7799
2017-11,24.1631,21.509
2017-12,25.1466,22.1709
2018-01,39.1585,27.9258
2018-02,28.8159,22.2578
2018-03,20.0464,18.4465
2018-04,17.2107,18.162
2018-05,25.8202,20.337
2018-06,28.1666,20.5057
2018-07,38.2203,24.0401
2018-08,37.4638,27.2093
2018-09,33.6002,27.1082
2018-10,19.8075,17.9327
2018-11,21.3439,19.5577
2018-12,13.7135,8.5722
2019-01,22.1162,16.8959
2019-02,21.6198,20.2219
2019-03,26.4171,21.9603
2019-04,24.8739,26.2654
2019-05,14.7191,20.4953
2019-06,11.9678,25.3574
2019-07,25.6056,26.514
2019-08,19.1371,24.0717
2019-09,21.7822,25.9454
2019-10,24.2188,27.4086
2019-11,28.1287,31.384
2019-12,30.9366,34.5804
2020-01,39.2976,33.8021
2020-02,39.0889,22.3336
2020-03,37.2608,15.1867
2020-04,58.4104,29.6272
2020-05,61.7134,28.2305
2020-06,60.2172,28.0341
2020-07,65.0082,33.4885
2020-08,77.2391,42.106
2020-09,67.8822,38.2475
2020-10,78.0832,34.0563
2020-11,86.526,42.9575
2020-12,80.3061,47.5016
2021-01,86.6168,45.1166
2021-02,109.3868,43.0879
2021-03,108.7477,49.8512
2021-04,133.3186,56.911
2021-05,124.9996,54.6413
2021-06,131.1304,57.2758
2021-07,152.8522,60.2291
2021-08,160.8389,64.0213
2021-09,147.5566,55.5224
2021-10,163.7925,65.5435
2021-11,154.9707,65.5034
2021-12,144.2243,68.4598
2022-01,125.412,58.7763
2022-02,121.7366,53.2596
2022-03,118.0641,58.2953
2022-04,101.9434,52.2757
2022-05,93.7649,51.0659
2022-06,76.5196,38.0304
2022-07,75.2291,50.1558
2022-08,62.1652,43.3725
2022-09,42.626,29.6913
2022-10,38.0571,39.7003
2022-11,46.1168,46.8631
2022-12,34.2176,40.5677
2023-01,49.8397,48.7988
2023-02,41.8162,45.5387
2023-03,54.3827,49.6635
2023-04,51.5943,48.4614
2023-05,68.9086,48.1923
2023-06,66.8469,57.2072
2023-07,78.809,61.7125
2023-08,75.352,59.5229
2023-09,67.7408,51.3631
2023-10,69.9558,47.5518
2023-11,74.8216,60.474
2023-12,83.4257,67.125
2024-01,83.0818,69.1001
2024-02,78.3137,77.1309
2024-03,93.5221,83.2841
2024-04,94.1257,75.177
2024-05,104.6834,83.1784
2024-06,115.2461,90.182
2024-07,101.6471,90.9416
2024-08,97.1368,97.1965
2024-09,96.5313,98.31
2024-10,96.6784,95.5089
2024-11,96.0079,105.9957
2024-12,116.0698,100.2436
2025-01,131.689,104.6582
2025-02,92.3733,101.1287
2025-03,74.025,89.045
2025-04,76.6987,88.6819
2025-05,90.3396,99.6712
2025-06,84.3846,109.046
2025-07,99.9055,112.823
2025-08,100.7449,112.1707
2025-09,128.4229,118.6779
2025-10,162.9089,122.8639
2025-11,197.8042,122.3204
2025-12,189.7212,121.4705
2026-01,211.1582,123.6468
2026-02,185.4032,120.852
