Date,rate_PG_5D,rate_VOO_20D
2016-01,5.8741,1.4254
2016-02,1.4613,0.6142
2016-03,0.3438,6.1243
2016-04,-1.9752,4.6014
2016-05,-0.7469,5.2878
2016-06,0.5994,4.687
2016-07,2.3402,7.7174
2016-08,3.9156,6.8637
2016-09,6.2459,5.9421
2016-10,2.9303,3.4868
2016-11,-2.4786,6.843
2016-12,-0.304,8.2789
2017-01,4.6147,9.3935
2017-02,8.4282,12.821
2017-03,6.5106,12.0413
2017-04,3.8547,12.4367
2017-05,4.6023,13.2406
2017-06,3.2407,14.1802
2017-07,8.2106,15.6892
2017-08,9.5009,15.2834
2017-09,7.4357,16.8657
2017-10,2.3501,18.7799
2017-11,6.5554,21.509
2017-12,8.4928,22.1709
2018-01,2.4023,27.9258
2018-02,-6.7951,22.2578
2018-03,-5.6899,18.4465
2018-04,-12.8824,18.162
2018-05,-11.4429,20.337
2018-06,-5.1398,20.5057
2018-07,-0.6798,24.0401
2018-08,1.8845,27.2093
2018-09,2.144,27.1082
2018-10,9.4831,17.9327
2018-11,13.6119,19.5577
2018-12,8.7991,8.5722
2019-01,14.8219,16.8959
2019-02,16.8688,20.2219
2019-03,22.8615,21.9603
2019-04,26.0347,26.2654
2019-05,21.1728,20.4953
2019-06,28.3578,25.3574
2019-07,34.5025,26.514
2019-08,36.2225,24.0717
2019-09,40.0803,25.9454
2019-10,40.22,27.4086
2019-11,36.6306,31.384
2019-12,39.0266,34.5804
2020-01,38.7409,33.8021
2020-02,30.5939,22.3336
2020-03,6.445,15.1867
2020-04,15.1193,29.6272
2020-05,14.4955,28.2305
2020-06,14.2678,28.0341
2020-07,24.9315,33.4885
2020-08,31.2835,42.106
2020-09,30.4416,38.2475
2020-10,28.9113,34.0563
2020-11,26.8828,42.9575
2020-12,27.2198,47.5016
2021-01,17.5352,45.1166
2021-02,12.9522,43.0879
2021-03,23.5686,49.8512
2021-04,22.1748,56.911
2021-05,23.1072,54.6413
2021-06,22.8143,57.2758
2021-07,29.8882,60.2291
2021-08,29.5929,64.0213
2021-09,26.792,55.5224
2021-10,30.0635,65.5435
2021-11,31.0804,65.5034
2021-12,47.7551,68.4598
2022-01,45.0591,58.7763
2022-02,38.2894,53.2596
2022-03,34.0668,58.2953
2022-04,41.1644,52.2757
2022-05,33.9551,51.0659
2022-06,29.8736,38.0304
2022-07,25.8622,50.1558
2022-08,24.6112,43.3725
2022-09,13.7552,29.6913
2022-10,22.0327,39.7003
2022-11,34.8741,46.8631
2022-12,35.7035,40.5677
2023-01,33.7807,48.7988
2023-02,28.5202,45.5387
2023-03,38.5504,49.6635
2023-04,46.1233,48.4614
2023-05,40.0548,48.1923
2023-06,45.676,57.2072
2023-07,50.4661,61.7125
2023-08,48.0368,59.5229
2023-09,39.4129,51.3631
2023-10,43.8798,47.5518
2023-11,46.7519,60.474
2023-12,39.6195,67.125
2024-01,50.1895,69.1001
2024-02,48.2845,77.1309
2024-03,50.8537,83.2841
2024-04,52.2156,75.177
2024-05,52.9342,83.1784
2024-06,52.745,90.182
2024-07,51.0591,90.9416
2024-08,57.7704,97.1965
2024-09,58.7406,98.31
2024-10,53.5537,95.5089
2024-11,66.0768,105.9957
2024-12,54.7726,100.2436
2025-01,55.6051,104.6582
2025-02,62.4336,101.1287
2025-03,58.2586,89.045
2025-04,45.3278,88.6819
2025-05,52.445,99.6712
2025-06,42.5385,109.046
2025-07,36.946,112.823
2025-08,42.5739,112.1707
2025-09,39.1343,118.6779
2025-10,38.6928,122.8639
2025-11,36.3469,122.3204
2025-12,31.5937,121.4705
2026-01,39.0855,123.6468
2026-02,52.8698,120.852
