Date,rate_ETN_5D,rate_VOO_20D
2016-01,4.1126,1.4254
2016-02,14.6502,0.6142
2016-03,19.7605,6.1243
2016-04,15.9897,4.6014
2016-05,10.8605,5.2878
2016-06,5.6723,4.687
2016-07,11.172,7.7174
2016-08,15.6586,6.8637
2016-09,12.9199,5.9421
2016-10,8.3225,3.4868
2016-11,9.9946,6.843
2016-12,9.9624,8.2789
2017-01,13.7909,9.3935
2017-02,14.67,12.821
2017-03,17.8289,12.0413
2017-04,19.0535,12.4367
2017-05,21.5409,13.2406
2017-06,21.0798,14.1802
2017-07,20.6121,15.6892
2017-08,10.9971,15.2834
2017-09,18.2212,16.8657
2017-10,22.1493,18.7799
2017-11,18.6136,21.509
2017-12,19.7018,22.1709
2018-01,26.3742,27.9258
2018-02,19.0468,22.2578
2018-03,19.9452,18.4465
2018-04,10.5928,18.162
2018-05,13.417,20.337
2018-06,10.1021,20.5057
2018-07,22.094,24.0401
2018-08,21.3914,27.2093
2018-09,25.9538,27.1082
2018-10,3.9628,17.9327
2018-11,11.315,19.5577
2018-12,-0.9477,8.5722
2019-01,10.0284,16.8959
2019-02,14.8206,20.2219
2019-03,14.8334,21.9603
2019-04,15.9074,26.2654
2019-05,9.6493,20.4953
2019-06,18.2866,25.3574
2019-07,16.3226,26.514
2019-08,15.3943,24.0717
2019-09,18.8561,25.9454
2019-10,26.9473,27.4086
2019-11,34.153,31.384
2019-12,36.598,34.5804
2020-01,35.4701,33.8021
2020-02,41.6313,22.3336
2020-03,38.9568,15.1867
2020-04,48.7962,29.6272
2020-05,49.2592,28.2305
2020-06,50.6498,28.0341
2020-07,58.1132,33.4885
2020-08,71.4373,42.106
2020-09,64.1522,38.2475
2020-10,66.9573,34.0563
2020-11,85.6912,42.9575
2020-12,84.051,47.5016
2021-01,84.6609,45.1166
2021-02,97.7337,43.0879
2021-03,106.6602,49.8512
2021-04,111.8144,56.911
2021-05,111.7563,54.6413
2021-06,114.0545,57.2758
2021-07,118.551,60.2291
2021-08,131.9885,64.0213
2021-09,104.2065,55.5224
2021-10,123.5982,65.5435
2021-11,119.1807,65.5034
2021-12,131.8936,68.4598
2022-01,110.9283,58.7763
2022-02,101.8636,53.2596
2022-03,98.3079,58.2953
2022-04,88.3022,52.2757
2022-05,79.8786,51.0659
2022-06,63.5968,38.0304
2022-07,91.6912,50.1558
2022-08,76.5032,43.3725
2022-09,71.2312,29.6913
2022-10,91.6529,39.7003
2022-11,111.109,46.8631
2022-12,108.0914,40.5677
2023-01,103.9339,48.7988
2023-02,118.5874,45.5387
2023-03,118.7239,49.6635
2023-04,107.749,48.4614
2023-05,120.6524,48.1923
2023-06,150.6828,57.2072
2023-07,154.2513,61.7125
2023-08,177.1382,59.5229
2023-09,155.5389,51.3631
2023-10,146.3569,47.5518
2023-11,169.7925,60.474
2023-12,183.4438,67.125
2024-01,187.6911,69.1001
2024-02,224.8197,77.1309
2024-03,244.8427,83.2841
2024-04,240.4627,75.177
2024-05,256.706,83.1784
2024-06,233.6711,90.182
2024-07,227.1509,90.9416
2024-08,237.4876,97.1965
2024-09,245.477,98.31
2024-10,253.6532,95.5089
2024-11,269.4044,105.9957
2024-12,224.4545,100.2436
2025-01,217.0621,104.6582
2025-02,183.1653,101.1287
2025-03,161.8638,89.045
2025-04,184.9738,88.6819
2025-05,209.2194,99.6712
2025-06,235.4998,109.046
2025-07,259.3477,112.823
2025-08,245.2296,112.1707
2025-09,267.8107,118.6779
2025-10,272.6744,122.8639
2025-11,235.7572,122.3204
2025-12,207.3833,121.4705
2026-01,237.2493,123.6468
2026-02,258.676,120.852
