Date,rate_NOC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.5021,-3.7423
2016-03,3.4094,0.3764
2016-04,5.6301,5.1946
2016-05,7.2927,3.5695
2016-06,9.8721,4.8356
2016-07,12.5199,4.3651
2016-08,8.1659,7.2005
2016-09,5.1749,6.5176
2016-10,5.6351,5.8316
2016-11,12.1672,2.6321
2016-12,21.5291,6.5262
2017-01,11.7996,8.6002
2017-02,9.0917,9.8701
2017-03,16.5433,14.9815
2017-04,12.059,12.5254
2017-05,14.3404,13.1716
2017-06,20.1191,14.581
2017-07,18.5796,14.626
2017-08,21.2292,16.4591
2017-09,22.5193,15.9061
2017-10,29.9751,17.2911
2017-11,31.4912,19.4181
2017-12,32.9751,21.7575
2018-01,35.6723,22.6249
2018-02,49.9648,28.3844
2018-03,46.6058,21.0506
2018-04,50.3716,18.8566
2018-05,30.7372,18.843
2018-06,39.7913,22.0592
2018-07,30.1154,20.962
2018-08,26.2858,24.4135
2018-09,25.9574,27.7869
2018-10,33.5572,28.1445
2018-11,13.6915,19.3954
2018-12,8.7888,19.8359
2019-01,2.7856,8.7501
2019-02,14.4751,17.203
2019-03,21.4647,21.2677
2019-04,15.4798,23.6016
2019-05,21.4723,25.5902
2019-06,27.8775,17.8911
2019-07,34.178,26.7327
2019-08,44.4681,25.8061
2019-09,52.9559,24.2046
2019-10,53.3778,24.595
2019-11,45.7326,29.5299
2019-12,46.2373,32.3145
2020-01,42.0492,35.5516
2020-02,53.7494,34.7733
2020-03,35.6472,23.2161
2020-04,25.9782,2.6957
2020-05,34.0887,17.923
2020-06,36.2747,27.1545
2020-07,26.3604,29.2791
2020-08,32.7709,35.3897
2020-09,40.2042,45.4969
2020-10,27.7867,38.8421
2020-11,18.3279,33.8054
2020-12,24.3801,49.4413
2021-01,25.4608,52.4925
2021-02,19.9493,52.5474
2021-03,21.8768,57.1165
2021-04,33.4444,62.2404
2021-05,46.2024,68.0147
2021-06,52.6571,67.9506
2021-07,52.6858,71.7835
2021-08,49.9973,73.9065
2021-09,52.0031,78.108
2021-10,49.5636,70.559
2021-11,46.3507,79.7147
2021-12,43.9884,74.8714
2022-01,60.4018,83.8439
2022-02,52.7749,74.2485
2022-03,89.0845,64.4857
2022-04,87.3538,72.8765
2022-05,79.902,56.3809
2022-06,91.7954,54.7432
2022-07,99.6967,43.9638
2022-08,94.0516,54.5402
2022-09,96.8812,48.4061
2022-10,91.6078,33.808
2022-11,117.0426,43.6413
2022-12,115.4743,51.6237
2023-01,120.2774,42.3283
2023-02,77.5367,52.4008
2023-03,86.6711,45.8599
2023-04,85.3385,52.4428
2023-05,84.7669,54.1535
2023-06,77.1675,55.8684
2023-07,83.2576,63.7729
2023-08,79.2812,67.9151
2023-09,75.6633,65.3142
2023-10,76.6808,56.4671
2023-11,87.0784,54.158
2023-12,92.9948,66.8181
2024-01,87.3407,72.7134
2024-02,77.7095,77.0248
2024-03,82.5812,84.7703
2024-04,88.316,89.0895
2024-05,93.4045,80.3005
2024-06,81.6511,89.1407
2024-07,74.5196,96.817
2024-08,97.1117,94.9948
2024-09,108.0463,101.4737
2024-10,116.0098,104.2286
2024-11,100.3208,104.0979
2024-12,92.5782,114.1559
2025-01,84.5548,108.1307
2025-02,90.8185,112.719
2025-03,80.0375,109.0154
2025-04,100.0611,97.097
2025-05,88.9069,95.2965
2025-06,87.3848,105.2137
2025-07,94.7285,114.7559
2025-08,125.8306,115.142
2025-09,126.1246,122.2543
2025-10,131.7929,129.8729
2025-11,122.3034,133.4127
2025-12,107.762,131.7276
2026-01,116.2288,131.8756
2026-02,172.0854,131.1612
