Date,rate_SOL-USD_5D,rate_VOO_20D
2020-04,0.0,0.0
2020-05,-23.4464,1.5217
2020-06,-30.0892,8.909
2020-07,15.2116,8.1047
2020-08,104.2168,11.5273
2020-09,421.798,17.906
2020-10,197.3177,10.2555
2020-11,50.4848,5.3397
2020-12,78.0853,17.394
2021-01,57.8931,18.4619
2021-02,280.7623,17.311
2021-03,1052.0215,19.8617
2021-04,1258.2157,22.7625
2021-05,3172.2472,26.0675
2021-06,1806.1616,24.9302
2021-07,1825.143,26.8533
2021-08,1757.1675,27.5121
2021-09,5584.8106,29.7411
2021-10,7726.2137,23.4401
2021-11,9240.6357,29.5276
2021-12,9923.8001,25.3796
2022-01,7319.8094,31.3191
2022-02,4266.1186,23.8865
2022-03,3650.1175,16.6334
2022-04,4802.8734,22.4917
2022-05,3042.286,10.6006
2022-06,1258.5883,9.5489
2022-07,968.7114,2.049
2022-08,1217.3115,9.8895
2022-09,864.0012,5.6639
2022-10,861.3631,-4.5178
2022-11,827.2206,2.9702
2022-12,276.8028,8.9911
2023-01,172.7957,2.4668
2023-02,570.2936,10.0234
2023-03,488.9216,5.4468
2023-04,436.2057,10.4448
2023-05,449.6896,11.834
2023-06,401.5402,13.2083
2023-07,347.6741,19.0659
2023-08,463.8526,22.1094
2023-09,344.9957,20.214
2023-10,438.6675,13.8069
2023-11,819.2175,12.2405
2023-12,1199.0177,21.6052
2024-01,2229.8715,25.9295
2024-02,1938.4398,29.054
2024-03,2553.2943,34.6517
2024-04,3751.787,37.6973
2024-05,2539.3295,31.1803
2024-06,3092.3319,37.5632
2024-07,2665.0985,43.0394
2024-08,3004.0343,41.57
2024-09,2238.883,46.1468
2024-10,2493.7564,47.9876
2024-11,2816.2709,47.7311
2024-12,3986.543,54.854
2025-01,3184.7422,50.3027
2025-02,3461.5423,53.4601
2025-03,2254.1284,50.6225
2025-04,1942.5657,41.904
2025-05,2294.2561,40.5442
2025-06,2365.6685,47.6304
2025-07,2161.0263,54.3972
2025-08,2369.0514,54.5405
2025-09,2843.8536,59.5175
2025-10,3162.3139,64.8269
2025-11,2603.1947,67.1822
2025-12,1711.7189,65.7899
2026-01,1687.6447,65.7259
2026-02,1022.2763,64.8935
