Date,rate_BWXT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.8788,-1.8027
2016-03,7.4227,4.5695
2016-04,4.9074,3.6217
2016-05,9.4434,4.6859
2016-06,9.4751,4.2011
2016-07,11.4282,7.3141
2016-08,15.9258,6.5393
2016-09,12.7756,5.8417
2016-10,13.9628,3.4057
2016-11,12.8685,7.0013
2016-12,13.3803,8.6582
2017-01,17.4043,9.9058
2017-02,29.9719,13.4199
2017-03,30.9399,12.5861
2017-04,33.2548,12.9516
2017-05,30.6296,13.7442
2017-06,29.2897,14.6714
2017-07,38.0282,16.2352
2017-08,41.667,15.7466
2017-09,43.0062,17.3266
2017-10,50.8544,19.2474
2017-11,55.6985,22.0133
2017-12,48.6118,22.6523
2018-01,53.8064,28.4864
2018-02,50.5256,22.6807
2018-03,51.0944,18.8927
2018-04,59.2876,18.6249
2018-05,55.202,20.8091
2018-06,43.1872,20.9812
2018-07,49.6061,24.5763
2018-08,39.1597,27.7899
2018-09,40.7116,27.6747
2018-10,30.4056,18.1983
2018-11,0.5457,19.8597
2018-12,-14.9838,8.8011
2019-01,3.6826,17.1215
2019-02,16.7667,20.4441
2019-03,11.3485,22.1999
2019-04,14.3727,26.5012
2019-05,4.2551,17.9266
2019-06,16.5839,25.7011
2019-07,20.2493,26.9004
2019-08,32.0155,24.2426
2019-09,26.8946,26.142
2019-10,28.3246,28.3311
2019-11,32.5424,32.3256
2019-12,36.1338,35.5485
2020-01,38.6844,34.7719
2020-02,18.9582,23.2511
2020-03,6.5833,7.5779
2020-04,15.9973,21.2186
2020-05,37.7131,26.5774
2020-06,24.0747,28.3766
2020-07,19.0212,35.3325
2020-08,21.4654,44.0777
2020-09,22.6336,37.914
2020-10,19.4131,33.7633
2020-11,23.5392,47.7098
2020-12,30.4941,52.3667
2021-01,16.2941,49.9654
2021-02,24.7885,53.2453
2021-03,41.7712,60.4049
2021-04,43.1852,67.83
2021-05,33.6483,67.8968
2021-06,23.7252,70.6358
2021-07,21.9076,73.7106
2021-08,22.0295,77.7187
2021-09,14.1634,68.3779
2021-10,20.0159,79.119
2021-11,1.108,76.6949
2021-12,1.5078,83.6042
2022-01,-5.6453,72.9303
2022-02,13.3182,66.8181
2022-03,14.5215,72.1992
2022-04,10.2071,56.2223
2022-05,9.0154,55.8933
2022-06,17.1924,42.4002
2022-07,20.3152,54.8512
2022-08,10.8942,47.8158
2022-09,7.037,33.7039
2022-10,20.9692,44.0824
2022-11,30.3718,51.4429
2022-12,24.0025,42.1877
2023-01,29.6366,50.5828
2023-02,29.8283,46.2373
2023-03,34.0337,52.2586
2023-04,36.9084,54.0684
2023-05,27.9837,54.1996
2023-06,51.4294,63.548
2023-07,45.4531,68.1942
2023-08,55.4267,64.7317
2023-09,57.3841,56.2636
2023-10,55.3109,52.2886
2023-11,63.0072,65.5989
2023-12,59.6339,72.448
2024-01,68.8569,74.4576
2024-02,108.0338,82.7177
2024-03,112.0753,89.0282
2024-04,96.9004,80.6052
2024-05,88.9899,88.8335
2024-06,93.9723,96.0415
2024-07,102.1898,97.3583
2024-08,109.7654,101.128
2024-09,120.2597,105.7758
2024-10,145.3848,102.865
2024-11,162.7261,113.7798
2024-12,122.3889,107.7813
2025-01,124.3234,112.3595
2025-02,105.4931,108.6721
2025-03,94.5763,96.0839
2025-04,114.2524,93.6359
2025-05,145.9007,104.9003
2025-06,180.5526,114.5225
2025-07,194.2386,118.4064
2025-08,212.5217,121.8959
2025-09,253.4945,128.6764
2025-10,307.0143,133.0211
2025-11,239.1831,132.409
2025-12,225.8386,131.4906
2026-01,285.0312,133.7386
2026-02,283.7191,130.7823
2026-03,279.154,117.6098
2026-04,298.7744,139.3863
2026-05,259.3209,150.8374
2026-06,255.0676,146.5232
2026-07,200.3782,143.5801
