Date,rate_COIN_5D,rate_VOO_20D
2021-04,0.0,2.314
2021-05,-17.7423,2.2532
2021-06,-6.2803,4.8442
2021-07,-9.915,7.7713
2021-08,0.5879,11.6178
2021-09,-12.1414,2.2376
2021-10,24.7799,12.7811
2021-11,19.529,10.2777
2021-12,-4.971,17.0228
2022-01,-27.4927,6.338
2022-02,-25.2184,0.2259
2022-03,-23.7467,5.479
2022-04,-53.2979,-10.3469
2022-05,-65.412,-10.7409
2022-06,-75.9466,-24.084
2022-07,-61.9191,-11.8648
2022-08,-55.7519,-18.8432
2022-09,-54.2059,-32.7777
2022-10,-50.1789,-22.6298
2022-11,-63.6692,-15.4158
2022-12,-69.4758,-24.5362
2023-01,-49.6843,-15.811
2023-02,-42.3122,-20.1484
2023-03,-37.9703,-15.4164
2023-04,-49.1367,-13.6906
2023-05,-38.6239,-13.6001
2023-06,-27.8203,-4.4902
2023-07,0.2808,0.0056
2023-08,-18.922,-3.4212
2023-09,-22.8481,-11.7494
2023-10,-20.0,-15.661
2023-11,30.1995,-2.6767
2023-12,79.9043,3.965
2024-01,32.6127,6.6533
2024-02,108.7817,14.6734
2024-03,167.6378,19.6158
2024-04,102.3169,11.3602
2024-05,120.8349,19.3071
2024-06,113.9292,24.9094
2024-07,112.8194,26.126
2024-08,71.6914,29.708
2024-09,66.8341,33.919
2024-10,66.35,31.0378
2024-11,171.928,41.4676
2024-12,124.5553,35.6132
2025-01,163.3848,40.9768
2025-02,92.2016,37.3345
2025-03,51.9444,25.0977
2025-04,77.5314,22.6709
2025-05,113.6882,33.4833
2025-06,200.1,42.6943
2025-07,219.0246,46.3662
2025-08,153.9643,49.6595
2025-09,181.4002,57.2339
2025-10,182.8801,61.3411
2025-11,121.7603,60.6484
2025-12,81.9851,59.6651
2026-01,56.7443,62.8971
2026-02,37.9513,60.9443
