Date,rate_TTWO_5D,rate_VOO_20D
2016-01,4.0674,1.4254
2016-02,6.0956,0.6142
2016-03,7.5469,6.1243
2016-04,-3.7115,4.6014
2016-05,9.9673,5.2878
2016-06,6.2205,4.687
2016-07,11.5268,7.7174
2016-08,18.699,6.8637
2016-09,20.8288,5.9421
2016-10,16.9516,3.4868
2016-11,27.1559,6.843
2016-12,24.9626,8.2789
2017-01,33.7984,9.3935
2017-02,39.4334,12.821
2017-03,42.0802,12.0413
2017-04,47.8671,12.4367
2017-05,76.9905,13.2406
2017-06,65.0584,14.1802
2017-07,75.0684,15.6892
2017-08,110.1207,15.2834
2017-09,113.9628,16.8657
2017-10,125.5108,18.7799
2017-11,121.9243,21.509
2017-12,113.4861,22.1709
2018-01,141.0761,27.9258
2018-02,119.9069,22.2578
2018-03,88.4059,18.4465
2018-04,88.8825,18.162
2018-05,108.6904,20.337
2018-06,116.3556,20.5057
2018-07,102.9381,24.0401
2018-08,135.7295,27.2093
2018-09,139.2953,27.1082
2018-10,107.4374,17.9327
2018-11,72.2395,19.5577
2018-12,59.7897,8.5722
2019-01,62.1798,16.8959
2019-02,32.734,20.2219
2019-03,42.6055,21.9603
2019-04,45.1348,26.2654
2019-05,56.761,20.4953
2019-06,61.3925,25.3574
2019-07,72.5665,26.514
2019-08,67.6082,24.0717
2019-09,56.5594,25.9454
2019-10,51.515,27.4086
2019-11,51.6791,31.384
2019-12,51.9407,34.5804
2020-01,53.5513,33.8021
2020-02,31.626,22.3336
2020-03,37.4299,15.1867
2020-04,38.9374,29.6272
2020-05,42.4736,28.2305
2020-06,46.2477,28.0341
2020-07,70.8034,33.4885
2020-08,74.6147,42.106
2020-09,75.9828,38.2475
2020-10,63.7935,34.0563
2020-11,79.8839,42.9575
2020-12,100.757,47.5016
2021-01,91.1303,45.1166
2021-02,78.6596,43.0879
2021-03,79.8754,49.8512
2021-04,77.2617,56.911
2021-05,86.3485,54.6413
2021-06,76.5526,57.2758
2021-07,71.8281,60.2291
2021-08,58.7614,64.0213
2021-09,50.8995,55.5224
2021-10,76.366,65.5435
2021-11,60.5803,65.5034
2021-12,70.369,68.4598
2022-01,55.718,58.7763
2022-02,55.1209,53.2596
2022-03,48.2492,58.2953
2022-04,24.6982,52.2757
2022-05,31.9934,51.0659
2022-06,21.3737,38.0304
2022-07,27.3809,50.1558
2022-08,17.3424,43.3725
2022-09,4.1233,29.6913
2022-10,13.0359,39.7003
2022-11,12.6385,46.8631
2022-12,8.4943,40.5677
2023-01,17.8561,48.7988
2023-02,10.9627,45.5387
2023-03,10.3333,49.6635
2023-04,14.8233,48.4614
2023-05,22.4588,48.1923
2023-06,28.683,57.2072
2023-07,29.591,61.7125
2023-08,20.2723,59.5229
2023-09,17.1364,51.3631
2023-10,11.4967,47.5518
2023-11,31.6895,60.474
2023-12,33.6097,67.125
2024-01,36.5527,69.1001
2024-02,21.319,77.1309
2024-03,22.3618,83.2841
2024-04,18.9537,75.177
2024-05,33.3488,83.1784
2024-06,28.9562,90.182
2024-07,24.5827,90.9416
2024-08,32.9125,97.1965
2024-09,28.2846,98.31
2024-10,34.8099,95.5089
2024-11,56.6387,105.9957
2024-12,52.5594,100.2436
2025-01,53.2348,104.6582
2025-02,72.6768,101.1287
2025-03,68.1872,89.045
2025-04,85.5688,88.6819
2025-05,79.2576,99.6712
2025-06,91.6145,109.046
2025-07,75.0807,112.823
2025-08,82.6586,112.1707
2025-09,101.5215,118.6779
2025-10,99.1245,122.8639
2025-11,90.3792,122.3204
2025-12,97.2892,121.4705
2026-01,69.0656,123.6468
2026-02,61.8345,120.852
