Date,rate_ITW_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.2684,-0.6039
2016-03,11.1436,5.2168
2016-04,10.1624,3.9893
2016-05,9.4946,4.6886
2016-06,6.4117,4.1237
2016-07,16.568,7.1795
2016-08,17.8344,6.3603
2016-09,17.3148,5.6281
2016-10,9.5056,3.196
2016-11,19.7965,6.7601
2016-12,16.1478,8.3626
2017-01,20.6113,10.2536
2017-02,23.4835,13.6522
2017-03,22.6417,12.7005
2017-04,26.2791,12.9818
2017-05,27.4428,13.693
2017-06,28.0922,13.5288
2017-07,24.2405,15.0481
2017-08,20.1731,14.5515
2017-09,28.847,16.1037
2017-10,34.7121,17.9557
2017-11,43.9746,20.6805
2017-12,40.7961,21.3029
2018-01,46.5189,28.0338
2018-02,34.433,22.1441
2018-03,29.8215,18.3021
2018-04,16.7627,18.0902
2018-05,17.4408,20.2208
2018-06,13.1671,20.3415
2018-07,16.5736,23.8746
2018-08,12.509,27.0072
2018-09,15.1334,27.7347
2018-10,3.6035,18.1437
2018-11,12.7188,19.7418
2018-12,3.1535,8.5778
2019-01,11.7139,17.1263
2019-02,16.9035,20.3748
2019-03,16.7621,22.0514
2019-04,25.9385,26.2651
2019-05,12.4105,17.5943
2019-06,21.7956,25.308
2019-07,23.9469,26.4355
2019-08,19.8883,23.7232
2019-09,26.0483,26.1617
2019-10,35.1435,28.2707
2019-11,38.8069,32.1761
2019-12,42.9605,35.3247
2020-01,39.2838,35.2749
2020-02,32.6752,23.5454
2020-03,12.5747,7.7105
2020-04,28.4743,21.425
2020-05,35.7169,26.7132
2020-06,37.6806,28.4357
2020-07,44.8626,35.3124
2020-08,53.7148,43.9511
2020-09,50.1455,37.6938
2020-10,51.2584,33.4637
2020-11,61.8747,47.2943
2020-12,56.1087,51.8455
2021-01,48.7488,50.305
2021-02,53.8987,53.4604
2021-03,68.3587,59.4101
2021-04,73.8917,66.6882
2021-05,73.5611,66.6274
2021-06,67.0552,69.2184
2021-07,68.2189,72.1455
2021-08,71.6571,75.992
2021-09,52.2307,66.6118
2021-10,66.9277,77.1553
2021-11,68.9784,74.6519
2021-12,79.3939,81.397
2022-01,68.9209,70.7122
2022-02,55.2959,64.6001
2022-03,50.4355,69.8532
2022-04,40.9026,54.0273
2022-05,48.0877,53.6333
2022-06,29.9899,40.2902
2022-07,47.6612,52.5094
2022-08,37.8644,45.531
2022-09,28.2686,31.5965
2022-10,51.0401,41.7445
2022-11,60.1761,48.9584
2022-12,55.2869,39.838
2023-01,66.3049,48.5632
2023-02,63.3966,44.2258
2023-03,70.6684,48.9578
2023-04,68.7149,50.6836
2023-05,51.7663,50.7741
2023-06,73.707,59.884
2023-07,81.8873,64.3798
2023-08,69.9913,60.953
2023-09,58.4715,52.6248
2023-10,53.5436,48.7132
2023-11,65.2514,61.6976
2023-12,78.8253,68.3392
2024-01,78.1198,71.0275
2024-02,78.1224,79.0476
2024-03,82.378,83.99
2024-04,65.1179,75.7344
2024-05,63.4978,83.6813
2024-06,59.8814,89.2836
2024-07,66.1923,90.5002
2024-08,69.4552,94.0822
2024-09,76.4001,98.2932
2024-10,74.9698,95.412
2024-11,85.1157,105.8418
2024-12,69.343,99.9875
2025-01,73.0573,105.351
2025-02,75.5427,101.7087
2025-03,65.2099,89.4719
2025-04,59.1756,87.0451
2025-05,62.0097,97.8575
2025-06,63.8282,107.0685
2025-07,68.8954,110.7404
2025-08,73.9524,114.0337
2025-09,72.4541,121.6081
2025-10,60.6781,125.7153
2025-11,63.626,125.0226
2025-12,62.1433,124.0393
2026-01,71.9227,127.2713
2026-02,47.4455,125.3185
