Date,rate_VEEV_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-7.6041,-1.8027
2016-03,-3.2487,4.5695
2016-04,7.2142,3.6217
2016-05,26.6601,4.6859
2016-06,26.2024,4.2011
2016-07,36.2099,7.3141
2016-08,41.7009,6.5393
2016-09,38.4628,5.8417
2016-10,26.7189,3.4057
2016-11,48.7167,7.0013
2016-12,27.1388,8.6582
2017-01,30.0537,9.9058
2017-02,31.985,13.4199
2017-03,52.1416,12.5861
2017-04,55.6684,12.9516
2017-05,80.4543,13.7442
2017-06,69.7165,14.6714
2017-07,72.6747,16.2352
2017-08,57.7103,15.7466
2017-09,46.9102,17.3266
2017-10,56.391,19.2474
2017-11,52.1255,22.0133
2017-12,37.7432,22.6523
2018-01,54.8802,28.4864
2018-02,69.4828,22.6807
2018-03,74.8386,18.8927
2018-04,65.3641,18.6249
2018-05,79.8501,20.8091
2018-06,75.94,20.9812
2018-07,70.7168,24.5763
2018-08,132.3144,27.7899
2018-09,138.1587,27.6747
2018-10,96.5349,18.1983
2018-11,103.9292,19.8597
2018-12,86.7541,8.8011
2019-01,125.1164,17.1215
2019-02,139.7035,20.4441
2019-03,153.9736,22.1999
2019-04,175.7559,26.5012
2019-05,199.4552,17.9266
2019-06,209.6202,25.7011
2019-07,211.8445,26.9004
2019-08,196.8268,24.2426
2019-09,178.44,26.142
2019-10,155.0302,28.3311
2019-11,164.7205,32.3256
2019-12,146.3787,35.5485
2020-01,153.6763,34.7719
2020-02,142.6776,23.2511
2020-03,164.1905,7.5779
2020-04,218.4715,21.2186
2020-05,260.6195,26.5774
2020-06,281.0471,28.3766
2020-07,324.1752,35.3325
2020-08,346.3585,44.0777
2020-09,338.5376,37.914
2020-10,315.5965,33.7633
2020-11,320.6044,47.7098
2020-12,308.3023,52.3667
2021-01,309.4505,49.9654
2021-02,309.7912,53.2453
2021-03,277.5306,60.4049
2021-04,303.4212,67.83
2021-05,311.2947,67.8968
2021-06,333.94,70.6358
2021-07,358.9486,73.7106
2021-08,352.6748,77.7187
2021-09,288.5072,68.3779
2021-10,322.8293,79.119
2021-11,272.9023,76.6949
2021-12,233.7894,83.6042
2022-01,206.0945,72.9303
2022-02,193.7057,66.8181
2022-03,170.0488,72.1992
2022-04,129.3643,56.2223
2022-05,113.064,55.8933
2022-06,146.1444,42.4002
2022-07,175.7202,54.8512
2022-08,143.8612,47.8158
2022-09,100.4535,33.7039
2022-10,102.9228,44.0824
2022-11,128.6171,51.4429
2022-12,92.5451,42.1877
2023-01,102.3201,50.5828
2023-02,95.3507,46.2373
2023-03,115.4864,52.2586
2023-04,108.6879,54.0684
2023-05,91.9768,54.1996
2023-06,127.6082,63.548
2023-07,133.6231,68.1942
2023-08,137.2673,64.7317
2023-09,129.8215,56.2636
2023-10,116.3864,52.2886
2023-11,94.6606,65.5989
2023-12,113.8528,72.448
2024-01,129.1192,74.4576
2024-02,147.6704,82.7177
2024-03,152.9381,89.0282
2024-04,115.5011,80.6052
2024-05,88.1443,88.8335
2024-06,96.6842,96.0415
2024-07,105.2881,97.3583
2024-08,130.3546,101.128
2024-09,122.1613,105.7758
2024-10,119.9236,102.865
2024-11,138.693,113.7798
2024-12,119.0918,107.7813
2025-01,141.8325,112.3595
2025-02,131.1495,108.6721
2025-03,137.6468,96.0839
2025-04,138.5317,93.6359
2025-05,184.0149,104.9003
2025-06,190.7535,114.5225
2025-07,185.3192,118.4064
2025-08,168.7679,121.8959
2025-09,195.8145,128.6764
2025-10,187.5479,133.0211
2025-11,136.0029,132.409
2025-12,118.2072,131.4906
2026-01,98.463,133.7386
2026-02,76.4463,130.7823
2026-03,69.6966,117.6098
2026-04,50.205,139.3863
2026-05,67.3488,150.8374
2026-06,69.7483,146.5232
2026-07,94.2189,145.3136
