Date,rate_DVA_5D,rate_VOO_20D
2016-01,-2.17,-3.28
2016-02,-2.9725,-1.8027
2016-03,7.7643,4.5695
2016-04,6.3725,3.6217
2016-05,9.9529,4.6859
2016-06,8.2526,4.2011
2016-07,7.3747,7.3141
2016-08,-11.0497,6.5393
2016-09,-7.7445,5.8417
2016-10,-17.4003,3.4057
2016-11,-8.8943,7.0013
2016-12,-7.0828,8.6582
2017-01,-7.1927,9.9058
2017-02,1.4742,13.4199
2017-03,-0.6945,12.5861
2017-04,0.863,12.9516
2017-05,-3.2061,13.7442
2017-06,-5.3015,14.6714
2017-07,-4.9936,16.2352
2017-08,-13.8075,15.7466
2017-09,-11.8629,17.3266
2017-10,-9.3111,19.2474
2017-11,-8.3644,22.0133
2017-12,8.8119,22.6523
2018-01,17.1214,28.4864
2018-02,7.5266,22.6807
2018-03,-1.7177,18.8927
2018-04,-6.3477,18.6249
2018-05,-0.1001,20.8091
2018-06,3.7656,20.9812
2018-07,4.8957,24.5763
2018-08,3.2674,27.7899
2018-09,6.6429,27.6747
2018-10,-0.0112,18.1983
2018-11,-1.9529,19.8597
2018-12,-23.5556,8.8011
2019-01,-15.9392,17.1215
2019-02,-14.3709,20.4441
2019-03,-17.9441,22.1999
2019-04,-16.0846,26.5012
2019-05,-33.6977,17.9266
2019-06,-13.0853,25.7011
2019-07,-7.2222,26.9004
2019-08,-12.4325,24.2426
2019-09,-11.0675,26.142
2019-10,-8.4228,28.3311
2019-11,12.292,32.3256
2019-12,17.116,35.5485
2020-01,24.2835,34.7719
2020-02,20.3147,23.2511
2020-03,17.509,7.5779
2020-04,21.8094,21.2186
2020-05,24.4541,26.5774
2020-06,21.2311,28.3766
2020-07,33.3823,35.3325
2020-08,31.8298,44.0777
2020-09,29.5835,37.914
2020-10,30.0351,33.7633
2020-11,64.9259,47.7098
2020-12,75.1121,52.3667
2021-01,73.8365,49.9654
2021-02,50.2315,53.2453
2021-03,57.6678,60.4049
2021-04,69.5289,67.83
2021-05,73.573,67.8968
2021-06,72.9774,70.6358
2021-07,71.6089,73.7106
2021-08,85.454,77.7187
2021-09,63.7963,68.3779
2021-10,44.6479,79.119
2021-11,31.8182,76.6949
2021-12,58.1224,83.6042
2022-01,49.8836,72.9303
2022-02,55.2525,66.8181
2022-03,55.0024,72.1992
2022-04,47.8127,56.2223
2022-05,32.4259,55.8933
2022-06,8.3265,42.4002
2022-07,13.8459,54.8512
2022-08,15.1865,47.8158
2022-09,11.5803,33.7039
2022-10,-1.6893,44.0824
2022-11,-0.647,51.4429
2022-12,0.6346,42.1877
2023-01,11.0173,50.5828
2023-02,10.6806,46.2373
2023-03,9.0129,52.2586
2023-04,21.3139,54.0684
2023-05,25.5035,54.1996
2023-06,34.2891,63.548
2023-07,35.9367,68.1942
2023-08,36.1129,64.7317
2023-09,25.2747,56.2636
2023-10,2.1477,52.2886
2023-11,34.1312,65.5989
2023-12,38.094,72.448
2024-01,42.1668,74.4576
2024-02,66.3248,82.7177
2024-03,80.0929,89.0282
2024-04,80.5395,80.6052
2024-05,90.2157,88.8335
2024-06,78.3421,96.0415
2024-07,75.0839,97.3583
2024-08,92.5884,101.128
2024-09,108.223,105.7758
2024-10,76.7401,102.865
2024-11,109.1707,113.7798
2024-12,87.354,107.7813
2025-01,119.7551,112.3595
2025-02,83.5496,108.6721
2025-03,89.0836,96.0839
2025-04,74.2535,93.6359
2025-05,67.1203,104.9003
2025-06,74.0899,114.5225
2025-07,70.8893,118.4064
2025-08,67.126,121.8959
2025-09,60.6467,128.6764
2025-10,43.454,133.0211
2025-11,43.8814,132.409
2025-12,36.245,131.4906
2026-01,30.8427,133.7386
2026-02,86.6339,130.7823
2026-03,83.1719,129.7769
