Date,rate_MET_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-12.6064,-1.8027
2016-03,-0.2164,4.5695
2016-04,2.1023,3.6217
2016-05,3.5902,4.6859
2016-06,-9.9245,4.2011
2016-07,-1.7127,7.3141
2016-08,0.989,6.5393
2016-09,3.359,5.8417
2016-10,8.8631,3.4057
2016-11,27.4658,7.0013
2016-12,22.4329,8.6582
2017-01,21.8692,9.9058
2017-02,16.8506,13.4199
2017-03,16.3034,12.5861
2017-04,13.0845,12.9516
2017-05,10.5206,13.7442
2017-06,19.2207,14.6714
2017-07,18.3377,16.2352
2017-08,12.9763,15.7466
2017-09,24.4859,17.3266
2017-10,27.2401,19.2474
2017-11,29.0853,22.0133
2017-12,20.4565,22.6523
2018-01,13.7518,28.4864
2018-02,11.6002,22.6807
2018-03,10.5114,18.8927
2018-04,14.4015,18.6249
2018-05,12.9294,20.8091
2018-06,6.5745,20.9812
2018-07,11.5742,24.5763
2018-08,14.6443,27.7899
2018-09,16.26,27.6747
2018-10,2.1,18.1983
2018-11,11.5282,19.8597
2018-12,2.3215,8.8011
2019-01,13.7214,17.1215
2019-02,13.219,20.4441
2019-03,6.3137,22.1999
2019-04,14.9256,26.5012
2019-05,15.8738,17.9266
2019-06,24.1283,25.7011
2019-07,22.908,26.9004
2019-08,10.8563,24.2426
2019-09,17.7449,26.142
2019-10,16.4929,28.3311
2019-11,24.9452,32.3256
2019-12,27.0634,35.5485
2020-01,23.3867,34.7719
2020-02,6.7404,23.2511
2020-03,-23.6726,7.5779
2020-04,-9.1834,21.2186
2020-05,-7.9505,26.5774
2020-06,-6.5304,28.3766
2020-07,-2.9555,35.3325
2020-08,-0.161,44.0777
2020-09,-3.5073,37.914
2020-10,-1.6866,33.7633
2020-11,21.1253,47.7098
2020-12,22.7647,52.3667
2021-01,25.5155,49.9654
2021-02,50.811,53.2453
2021-03,58.2126,60.4049
2021-04,64.6224,67.83
2021-05,69.3061,67.8968
2021-06,54.0404,70.6358
2021-07,47.7168,73.7106
2021-08,59.183,77.7187
2021-09,57.6649,68.3779
2021-10,59.5393,79.119
2021-11,49.4346,76.6949
2021-12,58.5258,83.6042
2022-01,69.2491,72.9303
2022-02,70.7253,66.8181
2022-03,76.7627,72.1992
2022-04,64.2547,56.2223
2022-05,68.9136,55.8933
2022-06,56.5922,42.4002
2022-07,56.9997,54.8512
2022-08,60.195,47.8158
2022-09,50.6393,33.7039
2022-10,80.6723,44.0824
2022-11,89.4754,51.4429
2022-12,77.7815,42.1877
2023-01,78.4539,50.5828
2023-02,75.6278,46.2373
2023-03,41.2011,52.2586
2023-04,48.9575,54.0684
2023-05,21.1822,54.1996
2023-06,37.9226,63.548
2023-07,53.1529,68.1942
2023-08,54.7321,64.7317
2023-09,53.0618,56.2636
2023-10,45.4725,52.2886
2023-11,54.987,65.5989
2023-12,60.4706,72.448
2024-01,67.5526,74.4576
2024-02,69.1857,82.7177
2024-03,79.0358,89.0282
2024-04,70.9698,80.6052
2024-05,74.6473,88.8335
2024-06,68.68,96.0415
2024-07,83.9499,97.3583
2024-08,85.9546,101.128
2024-09,97.0728,105.7758
2024-10,86.5166,102.865
2024-11,110.2115,113.7798
2024-12,94.1438,107.7813
2025-01,104.2009,112.3595
2025-02,103.7584,108.6721
2025-03,88.9676,96.0839
2025-04,76.6415,93.6359
2025-05,84.7717,104.9003
2025-06,88.333,114.5225
2025-07,77.1408,118.4064
2025-08,90.3826,121.8959
2025-09,91.9611,128.6764
2025-10,85.2715,133.0211
2025-11,78.3362,132.409
2025-12,83.2088,131.4906
2026-01,82.3824,133.7386
2026-02,67.3403,130.7823
2026-03,61.9128,126.4154
