Date,rate_HBAN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-19.333,-3.7423
2016-03,-4.0737,0.3764
2016-04,2.0181,5.1946
2016-05,6.796,3.5695
2016-06,10.1323,4.8356
2016-07,-8.1827,4.3651
2016-08,-1.2377,7.2005
2016-09,5.0202,6.5176
2016-10,4.1366,5.8316
2016-11,11.0753,2.6321
2016-12,35.8024,6.5262
2017-01,37.1934,8.6002
2017-02,37.1674,9.8701
2017-03,46.0629,14.9815
2017-04,31.3788,12.5254
2017-05,26.5113,13.1716
2017-06,21.4142,14.581
2017-07,28.536,14.626
2017-08,25.149,16.4591
2017-09,18.1201,15.9061
2017-10,31.1012,17.2911
2017-11,28.2874,19.4181
2017-12,32.8492,21.7575
2018-01,35.5736,22.6249
2018-02,50.5432,28.3844
2018-03,41.9568,21.0506
2018-04,38.7802,18.8566
2018-05,34.7502,18.843
2018-06,36.9751,22.0592
2018-07,34.8457,20.962
2018-08,40.3288,24.4135
2018-09,45.5294,27.7869
2018-10,36.4992,28.1445
2018-11,30.4305,19.3954
2018-12,31.4502,19.8359
2019-01,7.9315,8.7501
2019-02,20.3641,17.203
2019-03,29.5411,21.2677
2019-04,21.2689,23.6016
2019-05,26.5195,25.5902
2019-06,15.6324,17.8911
2019-07,29.7448,26.7327
2019-08,26.7125,25.8061
2019-09,23.1295,24.2046
2019-10,30.2014,24.595
2019-11,33.4499,29.5299
2019-12,37.8271,32.3145
2020-01,40.1661,35.5516
2020-02,25.3902,34.7733
2020-03,12.9169,23.2161
2020-04,-30.2177,2.6957
2020-05,-19.0623,17.923
2020-06,-13.6769,27.1545
2020-07,-16.3747,29.2791
2020-08,-9.961,35.3897
2020-09,-8.1305,45.4969
2020-10,-9.3542,38.8421
2020-11,3.6058,33.8054
2020-12,23.9739,49.4413
2021-01,26.3407,52.4925
2021-02,31.7874,52.5474
2021-03,57.1901,57.1165
2021-04,59.2424,62.2404
2021-05,51.7751,68.0147
2021-06,58.4668,67.9506
2021-07,42.8798,71.7835
2021-08,38.7869,73.9065
2021-09,50.3874,78.108
2021-10,56.3961,70.559
2021-11,56.4705,79.7147
2021-12,43.0832,74.8714
2022-01,51.3765,83.8439
2022-02,52.0378,74.2485
2022-03,39.9541,64.4857
2022-04,41.4062,72.8765
2022-05,28.2749,56.3809
2022-06,32.1862,54.7432
2022-07,18.8278,43.9638
2022-08,30.8374,54.5402
2022-09,30.6461,48.4061
2022-10,32.9459,33.808
2022-11,53.6561,43.6413
2022-12,56.1126,51.6237
2023-01,45.2235,42.3283
2023-02,56.1784,52.4008
2023-03,56.3415,45.8599
2023-04,18.703,52.4428
2023-05,16.2631,54.1535
2023-06,10.4812,55.8684
2023-07,15.3754,63.7729
2023-08,30.8064,67.9151
2023-09,19.598,65.3142
2023-10,15.6088,56.4671
2023-11,6.89,54.158
2023-12,30.2207,66.8181
2024-01,45.894,72.7134
2024-02,42.4424,77.0248
2024-03,47.5929,84.7703
2024-04,61.2543,89.0895
2024-05,59.6995,80.3005
2024-06,62.2546,89.1407
2024-07,54.6179,96.817
2024-08,68.2522,94.9948
2024-09,74.5927,101.4737
2024-10,68.1318,104.2286
2024-11,81.0536,104.0979
2024-12,109.762,114.1559
2025-01,90.3738,108.1307
2025-02,100.3763,112.719
2025-03,90.9973,109.0154
2025-04,74.4152,97.097
2025-05,69.9128,95.2965
2025-06,80.9886,105.2137
2025-07,99.9429,114.7559
2025-08,85.8616,115.142
2025-09,105.5484,122.2543
2025-10,97.5788,129.8729
2025-11,78.2751,133.4127
2025-12,90.2706,131.7276
2026-01,100.5746,131.8756
2026-02,92.6106,131.1612
