Date,rate_GPC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.2426,-3.7423
2016-03,10.6789,0.3764
2016-04,15.5442,5.1946
2016-05,7.4346,3.5695
2016-06,7.0293,4.8356
2016-07,12.2474,4.3651
2016-08,10.3104,7.2005
2016-09,10.1101,6.5176
2016-10,6.9635,5.8316
2016-11,-5.8553,2.6321
2016-12,2.3477,6.5262
2017-01,2.1204,8.6002
2017-02,2.8026,9.8701
2017-03,2.8402,14.9815
2017-04,-1.06,12.5254
2017-05,-2.147,13.1716
2017-06,0.9446,14.581
2017-07,0.163,14.626
2017-08,-8.2728,16.4591
2017-09,-9.0788,15.9061
2017-10,4.952,17.2911
2017-11,-4.278,19.4181
2017-12,1.86,21.7575
2018-01,4.8746,22.6249
2018-02,13.7091,28.3844
2018-03,0.2383,21.0506
2018-04,-0.7062,18.8566
2018-05,-1.9676,18.843
2018-06,1.1831,22.0592
2018-07,2.2902,20.962
2018-08,8.181,24.4135
2018-09,10.9216,27.7869
2018-10,10.7537,28.1445
2018-11,8.8208,19.3954
2018-12,15.0912,19.8359
2019-01,6.9627,8.7501
2019-02,12.1752,17.203
2019-03,21.0217,21.2677
2019-04,25.6823,23.6016
2019-05,11.0518,25.5902
2019-06,9.0704,17.8911
2019-07,15.9765,26.7327
2019-08,4.4626,25.8061
2019-09,-0.3219,24.2046
2019-10,8.1763,24.595
2019-11,16.3157,29.5299
2019-12,15.5899,32.3145
2020-01,18.1598,35.5516
2020-02,3.7491,34.7733
2020-03,-3.3413,23.2161
2020-04,-29.5648,2.6957
2020-05,-14.9097,17.923
2020-06,-3.742,27.1545
2020-07,-1.5044,29.2791
2020-08,3.3947,35.3897
2020-09,9.648,45.4969
2020-10,9.5914,38.8421
2020-11,4.1925,33.8054
2020-12,17.0613,49.4413
2021-01,16.2584,52.4925
2021-02,9.3601,52.5474
2021-03,24.9156,57.1165
2021-04,35.0091,62.2404
2021-05,44.0869,68.0147
2021-06,51.5776,67.9506
2021-07,47.4097,71.7835
2021-08,45.1105,73.9065
2021-09,39.9388,78.108
2021-10,38.9902,70.559
2021-11,49.6921,79.7147
2021-12,42.9398,74.8714
2022-01,58.8255,83.8439
2022-02,51.345,74.2485
2022-03,34.9319,64.4857
2022-04,41.7935,72.8765
2022-05,45.8622,56.3809
2022-06,51.7103,54.7432
2022-07,49.2945,43.9638
2022-08,70.4975,54.5402
2022-09,74.8777,48.4061
2022-10,65.6741,33.808
2022-11,97.9192,43.6413
2022-12,103.9218,51.6237
2023-01,90.1971,42.3283
2023-02,83.7499,52.4008
2023-03,84.6615,45.8599
2023-04,81.4762,52.4428
2023-05,84.4439,54.1535
2023-06,61.2174,55.8684
2023-07,82.0624,63.7729
2023-08,67.8212,67.9151
2023-09,65.2818,65.3142
2023-10,54.2316,56.4671
2023-11,37.0507,54.158
2023-12,43.95,66.8181
2024-01,47.5381,72.7134
2024-02,51.4743,77.0248
2024-03,58.9256,84.7703
2024-04,63.7081,89.0895
2024-05,65.7019,80.3005
2024-06,51.7533,89.1407
2024-07,43.5956,96.817
2024-08,53.4687,94.9948
2024-09,52.719,101.4737
2024-10,51.5679,104.2286
2024-11,22.9065,104.0979
2024-12,36.8602,114.1559
2025-01,29.0097,108.1307
2025-02,28.1771,112.719
2025-03,37.4164,109.0154
2025-04,33.4121,97.097
2025-05,31.4801,95.2965
2025-06,41.8761,105.2137
2025-07,43.6442,114.7559
2025-08,46.6436,115.142
2025-09,58.813,122.2543
2025-10,60.5023,129.8729
2025-11,47.4106,133.4127
2025-12,50.0599,131.7276
2026-01,45.1509,131.8756
2026-02,39.9687,131.1612
