Date,rate_AMP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-15.8731,-3.7423
2016-03,-7.0537,0.3764
2016-04,2.4727,5.1946
2016-05,3.1526,3.5695
2016-06,10.1977,4.8356
2016-07,-4.8527,4.3651
2016-08,1.2276,7.2005
2016-09,7.2535,6.5176
2016-10,6.3078,5.8316
2016-11,-7.1163,2.6321
2016-12,23.4761,6.5262
2017-01,17.1801,8.6002
2017-02,18.0856,9.8701
2017-03,39.4561,14.9815
2017-04,32.1314,12.5254
2017-05,29.244,13.1716
2017-06,22.7165,14.581
2017-07,25.5514,14.626
2017-08,42.3792,16.4591
2017-09,35.1899,15.9061
2017-10,41.8064,17.2911
2017-11,48.2574,19.4181
2017-12,53.1943,21.7575
2018-01,57.4761,22.6249
2018-02,56.6472,28.3844
2018-03,39.4858,21.0506
2018-04,32.8812,18.8566
2018-05,23.789,18.843
2018-06,26.4141,22.0592
2018-07,25.1969,20.962
2018-08,27.0484,24.4135
2018-09,27.7722,27.7869
2018-10,33.0677,28.1445
2018-11,15.2201,19.3954
2018-12,17.1078,19.8359
2019-01,-6.1857,8.7501
2019-02,14.2567,17.203
2019-03,19.4342,21.2677
2019-04,19.3824,23.6016
2019-05,31.3691,25.5902
2019-06,25.7374,17.8911
2019-07,31.9265,26.7327
2019-08,26.5105,25.8061
2019-09,18.1396,24.2046
2019-10,28.4661,24.595
2019-11,39.7631,29.5299
2019-12,50.653,32.3145
2020-01,52.0678,35.5516
2020-02,49.9426,34.7733
2020-03,28.1056,23.2161
2020-04,-14.8663,2.6957
2020-05,0.7695,17.923
2020-06,33.1723,27.1545
2020-07,34.2939,29.2791
2020-08,40.8181,35.3897
2020-09,46.1512,45.4969
2020-10,43.6262,38.8421
2020-11,47.9502,33.8054
2020-12,76.9051,49.4413
2021-01,79.3851,52.4925
2021-02,84.0478,52.5474
2021-03,109.3246,57.1165
2021-04,113.3229,62.2404
2021-05,132.2105,68.0147
2021-06,136.6509,67.9506
2021-07,124.4785,71.7835
2021-08,128.4465,73.9065
2021-09,142.4861,78.108
2021-10,137.1055,70.559
2021-11,167.7556,79.7147
2021-12,150.2545,74.8714
2022-01,162.7254,83.8439
2022-02,166.0561,74.2485
2022-03,139.9213,64.4857
2022-04,153.6979,72.8765
2022-05,124.6629,56.3809
2022-06,130.3516,54.7432
2022-07,101.2204,43.9638
2022-08,123.9586,54.5402
2022-09,127.7228,48.4061
2022-10,111.6665,33.808
2022-11,162.197,43.6413
2022-12,177.2751,51.6237
2023-01,158.8968,42.3283
2023-02,192.6534,52.4008
2023-03,182.2289,45.8599
2023-04,150.1107,52.4428
2023-05,145.2267,54.1535
2023-06,147.7802,55.8684
2023-07,169.1727,63.7729
2023-08,180.8729,67.9151
2023-09,176.7881,65.3142
2023-10,164.7407,56.4671
2023-11,153.295,54.158
2023-12,185.6123,66.8181
2024-01,202.4169,72.7134
2024-02,205.2235,77.0248
2024-03,223.4825,84.7703
2024-04,240.1871,89.0895
2024-05,221.1681,80.3005
2024-06,240.2789,89.1407
2024-07,229.7768,96.817
2024-08,221.6028,94.9948
2024-09,244.3347,101.4737
2024-10,260.0404,104.2286
2024-11,283.3128,104.0979
2024-12,331.9041,114.1559
2025-01,297.7932,108.1307
2025-02,303.1702,112.719
2025-03,297.0381,109.0154
2025-04,258.6747,97.097
2025-05,243.1285,95.2965
2025-06,270.1873,105.2137
2025-07,289.0214,114.7559
2025-08,259.8981,115.142
2025-09,268.2755,122.2543
2025-10,245.926,129.8729
2025-11,219.9361,133.4127
2025-12,220.7145,131.7276
2026-01,243.7083,131.8756
2026-02,226.7563,131.1612
