Date,rate_TECH_5D,rate_VOO_20D
2016-01,-3.3965,1.4254
2016-02,-0.0781,0.6142
2016-03,8.2782,6.1243
2016-04,4.8121,4.6014
2016-05,20.7332,5.2878
2016-06,19.5109,4.687
2016-07,16.6483,7.7174
2016-08,7.2218,6.8637
2016-09,10.4685,5.9421
2016-10,3.9059,3.4868
2016-11,5.1427,6.843
2016-12,1.9859,8.2789
2017-01,0.613,9.3935
2017-02,5.0521,12.821
2017-03,0.0073,12.0413
2017-04,5.4043,12.4367
2017-05,9.8309,13.2406
2017-06,14.4467,14.1802
2017-07,12.143,15.6892
2017-08,19.0296,15.2834
2017-09,15.4067,16.8657
2017-10,24.2584,18.7799
2017-11,26.7988,21.509
2017-12,20.8751,22.1709
2018-01,29.9783,27.9258
2018-02,27.5416,22.2578
2018-03,31.0537,18.4465
2018-04,27.5995,18.162
2018-05,26.1365,20.337
2018-06,23.2668,20.5057
2018-07,32.9147,24.0401
2018-08,57.6742,27.2093
2018-09,65.4883,27.1082
2018-10,34.4374,17.9327
2018-11,29.3107,19.5577
2018-12,15.199,8.5722
2019-01,38.3816,16.8959
2019-02,52.5285,20.2219
2019-03,51.1392,21.9603
2019-04,54.3992,26.2654
2019-05,46.0613,20.4953
2019-06,49.0246,25.3574
2019-07,46.187,26.514
2019-08,36.6183,24.0717
2019-09,38.6264,25.9454
2019-10,43.618,27.4086
2019-11,49.5736,31.384
2019-12,49.3601,34.5804
2020-01,41.8963,33.8021
2020-02,26.9074,22.3336
2020-03,31.3499,15.1867
2020-04,43.2232,29.6272
2020-05,67.4115,28.2305
2020-06,69.0561,28.0341
2020-07,75.4256,33.4885
2020-08,70.3137,42.106
2020-09,63.7902,38.2475
2020-10,65.7575,34.0563
2020-11,75.5042,42.9575
2020-12,75.4777,47.5016
2021-01,69.2335,45.1166
2021-02,75.5226,43.0879
2021-03,75.3346,49.8512
2021-04,94.9012,56.911
2021-05,83.2793,54.6413
2021-06,98.0535,57.2758
2021-07,110.5415,60.2291
2021-08,116.2341,64.0213
2021-09,109.411,55.5224
2021-10,120.2314,65.5435
2021-11,97.0049,65.5034
2021-12,114.4154,68.4598
2022-01,54.9935,58.7763
2022-02,65.4809,53.2596
2022-03,55.9375,58.2953
2022-04,49.284,52.2757
2022-05,45.7867,51.0659
2022-06,36.1521,38.0304
2022-07,42.7789,50.1558
2022-08,22.5067,43.3725
2022-09,4.6059,29.6913
2022-10,9.0101,39.7003
2022-11,21.4916,46.8631
2022-12,15.1855,40.5677
2023-01,10.8302,48.7988
2023-02,3.6954,45.5387
2023-03,3.4408,49.6635
2023-04,10.1333,48.4614
2023-05,7.3321,48.1923
2023-06,7.2317,57.2072
2023-07,9.4748,61.7125
2023-08,-1.1579,59.5229
2023-09,-14.1783,51.3631
2023-10,-30.9976,47.5518
2023-11,-20.2622,60.474
2023-12,-1.9604,67.125
2024-01,-10.5543,69.1001
2024-02,-6.2726,77.1309
2024-03,-10.2748,83.2841
2024-04,-19.34,75.177
2024-05,-1.4563,83.1784
2024-06,-8.4453,90.182
2024-07,4.3537,90.9416
2024-08,-2.7084,97.1965
2024-09,5.127,98.31
2024-10,-1.1884,95.5089
2024-11,-0.9174,105.9957
2024-12,-5.2715,100.2436
2025-01,-3.2464,104.6582
2025-02,-18.5984,101.1287
2025-03,-22.6057,89.045
2025-04,-30.4054,88.6819
2025-05,-32.8379,99.6712
2025-06,-28.3004,109.046
2025-07,-29.7933,112.823
2025-08,-28.4397,112.1707
2025-09,-28.3842,118.6779
2025-10,-19.2485,122.8639
2025-11,-16.5643,122.3204
2025-12,-23.8025,121.4705
2026-01,-16.7493,123.6468
2026-02,-17.1746,120.852
