Date,rate_CBRE_5D,rate_VOO_20D
2016-01,-1.7211,1.4254
2016-02,-8.3776,0.6142
2016-03,5.2561,6.1243
2016-04,6.58,4.6014
2016-05,6.6512,5.2878
2016-06,-6.2221,4.687
2016-07,1.9812,7.7174
2016-08,6.3557,6.8637
2016-09,-1.1043,5.9421
2016-10,-8.7622,3.4868
2016-11,3.3509,6.843
2016-12,11.4345,8.2789
2017-01,7.7214,9.3935
2017-02,25.6852,12.821
2017-03,21.2395,12.0413
2017-04,24.0184,12.4367
2017-05,19.3967,13.2406
2017-06,23.4384,14.1802
2017-07,27.5366,15.6892
2017-08,20.1023,15.2834
2017-09,25.0484,16.8657
2017-10,28.4474,18.7799
2017-11,39.9321,21.509
2017-12,38.1136,22.1709
2018-01,43.9209,27.9258
2018-02,45.5852,22.2578
2018-03,44.1877,18.4465
2018-04,36.7647,18.162
2018-05,38.0184,20.337
2018-06,41.2038,20.5057
2018-07,45.8475,24.0401
2018-08,41.652,27.2093
2018-09,26.8403,27.1082
2018-10,15.4669,17.9327
2018-11,22.5839,19.5577
2018-12,10.7001,8.5722
2019-01,26.1556,16.8959
2019-02,36.4511,20.2219
2019-03,32.3965,21.9603
2019-04,36.746,26.2654
2019-05,19.2529,20.4953
2019-06,33.2308,25.3574
2019-07,36.8234,26.514
2019-08,29.91,24.0717
2019-09,31.8473,25.9454
2019-10,34.5444,27.4086
2019-11,42.4267,31.384
2019-12,52.1401,34.5804
2020-01,50.4771,33.8021
2020-02,48.5705,22.3336
2020-03,30.126,15.1867
2020-04,41.6565,29.6272
2020-05,32.6931,28.2305
2020-06,41.1903,28.0341
2020-07,31.9995,33.4885
2020-08,40.97,42.106
2020-09,34.0744,38.2475
2020-10,34.9776,34.0563
2020-11,62.3044,42.9575
2020-12,62.5633,47.5016
2021-01,57.1311,45.1166
2021-02,82.1559,43.0879
2021-03,84.5129,49.8512
2021-04,96.9268,56.911
2021-05,95.1372,54.6413
2021-06,89.9555,57.2758
2021-07,111.8155,60.2291
2021-08,109.8253,64.0213
2021-09,107.7003,55.5224
2021-10,119.7737,65.5435
2021-11,100.2223,65.5034
2021-12,122.4905,68.4598
2022-01,112.1737,58.7763
2022-02,103.2108,53.2596
2022-03,99.251,58.2953
2022-04,79.4883,52.2757
2022-05,74.6193,51.0659
2022-06,54.3622,38.0304
2022-07,78.7058,50.1558
2022-08,63.9114,43.3725
2022-09,39.4547,29.6913
2022-10,45.9304,39.7003
2022-11,63.116,46.8631
2022-12,55.2675,40.5677
2023-01,68.2868,48.7988
2023-02,64.3027,45.5387
2023-03,60.6007,49.6635
2023-04,68.4764,48.4614
2023-05,63.9161,48.1923
2023-06,75.7838,57.2072
2023-07,80.5852,61.7125
2023-08,83.4632,59.5229
2023-09,58.5342,51.3631
2023-10,48.2615,47.5518
2023-11,68.2077,60.474
2023-12,97.4327,67.125
2024-01,82.1855,69.1001
2024-02,93.0737,77.1309
2024-03,103.3064,83.2841
2024-04,80.8462,75.177
2024-05,82.4942,83.1784
2024-06,83.8364,90.182
2024-07,131.4726,90.9416
2024-08,118.4472,97.1965
2024-09,129.3636,98.31
2024-10,133.5942,95.5089
2024-11,139.1467,105.9957
2024-12,123.0973,100.2436
2025-01,144.7065,104.6582
2025-02,137.0339,101.1287
2025-03,119.1202,89.045
2025-04,103.7296,88.6819
2025-05,107.5044,99.6712
2025-06,131.5096,109.046
2025-07,149.6602,112.823
2025-08,146.1952,112.1707
2025-09,138.0877,118.6779
2025-10,129.2114,122.8639
2025-11,142.1785,122.3204
2025-12,139.457,121.4705
2026-01,152.4109,123.6468
2026-02,137.8491,120.852
