Date,rate_BBY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,12.6862,-0.6039
2016-03,10.2162,5.2168
2016-04,6.6057,3.9893
2016-05,5.3601,4.6886
2016-06,0.1867,4.1237
2016-07,9.4861,7.1795
2016-08,23.9638,6.3603
2016-09,21.1653,5.6281
2016-10,21.2656,3.196
2016-11,40.1455,6.7601
2016-12,28.5771,8.3626
2017-01,34.1117,10.2536
2017-02,30.3014,13.6522
2017-03,44.0243,12.7005
2017-04,48.7725,12.9818
2017-05,67.0546,13.693
2017-06,58.2813,13.5288
2017-07,57.5276,15.0481
2017-08,43.599,14.5515
2017-09,49.2915,16.1037
2017-10,44.3484,17.9557
2017-11,51.5307,20.6805
2017-12,72.2178,21.3029
2018-01,83.6928,28.0338
2018-02,78.6518,22.1441
2018-03,70.4845,18.3021
2018-04,83.4946,18.0902
2018-05,60.9354,20.2208
2018-06,74.4721,20.3415
2018-07,72.9323,23.8746
2018-08,80.7746,27.0072
2018-09,81.3421,27.7347
2018-10,58.0009,18.1437
2018-11,43.679,19.7418
2018-12,17.6351,8.5778
2019-01,31.4511,17.1263
2019-02,51.7066,20.3748
2019-03,56.1865,22.0514
2019-04,61.8294,26.2651
2019-05,34.9094,17.5943
2019-06,50.1088,25.308
2019-07,63.164,26.4355
2019-08,34.6407,23.7232
2019-09,46.9923,26.1617
2019-10,51.876,28.2707
2019-11,69.0514,32.1761
2019-12,83.385,35.3247
2020-01,76.9263,35.2749
2020-02,56.4659,23.5454
2020-03,18.0003,7.7105
2020-04,58.528,21.425
2020-05,60.1946,26.7132
2020-06,78.7506,28.4357
2020-07,102.1175,35.3124
2020-08,122.7697,43.9511
2020-09,122.1539,37.6938
2020-10,120.2336,33.4637
2020-11,112.5141,47.2943
2020-12,94.0644,51.8455
2021-01,111.5224,50.305
2021-02,93.2166,53.4604
2021-03,120.4313,59.4101
2021-04,121.0522,66.6882
2021-05,118.8809,66.6274
2021-06,115.8323,69.2184
2021-07,108.965,72.1455
2021-08,114.8337,75.992
2021-09,94.5122,66.6118
2021-10,123.1824,77.1553
2021-11,93.4008,74.6519
2021-12,83.833,81.397
2022-01,78.3708,70.7122
2022-02,72.4675,64.6001
2022-03,62.7745,69.8532
2022-04,60.1407,54.0273
2022-05,45.2833,53.6333
2022-06,16.4982,40.2902
2022-07,37.211,52.5094
2022-08,25.5099,45.531
2022-09,13.6936,31.5965
2022-10,22.5603,41.7445
2022-11,52.4271,48.9584
2022-12,44.2383,39.838
2023-01,59.3684,48.5632
2023-02,48.5371,44.2258
2023-03,40.9484,48.9578
2023-04,33.6871,50.6836
2023-05,29.9721,50.7741
2023-06,47.7823,59.884
2023-07,49.16,64.3798
2023-08,36.7714,60.953
2023-09,25.5439,52.6248
2023-10,20.4721,48.7132
2023-11,27.657,61.6976
2023-12,42.1185,68.3392
2024-01,31.7294,71.0275
2024-02,46.4473,79.0476
2024-03,49.7396,83.99
2024-04,33.9337,75.7344
2024-05,53.8523,83.6813
2024-06,53.981,89.2836
2024-07,57.5181,90.5002
2024-08,82.0769,94.0822
2024-09,89.0374,98.2932
2024-10,64.7149,95.412
2024-11,63.2575,105.8418
2024-12,56.7085,99.9875
2025-01,56.8169,105.351
2025-02,63.6685,101.7087
2025-03,35.2323,89.4719
2025-04,22.1668,87.0451
2025-05,21.1897,97.8575
2025-06,24.236,107.0685
2025-07,20.0402,110.7404
2025-08,35.6623,114.0337
2025-09,41.0591,121.6081
2025-10,52.7172,125.7153
2025-11,46.9292,125.0226
2025-12,25.4563,124.0393
2026-01,22.0758,127.2713
2026-02,24.3392,125.3185
