Date,rate_QUBT_5D,rate_VOO_20D
2016-01,0.0,1.4254
2016-02,0.0,0.6142
2016-03,0.0,6.1243
2016-04,0.0,4.6014
2016-05,0.0,5.2878
2016-06,0.0,4.687
2016-07,0.0,7.7174
2016-08,0.0,6.8637
2016-09,0.0,5.9421
2016-10,0.0,3.4868
2016-11,0.0,6.843
2016-12,0.0,8.2789
2017-01,0.0,9.3935
2017-02,0.0,12.821
2017-03,0.0,12.0413
2017-04,0.0,12.4367
2017-05,-0.0999,13.2406
2017-06,-47.2694,14.1802
2017-07,-44.7815,15.6892
2017-08,-42.5425,15.2834
2017-09,40.3549,16.8657
2017-10,38.5206,18.7799
2017-11,110.685,21.509
2017-12,70.6569,22.1709
2018-01,1145.8553,27.9258
2018-02,3126.5579,22.2578
2018-03,2418.9096,18.4465
2018-04,1903.3484,18.162
2018-05,2045.4822,20.337
2018-06,1173.3924,20.5057
2018-07,1590.5192,24.0401
2018-08,1477.6642,27.2093
2018-09,3425.6315,27.1082
2018-10,1984.564,17.9327
2018-11,1925.0131,19.5577
2018-12,745.4292,8.5722
2019-01,1371.7489,16.8959
2019-02,1603.5042,20.2219
2019-03,962.1212,21.9603
2019-04,798.1144,26.2654
2019-05,1148.605,20.4953
2019-06,1076.4947,25.3574
2019-07,1235.6742,26.514
2019-08,767.5017,24.0717
2019-09,629.6985,25.9454
2019-10,560.8735,27.4086
2019-11,456.0887,31.384
2019-12,446.5847,34.5804
2020-01,303.0522,33.8021
2020-02,515.3065,22.3336
2020-03,446.3731,15.1867
2020-04,246.6714,29.6272
2020-05,438.9677,28.2305
2020-06,627.3366,28.0341
2020-07,545.6886,33.4885
2020-08,951.5114,42.106
2020-09,870.9894,38.2475
2020-10,818.5997,34.0563
2020-11,1281.5196,42.9575
2020-12,2434.5989,47.5016
2021-01,2182.471,45.1166
2021-02,2217.6116,43.0879
2021-03,1673.643,49.8512
2021-04,1425.2496,56.911
2021-05,1369.9946,54.6413
2021-06,1329.0575,57.2758
2021-07,2411.0459,60.2291
2021-08,1904.1562,64.0213
2021-09,1478.2013,55.5224
2021-10,1354.3714,65.5435
2021-11,1195.1271,65.5034
2021-12,881.2244,68.4598
2022-01,664.5186,58.7763
2022-02,669.5815,53.2596
2022-03,578.8095,58.2953
2022-04,462.5359,52.2757
2022-05,654.115,51.0659
2022-06,793.9701,38.0304
2022-07,959.5739,50.1558
2022-08,909.9461,43.3725
2022-09,746.88,29.6913
2022-10,629.291,39.7003
2022-11,615.296,46.8631
2022-12,503.6391,40.5677
2023-01,594.2,48.7988
2023-02,570.9505,45.5387
2023-03,498.1764,49.6635
2023-04,454.6781,48.4614
2023-05,417.5183,48.1923
2023-06,376.1902,57.2072
2023-07,467.018,61.7125
2023-08,377.3458,59.5229
2023-09,333.1698,51.3631
2023-10,210.8354,47.5518
2023-11,259.1739,60.474
2023-12,265.2602,67.125
2024-01,222.1115,69.1001
2024-02,227.6983,77.1309
2024-03,287.628,83.2841
2024-04,198.712,75.177
2024-05,179.7498,83.1784
2024-06,92.7516,90.182
2024-07,160.4155,90.9416
2024-08,148.9213,97.1965
2024-09,129.8221,98.31
2024-10,271.8862,95.5089
2024-11,1834.6823,105.9957
2024-12,4394.2714,100.2436
2025-01,2693.7606,104.6582
2025-02,1518.0759,101.1287
2025-03,2016.2402,89.045
2025-04,1789.3909,88.6819
2025-05,3047.5117,99.6712
2025-06,4723.5521,109.046
2025-07,4018.2045,112.823
2025-08,3996.6576,112.1707
2025-09,4639.5802,118.6779
2025-10,4576.8157,122.8639
2025-11,3145.0287,122.3204
2025-12,2722.7071,121.4705
2026-01,2429.958,123.6468
2026-02,2177.3066,120.852
