Date,rate_ITB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.555,-1.8027
2016-03,7.6759,4.5695
2016-04,3.8359,3.6217
2016-05,6.9285,4.6859
2016-06,5.9363,4.2011
2016-07,9.8961,7.3141
2016-08,8.9656,6.5393
2016-09,2.4939,5.8417
2016-10,-4.3047,3.4057
2016-11,2.1217,7.0013
2016-12,2.4654,8.6582
2017-01,7.6258,9.9058
2017-02,12.8122,13.4199
2017-03,17.3159,12.5861
2017-04,17.5043,12.9516
2017-05,16.7657,13.7442
2017-06,21.2135,14.6714
2017-07,19.8498,16.2352
2017-08,19.5474,15.7466
2017-09,27.1187,17.3266
2017-10,36.9657,19.2474
2017-11,45.8405,22.0133
2017-12,46.8197,22.6523
2018-01,42.1647,28.4864
2018-02,25.5974,22.6807
2018-03,28.4696,18.8927
2018-04,24.0341,18.6249
2018-05,23.3222,20.8091
2018-06,21.4814,20.9812
2018-07,19.9033,24.5763
2018-08,18.7971,27.7899
2018-09,10.8086,27.6747
2018-10,-2.5235,18.1983
2018-11,1.2101,19.8597
2018-12,-6.0984,8.8011
2019-01,7.2312,17.1215
2019-02,8.1431,20.4441
2019-03,9.9348,22.1999
2019-04,18.1269,26.5012
2019-05,12.9163,17.9266
2019-06,18.1674,25.7011
2019-07,19.8261,26.9004
2019-08,25.068,24.2426
2019-09,32.2912,26.142
2019-10,35.6773,28.3311
2019-11,37.5343,32.3256
2019-12,33.4223,35.5485
2020-01,41.9361,34.7719
2020-02,28.9582,23.2511
2020-03,-14.3966,7.5779
2020-04,8.5839,21.2186
2020-05,28.4203,26.5774
2020-06,30.5484,28.3766
2020-07,52.1295,35.3325
2020-08,59.7052,44.0777
2020-09,64.6455,37.914
2020-10,50.1512,33.7633
2020-11,60.5141,47.7098
2020-12,59.1581,52.3667
2021-01,67.1682,49.9654
2021-02,69.322,53.2453
2021-03,89.8034,60.4049
2021-04,103.233,67.83
2021-05,98.0667,67.8968
2021-06,89.2066,70.6358
2021-07,94.1954,73.7106
2021-08,97.0645,77.7187
2021-09,77.0441,68.3779
2021-10,91.2619,79.119
2021-11,99.537,76.6949
2021-12,117.3722,83.6042
2022-01,83.7583,72.9303
2022-02,72.7522,66.8181
2022-03,52.8231,72.1992
2022-04,48.237,56.2223
2022-05,54.2745,55.8933
2022-06,33.8687,42.4002
2022-07,55.1501,54.8512
2022-08,41.7178,47.8158
2022-09,31.514,33.7039
2022-10,41.8017,44.0824
2022-11,52.8407,51.4429
2022-12,51.8289,42.1877
2023-01,73.5555,50.5828
2023-02,67.9646,46.2373
2023-03,74.0112,52.2586
2023-04,86.7073,54.0684
2023-05,79.3007,54.1996
2023-06,108.3271,63.548
2023-07,115.2055,68.1942
2023-08,107.8528,64.7317
2023-09,88.4816,56.2636
2023-10,75.6753,52.2886
2023-11,106.6553,65.5989
2023-12,140.7651,72.448
2024-01,135.2003,74.4576
2024-02,152.3044,82.7177
2024-03,169.3581,89.0282
2024-04,140.1387,80.6052
2024-05,144.0804,88.8335
2024-06,130.995,96.0415
2024-07,174.1167,97.3583
2024-08,173.3432,101.128
2024-09,185.6996,105.7758
2024-10,161.8808,102.865
2024-11,175.018,113.7798
2024-12,128.5794,107.7813
2025-01,135.8843,112.3595
2025-02,116.2617,108.6721
2025-03,108.746,96.0839
2025-04,100.9707,93.6359
2025-05,94.4135,104.9003
2025-06,102.9738,114.5225
2025-07,111.1717,118.4064
2025-08,138.8446,121.8959
2025-09,130.5441,128.6764
2025-10,114.8242,133.0211
2025-11,121.288,132.409
2025-12,104.519,131.4906
2026-01,115.7635,133.7386
2026-02,126.3661,130.7823
2026-03,90.1753,117.6098
2026-04,101.5864,139.3863
2026-05,93.9151,150.8374
2026-06,117.1919,146.5232
2026-07,95.3182,145.3136
2026-08,95.2948,150.6618
