Date,rate_BF-B_5D,rate_VOO_20D
2016-01,5.759,1.4254
2016-02,4.2591,0.6142
2016-03,3.4743,6.1243
2016-04,0.1688,4.6014
2016-05,1.9209,5.2878
2016-06,3.8145,4.687
2016-07,1.7553,7.7174
2016-08,0.7109,6.8637
2016-09,-1.1892,5.9421
2016-10,-3.7277,3.4868
2016-11,-4.6656,6.843
2016-12,-5.2858,8.2789
2017-01,-3.4488,9.3935
2017-02,3.5861,12.821
2017-03,-1.5793,12.0413
2017-04,0.977,12.4367
2017-05,10.7802,13.2406
2017-06,3.7284,14.1802
2017-07,5.2314,15.6892
2017-08,12.728,15.2834
2017-09,15.1376,16.8657
2017-10,20.0918,18.7799
2017-11,25.0421,21.509
2017-12,42.7438,22.1709
2018-01,42.3256,27.9258
2018-02,41.7244,22.2578
2018-03,40.544,18.4465
2018-04,45.7624,18.162
2018-05,45.5486,20.337
2018-06,25.3354,20.5057
2018-07,35.1943,24.0401
2018-08,31.5292,27.2093
2018-09,26.6711,27.1082
2018-10,15.3715,17.9327
2018-11,18.3003,19.5577
2018-12,17.8525,8.5722
2019-01,16.5614,16.8959
2019-02,21.6107,20.2219
2019-03,30.3676,21.9603
2019-04,30.8201,26.2654
2019-05,22.0381,20.4953
2019-06,32.7588,25.3574
2019-07,27.4026,26.514
2019-08,36.4119,24.0717
2019-09,45.9805,25.9454
2019-10,50.41,27.4086
2019-11,54.5648,31.384
2019-12,53.3378,34.5804
2020-01,52.3537,33.8021
2020-02,46.9596,22.3336
2020-03,39.2667,15.1867
2020-04,50.5853,29.6272
2020-05,51.1407,28.2305
2020-06,45.8759,28.0341
2020-07,56.3626,33.4885
2020-08,63.9351,42.106
2020-09,73.3569,38.2475
2020-10,64.4561,34.0563
2020-11,80.1101,42.9575
2020-12,75.2253,47.5016
2021-01,57.0023,45.1166
2021-02,55.8492,43.0879
2021-03,50.4161,49.8512
2021-04,65.4686,56.911
2021-05,73.1878,54.6413
2021-06,60.9507,57.2758
2021-07,51.4625,60.2291
2021-08,49.2387,64.0213
2021-09,45.7134,55.5224
2021-10,45.5727,65.5435
2021-11,50.0316,65.5034
2021-12,52.1961,68.4598
2022-01,40.1922,58.7763
2022-02,35.0855,53.2596
2022-03,36.1719,58.2953
2022-04,35.7963,52.2757
2022-05,29.1459,51.0659
2022-06,37.0326,38.0304
2022-07,40.7597,50.1558
2022-08,37.3725,43.3725
2022-09,26.6332,29.6913
2022-10,28.9868,39.7003
2022-11,38.1521,46.8631
2022-12,27.6028,40.5677
2023-01,29.025,48.7988
2023-02,25.3794,45.5387
2023-03,23.9509,49.6635
2023-04,25.2591,48.4614
2023-05,18.2051,48.1923
2023-06,24.7116,57.2072
2023-07,31.5572,61.7125
2023-08,23.8287,59.5229
2023-09,11.5148,51.3631
2023-10,8.732,47.5518
2023-11,14.0278,60.474
2023-12,10.671,67.125
2024-01,6.3237,69.1001
2024-02,16.5334,77.1309
2024-03,4.7607,83.2841
2024-04,-2.925,75.177
2024-05,-6.9366,83.1784
2024-06,-10.9817,90.182
2024-07,-6.7851,90.9416
2024-08,-7.7235,97.1965
2024-09,0.136,98.31
2024-10,-13.0713,95.5089
2024-11,-16.7075,105.9957
2024-12,-23.5269,100.2436
2025-01,-33.2615,104.6582
2025-02,-32.757,101.1287
2025-03,-28.0778,89.045
2025-04,-26.6153,88.6819
2025-05,-29.5377,99.6712
2025-06,-42.2465,109.046
2025-07,-37.7717,112.823
2025-08,-38.4012,112.1707
2025-09,-43.4643,118.6779
2025-10,-42.7961,122.8639
2025-11,-38.7569,122.3204
2025-12,-43.3869,121.4705
2026-01,-40.162,123.6468
2026-02,-36.5582,120.852
