Date,rate_BRK-B_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.6968,-3.7423
2016-03,5.4794,0.3764
2016-04,8.8029,5.1946
2016-05,7.8298,3.5695
2016-06,3.6951,4.8356
2016-07,4.4925,4.3651
2016-08,3.8148,7.2005
2016-09,7.9343,6.5176
2016-10,2.8554,5.8316
2016-11,1.9635,2.6321
2016-12,13.4607,6.5262
2017-01,14.3371,8.6002
2017-02,13.6642,9.8701
2017-03,22.0958,14.9815
2017-04,13.4042,12.5254
2017-05,11.7228,13.1716
2017-06,11.8461,14.581
2017-07,12.9903,14.626
2017-08,16.8897,16.4591
2017-09,18.9628,15.9061
2017-10,19.7469,17.2911
2017-11,21.3407,19.4181
2017-12,25.1625,21.7575
2018-01,26.4446,22.6249
2018-02,37.4202,28.3844
2018-03,26.1379,21.0506
2018-04,23.8929,18.8566
2018-05,20.3407,18.843
2018-06,17.8699,22.0592
2018-07,13.8668,20.962
2018-08,20.2219,24.4135
2018-09,26.157,27.7869
2018-10,29.0011,28.1445
2018-11,22.8232,19.3954
2018-12,29.5152,19.8359
2019-01,20.4016,8.7501
2019-02,22.7882,17.203
2019-03,18.6463,21.2677
2019-04,19.2535,23.6016
2019-05,25.554,25.5902
2019-06,13.808,17.8911
2019-07,23.3634,26.7327
2019-08,15.43,25.8061
2019-09,16.0469,24.2046
2019-10,17.5649,24.595
2019-11,22.3509,29.5299
2019-12,24.3973,32.3145
2020-01,27.3735,35.5516
2020-02,25.6539,34.7733
2020-03,15.0521,23.2161
2020-04,-2.1462,2.6957
2020-05,1.6319,17.923
2020-06,2.25,27.1545
2020-07,-1.0459,29.2791
2020-08,8.8635,35.3897
2020-09,21.346,45.4969
2020-10,17.3554,38.8421
2020-11,11.4672,33.8054
2020-12,26.5813,49.4413
2021-01,27.3393,52.4925
2021-02,25.4941,52.5474
2021-03,35.9301,57.1165
2021-04,40.2411,62.2404
2021-05,48.6677,68.0147
2021-06,55.9279,67.9506
2021-07,49.9051,71.7835
2021-08,48.1578,73.9065
2021-09,51.1411,78.108
2021-10,45.3634,70.559
2021-11,50.2409,79.7147
2021-12,43.6601,74.8714
2022-01,55.5369,83.8439
2022-02,62.5186,74.2485
2022-03,63.1555,64.4857
2022-04,80.2625,72.8765
2022-05,64.4106,56.3809
2022-06,58.1918,54.7432
2022-07,39.9405,43.9638
2022-08,48.6589,54.5402
2022-09,41.329,48.4061
2022-10,33.1342,33.808
2022-11,46.2047,43.6413
2022-12,56.3971,51.6237
2023-01,52.3027,42.3283
2023-02,52.5063,52.4008
2023-03,48.9846,45.8599
2023-04,50.4424,52.4428
2023-05,60.255,54.1535
2023-06,56.1694,55.8684
2023-07,64.1513,63.7729
2023-08,68.8423,67.9151
2023-09,72.9602,65.3142
2023-10,66.3984,56.4671
2023-11,62.5929,54.158
2023-12,68.2077,66.8181
2024-01,67.3039,72.7134
2024-02,80.5203,77.0248
2024-03,89.3093,84.7703
2024-04,94.4642,89.0895
2024-05,83.5616,80.3005
2024-06,89.9862,89.1407
2024-07,84.9002,96.817
2024-08,96.1682,94.9948
2024-09,115.1869,101.4737
2024-10,105.7623,104.2286
2024-11,102.4045,104.0979
2024-12,115.2047,114.1559
2025-01,100.9525,108.1307
2025-02,106.8168,112.719
2025-03,125.6795,109.0154
2025-04,132.9194,97.097
2025-05,130.5317,95.2965
2025-06,118.0114,105.2137
2025-07,110.7971,114.7559
2025-08,102.6456,115.142
2025-09,114.6206,122.2543
2025-10,111.6098,129.8729
2025-11,101.927,133.4127
2025-12,114.1265,131.7276
2026-01,110.7014,131.8756
2026-02,109.8787,131.1612
