Date,rate_ETR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.2993,-3.7423
2016-03,4.1674,0.3764
2016-04,13.8012,5.1946
2016-05,3.7177,3.5695
2016-06,6.1039,4.8356
2016-07,11.8971,4.3651
2016-08,9.7242,7.2005
2016-09,4.7982,6.5176
2016-10,3.0178,5.8316
2016-11,-3.719,2.6321
2016-12,-6.3179,6.5262
2017-01,0.4764,8.6002
2017-02,-3.3271,9.8701
2017-03,4.7548,14.9815
2017-04,4.9551,12.5254
2017-05,4.4188,13.1716
2017-06,10.9408,14.581
2017-07,6.0442,14.626
2017-08,6.2441,16.4591
2017-09,10.0185,15.9061
2017-10,5.5278,17.2911
2017-11,18.107,19.4181
2017-12,18.3287,21.7575
2018-01,11.8824,22.6249
2018-02,5.5585,28.3844
2018-03,4.8628,21.0506
2018-04,8.6784,18.8566
2018-05,11.735,18.843
2018-06,11.0117,22.0592
2018-07,11.5793,20.962
2018-08,12.6202,24.4135
2018-09,15.8711,27.7869
2018-10,11.3277,28.1445
2018-11,14.2394,19.3954
2018-12,20.6313,19.8359
2019-01,18.689,8.7501
2019-02,21.9709,17.203
2019-03,28.6738,21.2677
2019-04,29.4576,23.6016
2019-05,30.8058,25.5902
2019-06,32.8866,17.8911
2019-07,38.8091,26.7327
2019-08,44.6102,25.8061
2019-09,52.7096,24.2046
2019-10,57.5512,24.595
2019-11,59.4153,29.5299
2019-12,55.0564,32.3145
2020-01,58.4152,35.5516
2020-02,72.6019,34.7733
2020-03,53.346,23.2161
2020-04,11.4838,2.6957
2020-05,21.6487,17.923
2020-06,34.2471,27.1545
2020-07,25.8546,29.2791
2020-08,36.2849,35.3897
2020-09,27.2362,45.4969
2020-10,31.4136,38.8421
2020-11,30.7927,33.8054
2020-12,41.3115,49.4413
2021-01,28.9803,52.4925
2021-02,22.4671,52.5474
2021-03,13.8389,57.1165
2021-04,28.9966,62.2404
2021-05,40.9911,68.0147
2021-06,35.5942,67.9506
2021-07,31.0896,71.7835
2021-08,32.3733,73.9065
2021-09,45.4288,78.108
2021-10,27.8376,70.559
2021-11,32.7223,79.7147
2021-12,32.1833,74.8714
2022-01,47.8039,83.8439
2022-02,43.6992,74.2485
2022-03,36.4209,64.4857
2022-04,57.1746,72.8765
2022-05,54.8059,56.3809
2022-06,57.1267,54.7432
2022-07,50.0413,43.9638
2022-08,49.5492,54.5402
2022-09,52.3095,48.4061
2022-10,30.4193,33.808
2022-11,39.9851,43.6413
2022-12,51.1574,51.6237
2023-01,45.6268,42.3283
2023-02,40.8458,52.4008
2023-03,31.7324,45.8599
2023-04,39.5512,52.4428
2023-05,38.6745,54.1535
2023-06,26.7072,55.8684
2023-07,26.395,63.7729
2023-08,31.0252,67.9151
2023-09,23.2464,65.3142
2023-10,20.5951,56.4671
2023-11,27.194,54.158
2023-12,33.9441,66.8181
2024-01,32.4882,72.7134
2024-02,33.197,77.0248
2024-03,32.3492,84.7703
2024-04,37.6309,89.0895
2024-05,41.6697,80.3005
2024-06,48.53,89.1407
2024-07,39.1693,96.817
2024-08,58.5811,94.9948
2024-09,59.3247,101.4737
2024-10,74.8843,104.2286
2024-11,89.6884,104.0979
2024-12,105.2573,114.1559
2025-01,98.3547,108.1307
2025-02,111.1496,112.719
2025-03,127.8399,109.0154
2025-04,122.4018,97.097
2025-05,115.3916,95.2965
2025-06,118.7665,105.2137
2025-07,115.7585,114.7559
2025-08,133.33,115.142
2025-09,129.6423,122.2543
2025-10,142.3076,129.8729
2025-11,148.0446,133.4127
2025-12,144.5909,131.7276
2026-01,137.8257,131.8756
2026-02,174.5744,131.1612
