Date,rate_BSX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.7107,-3.7423
2016-03,-4.0816,0.3764
2016-04,6.9589,5.1946
2016-05,21.7453,3.5695
2016-06,21.6065,4.8356
2016-07,21.6256,4.3651
2016-08,23.6861,7.2005
2016-09,20.2187,6.5176
2016-10,15.3915,5.8316
2016-11,3.8453,2.6321
2016-12,-4.2356,6.5262
2017-01,3.4763,8.6002
2017-02,14.3181,9.8701
2017-03,18.0165,14.9815
2017-04,16.3876,12.5254
2017-05,22.4539,13.1716
2017-06,26.6788,14.581
2017-07,25.6899,14.626
2017-08,18.7708,16.4591
2017-09,22.3659,15.9061
2017-10,28.6621,17.2911
2017-11,21.5917,19.4181
2017-12,13.284,21.7575
2018-01,6.8637,22.6249
2018-02,18.7958,28.3844
2018-03,13.2403,21.0506
2018-04,16.235,18.8566
2018-05,24.7953,18.843
2018-06,28.6034,22.0592
2018-07,36.4513,20.962
2018-08,38.1266,24.4135
2018-09,45.8312,27.7869
2018-10,58.3309,28.1445
2018-11,48.617,19.3954
2018-12,49.9315,19.8359
2019-01,39.354,8.7501
2019-02,48.4226,17.203
2019-03,58.0856,21.2677
2019-04,48.5622,23.6016
2019-05,38.6558,25.5902
2019-06,45.3948,17.8911
2019-07,61.1811,26.7327
2019-08,58.6761,25.8061
2019-09,57.7833,24.2046
2019-10,47.3775,24.595
2019-11,50.9641,29.5299
2019-12,56.1602,32.3145
2020-01,62.0477,35.5516
2020-02,48.8685,34.7733
2020-03,32.0653,23.2161
2020-04,6.1249,2.6957
2020-05,26.3706,17.923
2020-06,31.1522,27.1545
2020-07,22.8435,29.2791
2020-08,33.8431,35.3897
2020-09,43.2548,45.4969
2020-10,32.0141,38.8421
2020-11,17.2605,33.8054
2020-12,14.8502,49.4413
2021-01,22.4341,52.4925
2021-02,22.0646,52.5474
2021-03,31.6943,57.1165
2021-04,30.1104,62.2404
2021-05,46.5068,68.0147
2021-06,43.5494,67.9506
2021-07,44.3193,71.7835
2021-08,51.0777,73.9065
2021-09,50.2591,78.108
2021-10,43.6898,70.559
2021-11,39.7979,79.7147
2021-12,24.0762,74.8714
2022-01,37.821,83.8439
2022-02,40.5983,74.2485
2022-03,39.5976,64.4857
2022-04,44.2962,72.8765
2022-05,34.5124,56.3809
2022-06,27.0908,54.7432
2022-07,20.6781,43.9638
2022-08,30.0458,54.5402
2022-09,29.4794,48.4061
2022-10,21.9955,33.808
2022-11,34.3921,43.6413
2022-12,44.5041,51.6237
2023-01,44.4414,42.3283
2023-02,47.8675,52.4008
2023-03,45.0787,45.8599
2023-04,54.4705,52.4428
2023-05,62.3686,54.1535
2023-06,57.6863,55.8684
2023-07,64.9422,63.7729
2023-08,57.5478,67.9151
2023-09,62.1529,65.3142
2023-10,59.014,56.4671
2023-11,54.9654,54.158
2023-12,67.7743,66.8181
2024-01,72.037,72.7134
2024-02,92.0642,77.0248
2024-03,97.9349,84.7703
2024-04,99.7904,89.0895
2024-05,110.789,80.3005
2024-06,119.4483,89.1407
2024-07,120.7025,96.817
2024-08,115.9383,94.9948
2024-09,133.7725,101.4737
2024-10,139.1776,104.2286
2024-11,136.3937,104.0979
2024-12,154.9127,114.1559
2025-01,149.7309,108.1307
2025-02,184.6143,112.719
2025-03,186.8878,109.0154
2025-04,178.1961,97.097
2025-05,181.9319,95.2965
2025-06,185.9442,105.2137
2025-07,183.0158,114.7559
2025-08,183.1155,115.142
2025-09,181.7765,122.2543
2025-10,154.5903,129.8729
2025-11,166.1481,133.4127
2025-12,165.5134,131.7276
2026-01,149.3328,131.8756
2026-02,98.9952,131.1612
