Date,rate_SPGI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-11.3334,-3.7423
2016-03,3.7856,0.3764
2016-04,10.3108,5.1946
2016-05,15.8974,3.5695
2016-06,17.2439,4.8356
2016-07,11.3186,4.3651
2016-08,23.2738,7.2005
2016-09,23.41,6.5176
2016-10,23.351,5.8316
2016-11,15.623,2.6321
2016-12,10.4637,6.5262
2017-01,1.3636,8.6002
2017-02,12.5775,9.8701
2017-03,21.796,14.9815
2017-04,21.0209,12.5254
2017-05,23.6194,13.1716
2017-06,30.4527,14.581
2017-07,30.8068,14.626
2017-08,36.8253,16.4591
2017-09,34.5426,15.9061
2017-10,35.1317,17.2911
2017-11,33.7438,19.4181
2017-12,40.7379,21.7575
2018-01,41.7386,22.6249
2018-02,50.4831,28.3844
2018-03,55.8992,21.0506
2018-04,55.0739,18.8566
2018-05,52.2781,18.843
2018-06,60.2035,22.0592
2018-07,61.0111,20.962
2018-08,54.2348,24.4135
2018-09,60.1124,27.7869
2018-10,52.4467,28.1445
2018-11,38.3091,19.3954
2018-12,37.6546,19.8359
2019-01,26.9537,8.7501
2019-02,43.9667,17.203
2019-03,49.1285,21.2677
2019-04,55.9683,23.6016
2019-05,59.3219,25.5902
2019-06,54.2756,17.8911
2019-07,66.1271,26.7327
2019-08,82.2744,25.8061
2019-09,82.885,24.2046
2019-10,68.9753,24.595
2019-11,78.4731,29.5299
2019-12,81.1872,32.3145
2020-01,85.1904,35.5516
2020-02,97.3438,34.7733
2020-03,77.3342,23.2161
2020-04,54.9353,2.6957
2020-05,87.8463,17.923
2020-06,113.4647,27.1545
2020-07,116.0237,29.2791
2020-08,123.9711,35.3897
2020-09,133.6649,45.4969
2020-10,128.3916,38.8421
2020-11,100.6814,33.8054
2020-12,106.5319,49.4413
2021-01,101.3308,52.4925
2021-02,95.483,52.5474
2021-03,103.8602,57.1165
2021-04,117.2586,62.2404
2021-05,131.9033,68.0147
2021-06,120.357,67.9506
2021-07,141.2003,71.7835
2021-08,148.6736,73.9065
2021-09,158.3696,78.108
2021-10,144.5081,70.559
2021-11,162.1496,79.7147
2021-12,152.8065,74.8714
2022-01,163.4488,83.8439
2022-02,131.0598,74.2485
2022-03,114.9466,64.4857
2022-04,122.8649,72.8765
2022-05,104.2255,56.3809
2022-06,79.3559,54.7432
2022-07,84.4173,43.9638
2022-08,100.8368,54.5402
2022-09,87.2317,48.4061
2022-10,61.4963,33.808
2022-11,66.42,43.6413
2022-12,91.2893,51.6237
2023-01,75.7008,42.3283
2023-02,96.8546,52.4008
2023-03,75.7487,45.8599
2023-04,78.4953,52.4428
2023-05,86.8127,54.1535
2023-06,89.5463,55.8684
2023-07,104.8503,63.7729
2023-08,102.386,67.9151
2023-09,100.5798,65.3142
2023-10,84.9071,56.4671
2023-11,76.948,54.158
2023-12,111.9759,66.8181
2024-01,120.0596,72.7134
2024-02,127.1163,77.0248
2024-03,112.3349,84.7703
2024-04,110.2535,89.0895
2024-05,103.817,80.3005
2024-06,108.7422,89.1407
2024-07,116.8121,96.817
2024-08,137.0409,94.9948
2024-09,147.0727,101.4737
2024-10,145.1824,104.2286
2024-11,130.0509,104.0979
2024-12,147.8256,114.1559
2025-01,134.9088,108.1307
2025-02,144.6399,112.719
2025-03,149.526,109.0154
2025-04,137.5017,97.097
2025-05,130.7916,95.2965
2025-06,136.4864,105.2137
2025-07,142.8393,114.7559
2025-08,149.0544,115.142
2025-09,149.4668,122.2543
2025-10,117.9723,129.8729
2025-11,119.4672,133.4127
2025-12,122.507,131.7276
2026-01,133.7024,131.8756
2026-02,95.7473,131.1612
