Date,rate_BEN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.8751,-0.6039
2016-03,12.4769,5.2168
2016-04,4.2329,3.9893
2016-05,3.096,4.6886
2016-06,-7.7143,4.1237
2016-07,1.3433,7.1795
2016-08,2.0327,6.3603
2016-09,-0.1415,5.6281
2016-10,-5.7338,3.196
2016-11,10.4634,6.7601
2016-12,10.9351,8.3626
2017-01,11.3804,10.2536
2017-02,19.5754,13.6522
2017-03,16.1557,12.7005
2017-04,17.7538,12.9818
2017-05,13.1012,13.693
2017-06,20.7483,13.5288
2017-07,19.5016,15.0481
2017-08,14.361,14.5515
2017-09,17.4834,16.1037
2017-10,10.3648,17.9557
2017-11,13.0197,20.6805
2017-12,12.9631,21.3029
2018-01,10.5791,28.0338
2018-02,0.4445,22.1441
2018-03,-1.534,18.3021
2018-04,-4.0629,18.0902
2018-05,-4.0629,20.2208
2018-06,-7.6782,20.3415
2018-07,-0.8169,23.8746
2018-08,-8.0837,27.0072
2018-09,-11.2664,27.7347
2018-10,-10.6689,18.1437
2018-11,-0.4449,19.7418
2018-12,-12.1372,8.5778
2019-01,-12.2841,17.1263
2019-02,-3.0229,20.3748
2019-03,-0.606,22.0514
2019-04,3.6696,26.2651
2019-05,-4.6938,17.5943
2019-06,5.102,25.308
2019-07,-1.6078,26.4355
2019-08,-20.6541,23.7232
2019-09,-12.0844,26.1617
2019-10,-15.7035,28.2707
2019-11,-15.5671,32.1761
2019-12,-18.9966,35.3247
2020-01,-21.0935,35.2749
2020-02,-31.72,23.5454
2020-03,-46.3569,7.7105
2020-04,-38.1496,21.425
2020-05,-37.1537,26.7132
2020-06,-29.3859,28.4357
2020-07,-27.53,35.3124
2020-08,-27.0155,43.9511
2020-09,-28.0276,37.6938
2020-10,-33.1536,33.4637
2020-11,-20.9788,47.2943
2020-12,-8.792,51.8455
2021-01,-4.1,50.305
2021-02,-4.507,53.4604
2021-03,9.0314,59.4101
2021-04,10.2782,66.6882
2021-05,25.524,66.6274
2021-06,17.9797,69.2184
2021-07,8.673,72.1455
2021-08,19.1186,75.992
2021-09,9.8771,66.6118
2021-10,16.2042,77.1553
2021-11,19.1229,74.6519
2021-12,23.9102,81.397
2022-01,17.9357,70.7122
2022-02,9.4116,64.6001
2022-03,3.7626,69.8532
2022-04,-8.6696,54.0273
2022-05,0.6604,53.6333
2022-06,-12.2635,40.2902
2022-07,3.4719,52.5094
2022-08,-1.8026,45.531
2022-09,-17.8275,31.5965
2022-10,-10.3196,41.7445
2022-11,2.7329,48.9584
2022-12,2.1714,39.838
2023-01,20.6251,48.5632
2023-02,13.6179,44.2258
2023-03,4.8711,48.9578
2023-04,4.5658,50.6836
2023-05,-6.6226,50.7741
2023-06,5.1029,59.884
2023-07,14.96,64.3798
2023-08,4.9818,60.953
2023-09,-2.3839,52.6248
2023-10,-9.4443,48.7132
2023-11,-1.3332,61.6976
2023-12,18.4861,68.3392
2024-01,7.1509,71.0275
2024-02,10.3179,79.0476
2024-03,14.0928,83.99
2024-04,-7.3964,75.7344
2024-05,-4.2343,83.6813
2024-06,-8.0007,89.2836
2024-07,-5.7616,90.5002
2024-08,-16.5231,94.0822
2024-09,-15.6158,98.2932
2024-10,-12.8115,95.412
2024-11,-4.3239,105.8418
2024-12,-13.3182,99.9875
2025-01,-5.1183,105.351
2025-02,-13.4151,101.7087
2025-03,-16.1783,89.4719
2025-04,-18.1742,87.0451
2025-05,-5.4125,97.8575
2025-06,5.7164,107.0685
2025-07,6.2672,110.7404
2025-08,13.5498,114.0337
2025-09,3.7711,121.6081
2025-10,1.4519,125.7153
2025-11,1.3348,125.0226
2025-12,8.6293,124.0393
2026-01,20.8713,127.2713
2026-02,10.6566,125.3185
