Date,rate_USO_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-8.8262,-1.8027
2016-03,0.6897,4.5695
2016-04,18.1913,3.6217
2016-05,20.2981,4.6859
2016-06,13.9153,4.2011
2016-07,-5.7136,7.3141
2016-08,1.2754,6.5393
2016-09,7.0528,5.8417
2016-10,2.4756,3.4057
2016-11,6.0843,7.0013
2016-12,12.8677,8.6582
2017-01,8.0873,9.9058
2017-02,8.6344,13.4199
2017-03,0.4847,12.5861
2017-04,-3.3059,12.9516
2017-05,-5.696,13.7442
2017-06,-9.7057,14.6714
2017-07,-1.7727,16.2352
2017-08,-7.7996,15.7466
2017-09,0.2318,17.3266
2017-10,5.0033,19.2474
2017-11,9.9631,22.0133
2017-12,14.6224,22.6523
2018-01,23.2254,28.4864
2018-02,16.5355,22.6807
2018-03,22.6705,18.8927
2018-04,28.4538,18.6249
2018-05,25.2163,20.8091
2018-06,38.3072,20.9812
2018-07,29.9861,24.5763
2018-08,32.9723,27.7899
2018-09,39.2191,27.6747
2018-10,22.6384,18.1983
2018-11,-4.9385,19.8597
2018-12,-14.2651,8.8011
2019-01,1.1385,17.1215
2019-02,6.3741,20.4441
2019-03,11.1611,22.1999
2019-04,17.8082,26.5012
2019-05,-1.9275,17.9266
2019-06,6.4083,25.7011
2019-07,6.2146,26.9004
2019-08,1.1153,24.2426
2019-09,0.0344,26.142
2019-10,-0.2897,28.3311
2019-11,2.4593,32.3256
2019-12,12.8799,35.5485
2020-01,-4.6869,34.7719
2020-02,-16.8029,23.2511
2020-03,-62.6676,7.5779
2020-04,-78.1171,21.2186
2020-05,-68.3905,26.5774
2020-06,-64.3907,28.3766
2020-07,-61.9199,35.3325
2020-08,-58.7839,44.0777
2020-09,-60.9081,37.914
2020-10,-64.1167,33.7633
2020-11,-54.6827,47.7098
2020-12,-50.7125,52.3667
2021-01,-46.5942,49.9654
2021-02,-36.481,53.2453
2021-03,-37.0822,60.4049
2021-04,-32.2707,67.83
2021-05,-28.3905,67.8968
2021-06,-20.9344,70.6358
2021-07,-19.4054,73.7106
2021-08,-23.2967,77.7187
2021-09,-15.7172,68.3779
2021-10,-8.147,79.119
2021-11,-22.8911,76.6949
2021-12,-12.1382,83.6042
2022-01,1.1535,72.9303
2022-02,9.2179,66.8181
2022-03,19.7264,72.1992
2022-04,24.358,56.2223
2022-05,37.3808,55.8933
2022-06,28.7084,42.4002
2022-07,24.6566,54.8512
2022-08,16.5324,47.8158
2022-09,3.915,33.7039
2022-10,13.7986,44.0824
2022-11,11.5427,51.4429
2022-12,11.2115,42.1877
2023-01,9.8295,50.5828
2023-02,6.4126,46.2373
2023-03,5.107,52.2586
2023-04,6.7233,54.0684
2023-05,-4.1816,54.1996
2023-06,0.441,63.548
2023-07,15.6167,68.1942
2023-08,18.4289,64.7317
2023-09,27.3288,56.2636
2023-10,17.8743,52.2886
2023-11,10.0412,65.5989
2023-12,4.4857,72.448
2024-01,11.1218,74.4576
2024-02,14.8534,82.7177
2024-03,23.0682,89.0282
2024-04,22.281,80.6052
2024-05,16.5533,88.8335
2024-06,23.8032,96.0415
2024-07,20.681,97.3583
2024-08,15.2368,101.128
2024-09,8.2553,105.7758
2024-10,13.0316,102.865
2024-11,10.6545,113.7798
2024-12,16.63,107.7813
2025-01,20.282,112.3595
2025-02,15.7933,108.6721
2025-03,18.892,96.0839
2025-04,-2.396,93.6359
2025-05,3.1182,104.9003
2025-06,12.2295,114.5225
2025-07,22.0367,118.4064
2025-08,14.6063,121.8959
2025-09,12.8157,128.6764
2025-10,10.8976,133.0211
2025-11,8.5334,132.409
2025-12,5.5512,131.4906
2026-01,21.2936,133.7386
2026-02,24.8158,130.7823
2026-03,93.4111,117.6098
2026-04,122.6942,139.3863
2026-05,94.6214,150.8374
2026-06,88.3449,144.7797
