Date,rate_FER_5D,rate_VOO_20D
2016-01,-0.0839,1.4254
2016-02,-0.9955,0.6142
2016-03,-2.6274,6.1243
2016-04,1.7078,4.6014
2016-05,1.3662,5.2878
2016-06,-4.254,4.687
2016-07,-0.6558,7.7174
2016-08,-1.1279,6.8637
2016-09,5.299,5.9421
2016-10,4.7691,3.4868
2016-11,-10.8245,6.843
2016-12,-8.1294,8.2789
2017-01,-7.2665,9.3935
2017-02,-2.005,12.821
2017-03,4.274,12.0413
2017-04,4.0069,12.4367
2017-05,14.2139,13.2406
2017-06,12.0339,14.1802
2017-07,11.4006,15.6892
2017-08,13.0772,15.2834
2017-09,9.0373,16.8657
2017-10,7.2928,18.7799
2017-11,6.9867,21.509
2017-12,12.0039,22.1709
2018-01,12.0006,27.9258
2018-02,7.5185,22.2578
2018-03,0.2662,18.4465
2018-04,5.0507,18.162
2018-05,-0.3472,20.337
2018-06,4.6297,20.5057
2018-07,0.053,24.0401
2018-08,2.3981,27.2093
2018-09,6.1848,27.1082
2018-10,-0.2402,17.9327
2018-11,0.4772,19.5577
2018-12,-3.2876,8.5722
2019-01,10.0162,16.8959
2019-02,9.7526,20.2219
2019-03,12.151,21.9603
2019-04,19.3657,26.2654
2019-05,17.0192,20.4953
2019-06,20.5155,25.3574
2019-07,20.0384,26.514
2019-08,35.8819,24.0717
2019-09,36.7437,25.9454
2019-10,37.1939,27.4086
2019-11,38.988,31.384
2019-12,40.7347,34.5804
2020-01,49.9065,33.8021
2020-02,50.7416,22.3336
2020-03,41.8943,15.1867
2020-04,36.6202,29.6272
2020-05,55.6118,28.2305
2020-06,63.199,28.0341
2020-07,50.265,33.4885
2020-08,55.6112,42.106
2020-09,38.6411,38.2475
2020-10,28.4958,34.0563
2020-11,57.3361,42.9575
2020-12,56.8015,47.5016
2021-01,38.5299,45.1166
2021-02,41.3898,43.0879
2021-03,43.1083,49.8512
2021-04,47.9376,56.911
2021-05,44.554,54.6413
2021-06,40.4009,57.2758
2021-07,43.6131,60.2291
2021-08,35.3165,64.0213
2021-09,37.7255,55.5224
2021-10,45.4982,65.5435
2021-11,29.6199,65.5034
2021-12,29.2028,68.4598
2022-01,21.1573,58.7763
2022-02,31.5159,53.2596
2022-03,19.8634,58.2953
2022-04,15.2395,52.2757
2022-05,16.3696,51.0659
2022-06,15.4088,38.0304
2022-07,20.5987,50.1558
2022-08,19.6606,43.3725
2022-09,13.6546,29.6913
2022-10,-1.6404,39.7003
2022-11,12.3172,46.8631
2022-12,13.866,40.5677
2023-01,34.3681,48.7988
2023-02,23.3951,45.5387
2023-03,23.3894,49.6635
2023-04,32.7441,48.4614
2023-05,38.8065,48.1923
2023-06,35.3168,57.2072
2023-07,36.2953,61.7125
2023-08,33.5179,59.5229
2023-09,34.5709,51.3631
2023-10,38.1428,47.5518
2023-11,39.2507,60.474
2023-12,49.5312,67.125
2024-01,59.7658,69.1001
2024-02,65.4383,77.1309
2024-03,67.0256,83.2841
2024-04,50.2403,75.177
2024-05,69.213,83.1784
2024-06,61.8709,90.182
2024-07,69.6437,90.9416
2024-08,77.1744,97.1965
2024-09,81.1787,98.31
2024-10,68.2539,95.5089
2024-11,78.2015,105.9957
2024-12,80.3063,100.2436
2025-01,83.4234,104.6582
2025-02,89.7273,101.1287
2025-03,87.6331,89.045
2025-04,104.5188,88.6819
2025-05,111.8145,99.6712
2025-06,113.8437,109.046
2025-07,102.9098,112.823
2025-08,112.2766,112.1707
2025-09,125.8307,118.6779
2025-10,142.927,122.8639
2025-11,157.6624,122.3204
2025-12,151.686,121.4705
2026-01,163.4992,123.6468
2026-02,186.7561,120.852
