Date,rate_^IRX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,51.5052,-1.8027
2016-03,-16.5652,4.5695
2016-04,-15.2883,3.6217
2016-05,28.651,4.6859
2016-06,7.9748,4.2011
2016-07,3.6767,7.3141
2016-08,37.7291,6.5393
2016-09,8.6611,5.8417
2016-10,22.2924,3.4057
2016-11,88.6469,7.0013
2016-12,86.0911,8.6582
2017-01,86.9424,9.9058
2017-02,89.0413,13.4199
2017-03,156.9306,12.5861
2017-04,161.1806,12.9516
2017-05,206.489,13.7442
2017-06,208.3784,14.6714
2017-07,215.3754,16.2352
2017-08,182.8965,15.7466
2017-09,188.164,17.3266
2017-10,205.4412,19.2474
2017-11,226.7992,22.0133
2017-12,247.3425,22.6523
2018-01,256.1211,28.4864
2018-02,291.712,22.6807
2018-03,293.2135,18.8927
2018-04,304.0503,18.6249
2018-05,317.351,20.8091
2018-06,308.9509,20.9812
2018-07,321.2627,24.5763
2018-08,325.7326,27.7899
2018-09,335.0819,27.6747
2018-10,350.5291,18.1983
2018-11,346.3241,19.8597
2018-12,335.1906,8.8011
2019-01,333.5406,17.1215
2019-02,332.5668,20.4441
2019-03,314.2602,22.1999
2019-04,313.3903,26.5012
2019-05,292.9039,17.9266
2019-06,242.5178,25.7011
2019-07,236.0168,26.9004
2019-08,214.8581,24.2426
2019-09,183.9444,26.142
2019-10,136.9594,28.3311
2019-11,140.6236,32.3256
2019-12,132.2941,35.5485
2020-01,130.3567,34.7719
2020-02,85.5368,23.2511
2020-03,-95.4181,7.5779
2020-04,-83.9683,21.2186
2020-05,-75.0748,26.5774
2020-06,-72.2508,28.3766
2020-07,-82.0503,35.3325
2020-08,-77.7926,44.0777
2020-09,-78.9769,37.914
2020-10,-78.0991,33.7633
2020-11,-79.0043,47.7098
2020-12,-80.7394,52.3667
2021-01,-84.7732,49.9654
2021-02,-87.8731,53.2453
2021-03,-94.7676,60.4049
2021-04,-98.1488,67.83
2021-05,-91.2034,67.8968
2021-06,-51.0209,70.6358
2021-07,-50.2594,73.7106
2021-08,-49.5203,77.7187
2021-09,-64.1319,68.3779
2021-10,-37.0126,79.119
2021-11,-36.2099,76.6949
2021-12,-55.8055,83.6042
2022-01,135.2702,72.9303
2022-02,288.222,66.8181
2022-03,557.7287,72.1992
2022-04,965.8597,56.2223
2022-05,1242.6896,55.8933
2022-06,1960.7957,42.4002
2022-07,2824.1225,54.8512
2022-08,3495.3102,47.8158
2022-09,3849.59,33.7039
2022-10,4778.2792,44.0824
2022-11,5057.8248,51.4429
2022-12,5006.0203,42.1877
2023-01,5314.3974,50.5828
2023-02,5416.5867,46.2373
2023-03,5209.5723,52.2586
2023-04,5537.415,54.0684
2023-05,5843.2607,54.1996
2023-06,5671.9361,63.548
2023-07,5714.8672,68.1942
2023-08,5707.5542,64.7317
2023-09,5648.3583,56.2636
2023-10,5609.7341,52.2886
2023-11,5463.5925,65.5989
2023-12,5345.7106,72.448
2024-01,5298.9256,74.4576
2024-02,5280.91,82.7177
2024-03,5207.169,89.0282
2024-04,5197.5139,80.6052
2024-05,5146.0525,88.8335
2024-06,5063.9029,96.0415
2024-07,4938.2101,97.3583
2024-08,4728.426,101.128
2024-09,4230.8682,105.7758
2024-10,4127.9972,102.865
2024-11,4033.6552,113.7798
2024-12,3841.7504,107.7813
2025-01,3787.9385,112.3595
2025-02,3758.1029,108.6721
2025-03,3724.2461,96.0839
2025-04,3688.2803,93.6359
2025-05,3693.2866,104.9003
2025-06,3623.566,114.5225
2025-07,3631.7006,118.4064
2025-08,3432.6451,121.8959
2025-09,3231.7418,128.6764
2025-10,3095.2149,133.0211
2025-11,3051.3051,132.409
2025-12,2899.0549,131.4906
2026-01,2896.0642,133.7386
2026-02,2877.3185,130.7823
2026-03,2872.0877,117.6098
2026-04,2836.6379,139.3863
2026-05,2816.3855,150.8374
2026-06,2910.1701,146.5232
2026-07,2847.2414,145.3136
2026-08,2839.2962,147.6545
