Date,rate_GL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.087,-0.6039
2016-03,0.3126,5.2168
2016-04,6.6802,3.9893
2016-05,11.9435,4.6886
2016-06,10.5111,4.1237
2016-07,9.052,7.1795
2016-08,12.8576,6.3603
2016-09,10.03,5.6281
2016-10,8.4172,3.196
2016-11,18.9128,6.7601
2016-12,23.2636,8.3626
2017-01,23.1303,10.2536
2017-02,27.8796,13.6522
2017-03,25.1917,12.7005
2017-04,22.984,12.9818
2017-05,19.5875,13.693
2017-06,20.1221,13.5288
2017-07,22.7506,15.0481
2017-08,18.4422,14.5515
2017-09,22.2171,16.1037
2017-10,27.4474,17.9557
2017-11,33.2009,20.6805
2017-12,34.5086,21.3029
2018-01,34.9386,28.0338
2018-02,25.4297,22.1441
2018-03,22.751,18.3021
2018-04,25.9044,18.0902
2018-05,22.185,20.2208
2018-06,16.4479,20.3415
2018-07,25.5322,23.8746
2018-08,24.4861,27.0072
2018-09,22.7477,27.7347
2018-10,19.3736,18.1437
2018-11,21.1767,19.7418
2018-12,3.9542,8.5778
2019-01,17.0432,17.1263
2019-02,14.851,20.3748
2019-03,13.5583,22.0514
2019-04,21.1995,26.2651
2019-05,17.6658,17.5943
2019-06,22.556,25.308
2019-07,24.6857,26.4355
2019-08,21.3401,23.7232
2019-09,30.1638,26.1617
2019-10,31.8101,28.2707
2019-11,38.3243,32.1761
2019-12,40.759,35.3247
2020-01,39.6665,35.2749
2020-02,23.3041,23.5454
2020-03,-4.6586,7.7105
2020-04,9.662,21.425
2020-05,2.44,26.7132
2020-06,-1.379,28.4357
2020-07,6.0638,35.3124
2020-08,9.7631,43.9511
2020-09,6.1478,37.6938
2020-10,7.8318,33.4637
2020-11,23.5463,47.2943
2020-12,25.5326,51.8455
2021-01,19.7467,50.305
2021-02,23.3279,53.4604
2021-03,27.1172,59.4101
2021-04,34.5333,66.6882
2021-05,37.741,66.6274
2021-06,23.8619,69.2184
2021-07,20.901,72.1455
2021-08,24.3861,75.992
2021-09,14.9105,66.6118
2021-10,14.8802,77.1553
2021-11,11.4079,74.6519
2021-12,20.4717,81.397
2022-01,31.3851,70.7122
2022-02,29.1868,64.6001
2022-03,28.3497,69.8532
2022-04,24.9829,54.0273
2022-05,23.971,53.6333
2022-06,23.5035,40.2902
2022-07,27.5053,52.5094
2022-08,22.678,45.531
2022-09,25.5185,31.5965
2022-10,45.2494,41.7445
2022-11,50.2197,48.9584
2022-12,50.2914,39.838
2023-01,50.9241,48.5632
2023-02,51.3154,44.2258
2023-03,36.4906,48.9578
2023-04,34.1801,50.6836
2023-05,27.1672,50.7741
2023-06,34.7323,59.884
2023-07,37.6986,64.3798
2023-08,36.5059,60.953
2023-09,32.6104,52.6248
2023-10,41.7725,48.7132
2023-11,49.5023,61.6976
2023-12,47.2274,68.3392
2024-01,48.8295,71.0275
2024-02,53.2649,79.0476
2024-03,39.9788,83.99
2024-04,-8.3522,75.7344
2024-05,-0.3964,83.6813
2024-06,-0.9714,89.2836
2024-07,11.9008,90.5002
2024-08,26.5901,94.0822
2024-09,27.6258,98.2932
2024-10,27.2714,95.412
2024-11,33.783,105.8418
2024-12,33.7799,99.9875
2025-01,46.7409,105.351
2025-02,52.651,101.7087
2025-03,57.228,89.4719
2025-04,47.0092,87.0451
2025-05,44.8559,97.8575
2025-06,47.2792,107.0685
2025-07,66.2388,110.7404
2025-08,65.019,114.0337
2025-09,68.5798,121.6081
2025-10,54.7983,125.7153
2025-11,58.0649,125.0226
2025-12,63.5317,124.0393
2026-01,64.2679,127.2713
2026-02,76.5005,125.3185
