Date,rate_PGR_5D,rate_VOO_20D
2016-01,0.416,-3.28
2016-02,5.0763,-1.8027
2016-03,13.0161,4.5695
2016-04,1.6501,3.6217
2016-05,3.4898,4.6859
2016-06,3.4747,4.2011
2016-07,0.049,7.3141
2016-08,0.2,6.5393
2016-09,-3.0592,5.8417
2016-10,-2.7226,3.4057
2016-11,3.1274,7.0013
2016-12,9.5675,8.6582
2017-01,14.7709,9.9058
2017-02,21.1406,13.4199
2017-03,19.6162,12.5861
2017-04,20.0202,12.9516
2017-05,26.9333,13.7442
2017-06,30.2919,14.6714
2017-07,37.5615,16.2352
2017-08,33.801,15.7466
2017-09,37.7925,17.3266
2017-10,36.7198,19.2474
2017-11,47.6753,22.0133
2017-12,54.2401,22.6523
2018-01,46.0853,28.4864
2018-02,56.7551,22.6807
2018-03,63.6229,18.8927
2018-04,59.6568,18.6249
2018-05,62.2868,20.8091
2018-06,52.617,20.9812
2018-07,53.1112,24.5763
2018-08,70.3671,27.7899
2018-09,76.9672,27.6747
2018-10,71.4266,18.1983
2018-11,61.1326,19.8597
2018-12,45.1139,8.8011
2019-01,60.467,17.1215
2019-02,90.9256,20.4441
2019-03,86.4646,22.1999
2019-04,100.0048,26.5012
2019-05,100.4659,17.9266
2019-06,99.6959,25.7011
2019-07,100.408,26.9004
2019-08,85.4892,24.2426
2019-09,87.0984,26.142
2019-10,67.8738,28.3311
2019-11,74.4159,32.3256
2019-12,71.3049,35.5485
2020-01,94.8228,34.7719
2020-02,74.9394,23.2511
2020-03,75.0806,7.5779
2020-04,82.0426,21.2186
2020-05,81.4129,26.5774
2020-06,85.5112,28.3766
2020-07,107.6664,35.3325
2020-08,116.4361,44.0777
2020-09,113.5818,37.914
2020-10,105.6803,33.7633
2020-11,93.2697,47.7098
2020-12,117.5521,52.3667
2021-01,100.1781,49.9654
2021-02,95.8622,53.2453
2021-03,116.1305,60.4049
2021-04,126.0273,67.83
2021-05,120.3978,67.8968
2021-06,116.6521,70.6358
2021-07,108.4513,73.7106
2021-08,109.4192,77.7187
2021-09,95.0098,68.3779
2021-10,103.4664,79.119
2021-11,97.8861,76.6949
2021-12,126.5422,83.6042
2022-01,138.1661,72.9303
2022-02,130.3749,66.8181
2022-03,146.0605,72.1992
2022-04,130.1553,56.2223
2022-05,154.019,55.8933
2022-06,145.4919,42.4002
2022-07,141.3039,54.8512
2022-08,155.3471,47.8158
2022-09,140.1255,33.7039
2022-10,163.6111,44.0824
2022-11,169.2685,51.4429
2022-12,162.3295,42.1877
2023-01,173.9395,50.5828
2023-02,186.1896,46.2373
2023-03,183.1499,52.2586
2023-04,168.1872,54.0684
2023-05,149.7417,54.1996
2023-06,156.7166,63.548
2023-07,142.8844,68.1942
2023-08,155.6539,64.7317
2023-09,165.0484,56.2636
2023-10,198.9824,52.2886
2023-11,208.025,65.5989
2023-12,197.0161,72.448
2024-01,231.6622,74.4576
2024-02,250.1676,82.7177
2024-03,279.2943,89.0282
2024-04,279.2721,80.6052
2024-05,281.7799,88.8335
2024-06,272.7918,96.0415
2024-07,281.9063,97.3583
2024-08,346.5963,101.128
2024-09,346.0365,105.7758
2024-10,323.8789,102.865
2024-11,365.9652,113.7798
2024-12,312.2484,107.7813
2025-01,344.6062,112.3595
2025-02,405.1025,108.6721
2025-03,403.2481,96.0839
2025-04,397.5801,93.6359
2025-05,399.6718,104.9003
2025-06,364.7178,114.5225
2025-07,319.3405,118.4064
2025-08,325.2312,121.8959
2025-09,322.2634,128.6764
2025-10,250.1583,133.0211
2025-11,286.5499,132.409
2025-12,282.3695,131.4906
2026-01,315.1925,133.7386
2026-02,323.764,130.7823
2026-03,320.6394,129.7769
