Date,rate_GRID_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.0442,-1.8027
2016-03,10.001,4.5695
2016-04,12.42,3.6217
2016-05,10.5392,4.6859
2016-06,4.8243,4.2011
2016-07,11.7206,7.3141
2016-08,10.9144,6.5393
2016-09,15.095,5.8417
2016-10,8.3798,3.4057
2016-11,14.0813,7.0013
2016-12,14.4852,8.6582
2017-01,14.208,9.9058
2017-02,12.635,13.4199
2017-03,15.2256,12.5861
2017-04,17.7541,12.9516
2017-05,16.4466,13.7442
2017-06,17.8023,14.6714
2017-07,22.4631,16.2352
2017-08,23.6683,15.7466
2017-09,29.1935,17.3266
2017-10,32.0005,19.2474
2017-11,28.8617,22.0133
2017-12,30.2194,22.6523
2018-01,32.9036,28.4864
2018-02,26.816,22.6807
2018-03,23.6411,18.8927
2018-04,20.7484,18.6249
2018-05,25.4299,20.8091
2018-06,19.6752,20.9812
2018-07,21.9906,24.5763
2018-08,21.3923,27.7899
2018-09,15.7099,27.6747
2018-10,2.2583,18.1983
2018-11,2.9727,19.8597
2018-12,-5.5827,8.8011
2019-01,7.34,17.1215
2019-02,9.7649,20.4441
2019-03,5.4321,22.1999
2019-04,11.476,26.5012
2019-05,4.2742,17.9266
2019-06,18.0966,25.7011
2019-07,19.4602,26.9004
2019-08,16.1075,24.2426
2019-09,20.5947,26.142
2019-10,24.2145,28.3311
2019-11,26.9479,32.3256
2019-12,31.9544,35.5485
2020-01,29.0816,34.7719
2020-02,29.4742,23.2511
2020-03,1.5375,7.5779
2020-04,16.6076,21.2186
2020-05,25.6964,26.5774
2020-06,29.7252,28.3766
2020-07,36.5024,35.3325
2020-08,51.547,44.0777
2020-09,47.2262,37.914
2020-10,48.5173,33.7633
2020-11,74.1112,47.7098
2020-12,86.8997,52.3667
2021-01,85.9771,49.9654
2021-02,92.9086,53.2453
2021-03,94.549,60.4049
2021-04,96.6108,67.83
2021-05,101.3582,67.8968
2021-06,104.7653,70.6358
2021-07,111.6519,73.7106
2021-08,115.5128,77.7187
2021-09,100.5265,68.3779
2021-10,118.9501,79.119
2021-11,115.6392,76.6949
2021-12,117.3498,83.6042
2022-01,94.1122,72.9303
2022-02,89.0722,66.8181
2022-03,95.947,72.1992
2022-04,76.1143,56.2223
2022-05,77.6545,55.8933
2022-06,61.3724,42.4002
2022-07,84.9531,54.8512
2022-08,72.291,47.8158
2022-09,55.7641,33.7039
2022-10,71.3338,44.0824
2022-11,91.2471,51.4429
2022-12,80.1055,42.1877
2023-01,95.6776,50.5828
2023-02,92.7542,46.2373
2023-03,98.2768,52.2586
2023-04,95.3649,54.0684
2023-05,97.5447,54.1996
2023-06,111.2697,63.548
2023-07,111.2636,68.1942
2023-08,100.5108,64.7317
2023-09,86.4923,56.2636
2023-10,71.0787,52.2886
2023-11,90.3205,65.5989
2023-12,107.7753,72.448
2024-01,97.4711,74.4576
2024-02,113.6391,82.7177
2024-03,124.0006,89.0282
2024-04,118.6893,80.6052
2024-05,131.6838,88.8335
2024-06,123.4328,96.0415
2024-07,129.2159,97.3583
2024-08,133.3344,101.128
2024-09,142.5217,105.7758
2024-10,130.6166,102.865
2024-11,137.6079,113.7798
2024-12,125.331,107.7813
2025-01,126.8076,112.3595
2025-02,119.3434,108.6721
2025-03,110.6648,96.0839
2025-04,119.8351,93.6359
2025-05,139.6156,104.9003
2025-06,156.5868,114.5225
2025-07,161.1039,118.4064
2025-08,160.9808,121.8959
2025-09,174.865,128.6764
2025-10,184.261,133.0211
2025-11,174.7641,132.409
2025-12,175.7404,131.4906
2026-01,195.5182,133.7386
2026-02,217.0455,130.7823
2026-03,190.1782,117.6098
2026-04,236.9666,139.3863
2026-05,238.7178,150.8374
2026-06,235.8386,146.5232
2026-07,212.4426,145.3136
