Date,rate_FITB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-3.5831,-0.6039
2016-03,5.341,5.2168
2016-04,13.7539,3.9893
2016-05,14.1347,4.6886
2016-06,4.7815,4.1237
2016-07,12.3817,7.1795
2016-08,17.7925,6.3603
2016-09,18.2967,5.6281
2016-10,23.8683,3.196
2016-11,45.3955,6.7601
2016-12,47.36,8.3626
2017-01,42.633,10.2536
2017-02,46.4112,13.6522
2017-03,32.8527,12.7005
2017-04,25.672,12.9818
2017-05,20.4491,13.693
2017-06,30.9865,13.5288
2017-07,32.7946,15.0481
2017-08,28.2035,14.5515
2017-09,36.4556,16.1037
2017-10,39.1429,17.9557
2017-11,44.9795,20.6805
2017-12,42.9306,21.3029
2018-01,55.8546,28.0338
2018-02,53.1895,22.1441
2018-03,45.8659,18.3021
2018-04,50.6408,18.0902
2018-05,37.1185,20.2208
2018-06,28.2067,20.3415
2018-07,31.1003,23.8746
2018-08,29.3223,27.0072
2018-09,23.4792,27.7347
2018-10,18.6331,18.1437
2018-11,22.132,19.7418
2018-12,3.2878,8.5778
2019-01,17.5844,17.1263
2019-02,20.3556,20.3748
2019-03,10.4732,22.0514
2019-04,25.7178,26.2651
2019-05,14.9757,17.5943
2019-06,21.6484,25.308
2019-07,28.784,26.4355
2019-08,14.1869,23.7232
2019-09,19.2354,26.1617
2019-10,26.2432,28.2707
2019-11,30.359,32.1761
2019-12,33.0391,35.3247
2020-01,23.208,35.2749
2020-02,5.1521,23.5454
2020-03,-34.9681,7.7105
2020-04,-16.7838,21.425
2020-05,-13.1941,26.7132
2020-06,-12.2563,28.4357
2020-07,-9.2245,35.3124
2020-08,-5.3635,43.9511
2020-09,-2.2604,37.6938
2020-10,7.8484,33.4637
2020-11,17.4462,47.2943
2020-12,28.5996,51.8455
2021-01,34.8808,50.305
2021-02,60.88,53.4604
2021-03,73.6672,59.4101
2021-04,86.5333,66.6882
2021-05,92.3377,66.6274
2021-06,74.2836,69.2184
2021-07,64.2143,72.1455
2021-08,74.7153,75.992
2021-09,90.8408,66.6118
2021-10,94.1647,77.1553
2021-11,86.547,74.6519
2021-12,92.6924,81.397
2022-01,95.9451,70.7122
2022-02,108.4476,64.6001
2022-03,87.4924,69.8532
2022-04,62.4469,54.0273
2022-05,69.7155,53.6333
2022-06,45.0896,40.2902
2022-07,46.666,52.5094
2022-08,46.1478,45.531
2022-09,37.6045,31.5965
2022-10,53.0069,41.7445
2022-11,55.1578,48.9584
2022-12,40.7813,39.838
2023-01,55.56,48.5632
2023-02,54.8411,44.2258
2023-03,14.5333,48.9578
2023-04,12.4738,50.6836
2023-05,4.0587,50.7741
2023-06,13.7021,59.884
2023-07,25.9816,64.3798
2023-08,14.6677,60.953
2023-09,10.7173,52.6248
2023-10,3.592,48.7132
2023-11,26.4293,61.6976
2023-12,51.7057,68.3392
2024-01,50.6173,71.0275
2024-02,50.5094,79.0476
2024-03,63.9987,83.99
2024-04,60.027,75.7344
2024-05,63.546,83.6813
2024-06,60.35,89.2836
2024-07,85.3138,90.5002
2024-08,85.9758,94.0822
2024-09,88.2408,98.2932
2024-10,91.0431,95.412
2024-11,109.1719,105.8418
2024-12,84.6458,99.9875
2025-01,93.4328,105.351
2025-02,88.8708,101.7087
2025-03,71.1232,89.4719
2025-04,56.2511,87.0451
2025-05,65.4364,97.8575
2025-06,79.0803,107.0685
2025-07,80.1355,110.7404
2025-08,97.5028,114.0337
2025-09,93.965,121.6081
2025-10,80.3815,125.7153
2025-11,87.5688,125.0226
2025-12,102.8583,124.0393
2026-01,117.5087,127.2713
2026-02,144.0793,125.3185
