Date,rate_ROL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.8212,-1.8027
2016-03,0.9349,4.5695
2016-04,-0.4457,3.6217
2016-05,5.375,4.6859
2016-06,7.5195,4.2011
2016-07,2.511,7.3141
2016-08,3.3516,6.5393
2016-09,5.6754,5.8417
2016-10,10.6245,3.4057
2016-11,14.4,7.0013
2016-12,18.9381,8.6582
2017-01,22.622,9.9058
2017-02,25.5201,13.4199
2017-03,25.6788,12.5861
2017-04,29.7499,12.9516
2017-05,41.9007,13.7442
2017-06,31.9983,14.6714
2017-07,38.9478,16.2352
2017-08,40.1479,15.7466
2017-09,43.6115,17.3266
2017-10,34.7904,19.2474
2017-11,40.6963,22.0133
2017-12,39.5085,22.6523
2018-01,46.2506,28.4864
2018-02,47.2057,22.6807
2018-03,47.7174,18.8927
2018-04,38.8377,18.6249
2018-05,41.015,20.8091
2018-06,47.5081,20.9812
2018-07,52.5226,24.5763
2018-08,64.9194,27.7899
2018-09,64.6051,27.6747
2018-10,58.7951,18.1983
2018-11,68.6972,19.8597
2018-12,42.1138,8.8011
2019-01,45.4226,17.1215
2019-02,53.5762,20.4441
2019-03,59.7096,22.1999
2019-04,46.9913,26.5012
2019-05,41.7969,17.9266
2019-06,34.4362,25.7011
2019-07,24.9048,26.9004
2019-08,21.7024,24.2426
2019-09,25.87,26.142
2019-10,40.1933,28.3311
2019-11,31.6186,32.3256
2019-12,21.1408,35.5485
2020-01,38.1293,34.7719
2020-02,35.5225,23.2511
2020-03,30.1494,7.5779
2020-04,43.4553,21.2186
2020-05,49.0474,26.5774
2020-06,50.2095,28.3766
2020-07,84.5035,35.3325
2020-08,92.5552,44.0777
2020-09,87.6264,37.914
2020-10,98.6896,33.7633
2020-11,95.4513,47.7098
2020-12,98.6725,52.3667
2021-01,81.6799,49.9654
2021-02,66.0946,53.2453
2021-03,71.2168,60.4049
2021-04,84.2074,67.83
2021-05,67.2711,67.8968
2021-06,66.803,70.6358
2021-07,85.7916,73.7106
2021-08,87.368,77.7187
2021-09,68.9478,68.3779
2021-10,67.4758,79.119
2021-11,58.2061,76.6949
2021-12,61.8899,83.6042
2022-01,45.2362,72.9303
2022-02,53.4227,66.8181
2022-03,63.9968,72.1992
2022-04,56.1401,56.2223
2022-05,64.7634,55.8933
2022-06,61.461,42.4002
2022-07,77.4609,54.8512
2022-08,54.9389,47.8158
2022-09,58.4407,33.7039
2022-10,91.3619,44.0824
2022-11,83.4355,51.4429
2022-12,64.8614,42.1877
2023-01,63.4701,50.5828
2023-02,57.9538,46.2373
2023-03,67.7239,52.2586
2023-04,87.9368,54.0684
2023-05,74.5923,54.1996
2023-06,89.2235,63.548
2023-07,79.4584,68.1942
2023-08,73.66,64.7317
2023-09,63.0967,56.2636
2023-10,63.6429,52.2886
2023-11,77.1881,65.5989
2023-12,89.0518,72.448
2024-01,86.5839,74.4576
2024-02,89.5776,82.7177
2024-03,98.0881,89.0282
2024-04,89.8381,80.6052
2024-05,94.3702,88.8335
2024-06,106.5616,96.0415
2024-07,101.8316,97.3583
2024-08,111.0039,101.128
2024-09,111.6186,105.7758
2024-10,96.2552,102.865
2024-11,109.2453,113.7798
2024-12,91.775,107.7813
2025-01,103.9001,112.3595
2025-02,115.4727,108.6721
2025-03,121.1409,96.0839
2025-04,132.6727,93.6359
2025-05,132.6698,104.9003
2025-06,128.1512,114.5225
2025-07,130.4518,118.4064
2025-08,127.0594,121.8959
2025-09,134.7614,128.6764
2025-10,129.136,133.0211
2025-11,144.0857,132.409
2025-12,137.1272,131.4906
2026-01,149.0407,133.7386
2026-02,138.2379,130.7823
2026-03,118.3941,126.4154
