Date,rate_ASML_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.3723,-1.8027
2016-03,9.9869,4.5695
2016-04,3.4646,3.6217
2016-05,7.5661,4.6859
2016-06,5.5176,4.2011
2016-07,15.6952,7.3141
2016-08,10.5772,6.5393
2016-09,12.3936,5.8417
2016-10,7.1544,3.4057
2016-11,4.1557,7.0013
2016-12,13.2417,8.6582
2017-01,21.3528,9.9058
2017-02,20.1183,13.4199
2017-03,29.4957,12.5861
2017-04,30.4934,12.9516
2017-05,28.7606,13.7442
2017-06,25.4666,14.6714
2017-07,43.0928,16.2352
2017-08,46.5083,15.7466
2017-09,57.9506,17.3266
2017-10,63.9546,19.2474
2017-11,56.5213,22.0133
2017-12,52.7557,22.6523
2018-01,75.8221,28.4864
2018-02,66.5008,22.6807
2018-03,66.7553,18.8927
2018-04,60.2823,18.6249
2018-05,64.9463,20.8091
2018-06,63.7807,20.9812
2018-07,74.8057,24.5763
2018-08,65.2815,27.7899
2018-09,49.7823,27.6747
2018-10,35.9901,18.1983
2018-11,34.1162,19.8597
2018-12,20.9775,8.8011
2019-01,35.4136,17.1215
2019-02,40.4412,20.4441
2019-03,43.3142,22.1999
2019-04,63.2616,26.5012
2019-05,45.7436,17.9266
2019-06,59.8958,25.7011
2019-07,69.7365,26.9004
2019-08,68.0137,24.2426
2019-09,85.7734,26.142
2019-10,93.9503,28.3311
2019-11,99.0651,32.3256
2019-12,115.4101,35.5485
2020-01,102.0783,34.7719
2020-02,97.224,23.2511
2020-03,84.7098,7.5779
2020-04,104.9328,21.2186
2020-05,132.0373,26.5774
2020-06,156.4289,28.3766
2020-07,143.7518,35.3325
2020-08,155.1048,44.0777
2020-09,149.0085,37.914
2020-10,141.0318,33.7633
2020-11,190.0129,47.7098
2020-12,219.448,52.3667
2021-01,245.8461,49.9654
2021-02,262.8481,53.2453
2021-03,290.3812,60.4049
2021-04,304.9781,67.83
2021-05,318.3244,67.8968
2021-06,322.8969,70.6358
2021-07,363.9912,73.7106
2021-08,398.2237,77.7187
2021-09,340.5733,68.3779
2021-10,375.3137,79.119
2021-11,358.8985,76.6949
2021-12,356.5276,83.6042
2022-01,284.1891,72.9303
2022-02,274.3483,66.8181
2022-03,271.5655,72.1992
2022-04,210.7049,56.2223
2022-05,216.9235,55.8933
2022-06,159.5105,42.4002
2022-07,210.8297,54.8512
2022-08,163.6203,47.8158
2022-09,121.8925,33.7039
2022-10,150.6116,44.0824
2022-11,220.7771,51.4429
2022-12,185.8805,42.1877
2023-01,243.0677,50.5828
2023-02,218.8211,46.2373
2023-03,248.5284,52.2586
2023-04,223.4805,54.0684
2023-05,265.327,54.1996
2023-06,263.2818,63.548
2023-07,256.2464,68.1942
2023-08,226.6844,64.7317
2023-09,189.0028,56.2636
2023-10,191.9373,52.2886
2023-11,231.768,65.5989
2023-12,264.544,72.448
2024-01,315.7064,74.4576
2024-02,351.9587,82.7177
2024-03,357.1678,89.0282
2024-04,310.4317,80.6052
2024-05,348.4151,88.8335
2024-06,373.8653,96.0415
2024-07,331.4725,97.3583
2024-08,313.392,101.128
2024-09,278.3929,105.7758
2024-10,204.2004,102.865
2024-11,208.5922,113.7798
2024-12,209.548,107.7813
2025-01,228.1111,112.3595
2025-02,213.4272,108.6721
2025-03,191.124,96.0839
2025-04,192.7012,93.6359
2025-05,220.9061,104.9003
2025-06,246.9138,114.5225
2025-07,199.7438,118.4064
2025-08,218.5605,121.8959
2025-09,312.662,128.6764
2025-10,349.3121,133.0211
2025-11,346.6999,132.409
2025-12,347.912,131.4906
2026-01,491.8378,133.7386
2026-02,499.17,130.7823
2026-03,458.389,127.7382
