Date,rate_DOGE-USD_5D,rate_VOO_20D
2017-11,0.0,0.0
2017-12,425.4514,3.7241
2018-01,157.1727,9.5581
2018-02,123.0477,3.7524
2018-03,-7.2895,-0.0356
2018-04,74.6374,-0.3034
2018-05,7.0998,1.8808
2018-06,-21.9286,2.0529
2018-07,-5.089,5.648
2018-08,54.1595,8.8616
2018-09,81.1842,8.7465
2018-10,11.1644,-0.7299
2018-11,-36.5265,0.9314
2018-12,-28.6933,-10.1272
2019-01,-40.0071,-1.8067
2019-02,-35.8236,1.5158
2019-03,-30.2888,3.2716
2019-04,-14.8027,7.573
2019-05,17.666,-1.0016
2019-06,10.6077,6.7728
2019-07,-1.9925,7.9722
2019-08,-15.0951,5.3144
2019-09,-18.6276,7.2137
2019-10,-10.0163,9.4029
2019-11,-19.8209,13.3973
2019-12,-29.1924,16.6203
2020-01,-15.166,15.8436
2020-02,-20.3265,4.3228
2020-03,-34.9035,-11.3504
2020-04,-10.7864,2.2903
2020-05,-6.4059,7.6491
2020-06,-14.922,9.4484
2020-07,18.7946,16.4043
2020-08,17.7262,25.1495
2020-09,-4.2949,18.9858
2020-10,-6.1264,14.8351
2020-11,29.5859,28.7815
2020-12,70.0254,33.4384
2021-01,1232.2124,31.0371
2021-02,1581.4206,34.3171
2021-03,1734.33,41.4766
2021-04,11177.6139,48.9017
2021-05,10533.8143,48.9685
2021-06,8010.1043,51.7075
2021-07,6399.9736,54.7824
2021-08,8402.5509,58.7905
2021-09,6005.3921,49.4496
2021-10,8105.2876,60.1907
2021-11,6059.9956,57.7666
2021-12,4695.2096,64.6759
2022-01,3811.6957,54.002
2022-02,3504.2776,47.8898
2022-03,3562.2332,53.271
2022-04,3228.2841,37.2941
2022-05,2100.9081,36.965
2022-06,1565.1592,23.4719
2022-07,1591.8665,35.9229
2022-08,1395.1797,28.8875
2022-09,1379.2535,14.7756
2022-10,2900.352,25.1541
2022-11,2383.8983,32.5146
2022-12,1508.7394,23.2595
2023-01,2068.068,31.6546
2023-02,1693.3828,27.309
2023-03,1586.0264,33.3304
2023-04,1620.8461,35.1402
2023-05,1424.2055,35.2714
2023-06,1294.5863,44.6198
2023-07,1510.4253,49.2659
2023-08,1202.344,45.8035
2023-09,1152.2805,37.3353
2023-10,1258.3152,33.3604
2023-11,1538.4178,46.6707
2023-12,1635.0326,53.5197
2024-01,1408.1721,55.5293
2024-02,2116.2275,63.7894
2024-03,4009.8069,70.0999
2024-04,2358.898,61.6769
2024-05,2799.2613,69.9052
2024-06,2137.3669,77.1132
2024-07,2070.2405,78.4301
2024-08,1681.4467,82.1998
2024-09,1888.874,86.8475
2024-10,2673.1712,83.9368
2024-11,7069.1986,94.8516
2024-12,5201.849,88.853
2025-01,5358.674,93.4313
2025-02,3216.358,89.7438
2025-03,2607.729,77.1556
2025-04,2669.0842,74.7076
2025-05,2961.4316,85.9721
2025-06,2497.5765,95.5942
2025-07,3167.1919,99.4781
2025-08,3194.2772,102.9676
2025-09,3451.7839,109.7481
2025-10,2714.2758,114.0929
2025-11,2092.027,113.4807
2025-12,1636.0207,112.5623
2026-01,1589.899,114.8103
2026-02,1254.0772,111.8541
2026-03,1260.5007,98.7324
