Date,rate_TRMB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,20.0005,-0.6039
2016-03,18.8979,5.2168
2016-04,9.9094,3.9893
2016-05,15.1788,4.6886
2016-06,7.2044,4.1237
2016-07,15.0239,7.1795
2016-08,16.9862,6.3603
2016-09,19.9273,5.6281
2016-10,14.1575,3.196
2016-11,15.2921,6.7601
2016-12,22.0539,8.3626
2017-01,19.9118,10.2536
2017-02,23.9705,13.6522
2017-03,25.8559,12.7005
2017-04,37.3999,12.9818
2017-05,37.2829,13.693
2017-06,33.6083,13.5288
2017-07,38.1871,15.0481
2017-08,40.6867,14.5515
2017-09,40.6688,16.1037
2017-10,44.385,17.9557
2017-11,46.2674,20.6805
2017-12,39.5958,21.3029
2018-01,51.4802,28.0338
2018-02,28.4075,22.1441
2018-03,20.4263,18.3021
2018-04,15.457,18.0902
2018-05,9.7554,20.2208
2018-06,8.5225,20.3415
2018-07,16.3481,23.8746
2018-08,38.0959,27.0072
2018-09,42.5567,27.7347
2018-10,21.434,18.1437
2018-11,22.7926,19.7418
2018-12,5.5803,8.5778
2019-01,20.8091,17.1263
2019-02,27.6558,20.3748
2019-03,28.0541,22.0514
2019-04,28.5443,26.2651
2019-05,24.9041,17.5943
2019-06,40.4486,25.308
2019-07,30.5646,26.4355
2019-08,15.479,23.7232
2019-09,19.449,26.1617
2019-10,22.1864,28.2707
2019-11,23.695,32.1761
2019-12,26.6629,35.3247
2020-01,29.1838,35.2749
2020-02,19.2753,23.5454
2020-03,-4.2461,7.7105
2020-04,4.4799,21.425
2020-05,18.0369,26.7132
2020-06,29.8306,28.4357
2020-07,33.1821,35.3124
2020-08,55.9735,43.9511
2020-09,43.8758,37.6938
2020-10,41.3415,33.4637
2020-11,74.7042,47.2943
2020-12,93.2452,51.8455
2021-01,90.7576,50.305
2021-02,112.6465,53.4604
2021-03,120.9099,59.4101
2021-04,130.5504,66.6882
2021-05,116.5923,66.6274
2021-06,125.7342,69.2184
2021-07,133.6432,72.1455
2021-08,155.0489,75.992
2021-09,120.4801,66.6118
2021-10,132.1201,77.1553
2021-11,126.1006,74.6519
2021-12,127.6334,81.397
2022-01,86.805,70.7122
2022-02,79.2906,64.6001
2022-03,84.2406,69.8532
2022-04,69.2023,54.0273
2022-05,71.5993,53.6333
2022-06,45.9948,40.2902
2022-07,73.3081,52.5094
2022-08,56.9602,45.531
2022-09,34.0225,31.5965
2022-10,48.0047,41.7445
2022-11,46.3685,48.9584
2022-12,23.3153,39.838
2023-01,41.6075,48.5632
2023-02,26.4549,44.2258
2023-03,26.979,48.9578
2023-04,13.8037,50.6836
2023-05,12.5948,50.7741
2023-06,27.4961,59.884
2023-07,29.2412,64.3798
2023-08,31.2645,60.953
2023-09,28.6641,52.6248
2023-10,12.3128,48.7132
2023-11,10.5965,61.6976
2023-12,26.6284,68.3392
2024-01,21.0603,71.0275
2024-02,45.3104,79.0476
2024-03,52.2796,83.99
2024-04,41.6083,75.7344
2024-05,30.8615,83.6813
2024-06,31.1098,89.2836
2024-07,27.5511,90.5002
2024-08,32.3138,94.0822
2024-09,44.9157,98.2932
2024-10,40.766,95.412
2024-11,69.2414,105.8418
2024-12,63.1939,99.9875
2025-01,73.1234,105.351
2025-02,65.5399,101.7087
2025-03,50.4118,89.4719
2025-04,41.8979,87.0451
2025-05,62.2601,97.8575
2025-06,72.3388,107.0685
2025-07,89.4984,110.7404
2025-08,81.7524,114.0337
2025-09,83.6188,121.6081
2025-10,78.5973,125.7153
2025-11,81.584,125.0226
2025-12,74.0048,124.0393
2026-01,50.1358,127.2713
2026-02,32.3937,125.3185
