Date,rate_OXY_5D,rate_VOO_20D
2016-01,1.9846,-3.28
2016-02,2.8444,-1.8027
2016-03,1.6054,4.5695
2016-04,13.4128,3.6217
2016-05,8.9868,4.6859
2016-06,8.7208,4.2011
2016-07,6.2775,7.3141
2016-08,8.6857,6.5393
2016-09,3.2834,5.8417
2016-10,2.9395,3.4057
2016-11,0.9856,7.0013
2016-12,1.8007,8.6582
2017-01,-3.2632,9.9058
2017-02,-6.1849,13.4199
2017-03,-7.8916,12.5861
2017-04,-10.05,12.9516
2017-05,-13.2256,13.7442
2017-06,-10.1192,14.6714
2017-07,-6.4871,16.2352
2017-08,-9.4982,15.7466
2017-09,1.3096,17.3266
2017-10,1.8126,19.2474
2017-11,10.9831,22.0133
2017-12,19.0874,22.6523
2018-01,20.4212,28.4864
2018-02,4.6592,22.6807
2018-03,4.6913,18.8927
2018-04,24.2901,18.6249
2018-05,34.5629,20.8091
2018-06,36.206,20.9812
2018-07,35.4368,24.5763
2018-08,27.8943,27.7899
2018-09,34.4165,27.6747
2018-10,8.8533,18.1983
2018-11,13.7148,19.8597
2018-12,2.7808,8.8011
2019-01,11.7213,17.1215
2019-02,10.3135,20.4441
2019-03,13.9637,22.1999
2019-04,0.982,26.5012
2019-05,-14.5821,17.9266
2019-06,-9.3357,25.7011
2019-07,-7.1109,26.9004
2019-08,-21.2653,24.2426
2019-09,-17.5572,26.142
2019-10,-24.5069,28.3311
2019-11,-27.6827,32.3256
2019-12,-20.6391,35.5485
2020-01,-23.0992,34.7719
2020-02,-36.2064,23.2511
2020-03,-75.5576,7.5779
2020-04,-62.5415,21.2186
2020-05,-69.7043,26.5774
2020-06,-55.5693,28.3766
2020-07,-60.8203,35.3325
2020-08,-67.3897,44.0777
2020-09,-73.3983,37.914
2020-10,-74.5201,33.7633
2020-11,-53.9066,47.7098
2020-12,-48.3199,52.3667
2021-01,-39.2102,49.9654
2021-02,-18.5948,53.2453
2021-03,-18.3279,60.4049
2021-04,-21.9582,67.83
2021-05,-19.7687,67.8968
2021-06,-3.1816,70.6358
2021-07,-19.1861,73.7106
2021-08,-20.1762,77.7187
2021-09,-7.7275,68.3779
2021-10,4.6237,79.119
2021-11,-7.5691,76.6949
2021-12,-9.488,83.6042
2022-01,17.752,72.9303
2022-02,36.3334,66.8181
2022-03,76.5148,72.1992
2022-04,70.3662,56.2223
2022-05,113.1649,55.8933
2022-06,80.2527,42.4002
2022-07,100.0833,54.8512
2022-08,114.7106,47.8158
2022-09,85.8368,33.7039
2022-10,118.2931,44.0824
2022-11,107.5625,51.4429
2022-12,88.1671,42.1877
2023-01,92.4715,50.5828
2023-02,73.0272,46.2373
2023-03,84.0639,52.2586
2023-04,80.4704,54.0684
2023-05,68.2848,54.1996
2023-06,71.3497,63.548
2023-07,83.1173,68.1942
2023-08,81.2415,64.7317
2023-09,86.8539,56.2636
2023-10,77.1373,52.2886
2023-11,68.7505,65.5989
2023-12,70.1405,72.448
2024-01,63.3498,74.4576
2024-02,71.2943,82.7177
2024-03,83.4978,89.0282
2024-04,85.858,80.6052
2024-05,74.857,88.8335
2024-06,76.2113,96.0415
2024-07,69.3272,97.3583
2024-08,58.0428,101.128
2024-09,43.0728,105.7758
2024-10,38.6617,102.865
2024-11,39.6067,113.7798
2024-12,36.6265,107.7813
2025-01,28.6834,112.3595
2025-02,34.4451,108.6721
2025-03,36.2202,96.0839
2025-04,8.5301,93.6359
2025-05,12.1974,104.9003
2025-06,16.1264,114.5225
2025-07,21.277,118.4064
2025-08,31.2092,121.8959
2025-09,30.6126,128.6764
2025-10,13.6644,133.0211
2025-11,15.7519,132.409
2025-12,13.8537,131.4906
2026-01,25.5392,133.7386
2026-02,46.5467,130.7823
2026-03,49.2771,129.7769
