Date,rate_DRI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.3617,-0.6039
2016-03,3.6062,5.2168
2016-04,-3.1123,3.9893
2016-05,5.5664,4.6886
2016-06,-2.2303,4.1237
2016-07,-3.7883,7.1795
2016-08,-3.285,6.3603
2016-09,-3.5208,5.6281
2016-10,3.1029,3.196
2016-11,16.3019,6.7601
2016-12,13.7288,8.3626
2017-01,15.4741,10.2536
2017-02,16.5444,13.6522
2017-03,29.1745,12.7005
2017-04,30.3947,12.9818
2017-05,34.0579,13.693
2017-06,34.1886,13.5288
2017-07,23.5419,15.0481
2017-08,19.6107,14.5515
2017-09,13.8494,16.1037
2017-10,19.0466,17.9557
2017-11,21.102,20.6805
2017-12,36.7592,21.3029
2018-01,37.4132,28.0338
2018-02,30.5772,22.1441
2018-03,19.6041,18.3021
2018-04,30.3578,18.0902
2018-05,21.6203,20.2208
2018-06,47.8769,20.3415
2018-07,46.991,23.8746
2018-08,57.7654,27.0072
2018-09,51.1856,27.7347
2018-10,44.3477,18.1437
2018-11,48.3546,19.7418
2018-12,32.7124,8.5778
2019-01,40.4371,17.1263
2019-02,48.7499,20.3748
2019-03,59.6562,22.0514
2019-04,53.9517,26.2651
2019-05,50.8809,17.5943
2019-06,56.4726,25.308
2019-07,55.918,26.4355
2019-08,53.7857,23.7232
2019-09,50.2805,26.1617
2019-10,42.6855,28.2707
2019-11,49.4262,32.1761
2019-12,36.4474,35.3247
2020-01,46.832,35.2749
2020-02,22.1307,23.5454
2020-03,-32.0615,7.7105
2020-04,-6.4732,21.425
2020-05,-2.3289,26.7132
2020-06,-3.7094,28.4357
2020-07,-3.489,35.3124
2020-08,10.3072,43.9511
2020-09,27.9351,37.6938
2020-10,16.5435,33.4637
2020-11,36.5244,47.2943
2020-12,49.8041,51.8455
2021-01,47.4654,50.305
2021-02,72.1523,53.4604
2021-03,76.6382,59.4101
2021-04,82.1635,66.6882
2021-05,76.4769,66.6274
2021-06,78.6153,69.2184
2021-07,78.4722,72.1455
2021-08,82.9218,75.992
2021-09,82.5579,66.6118
2021-10,73.751,77.1553
2021-11,65.113,74.6519
2021-12,79.21,81.397
2022-01,66.6065,70.7122
2022-02,71.9297,64.6001
2022-03,56.4843,69.8532
2022-04,55.551,54.0273
2022-05,46.8198,53.6333
2022-06,32.2776,40.2902
2022-07,46.451,52.5094
2022-08,44.8828,45.531
2022-09,47.2858,31.5965
2022-10,67.5731,41.7445
2022-11,71.1508,48.9584
2022-12,60.2115,39.838
2023-01,72.7665,48.5632
2023-02,66.0586,44.2258
2023-03,79.2597,48.9578
2023-04,75.9528,50.6836
2023-05,82.6043,50.7741
2023-06,91.3698,59.884
2023-07,93.8467,64.3798
2023-08,77.4621,60.953
2023-09,62.6066,52.6248
2023-10,65.971,48.7132
2023-11,77.6092,61.6976
2023-12,85.5338,68.3392
2024-01,85.0711,71.0275
2024-02,93.2278,79.0476
2024-03,88.1753,83.99
2024-04,73.2814,75.7344
2024-05,69.1152,83.6813
2024-06,69.4017,89.2836
2024-07,64.6345,90.5002
2024-08,77.2411,94.0822
2024-09,83.9388,98.2932
2024-10,80.0388,95.412
2024-11,97.3999,105.8418
2024-12,108.0378,99.9875
2025-01,119.1249,105.351
2025-02,123.6891,101.7087
2025-03,130.5657,89.4719
2025-04,122.95,87.0451
2025-05,136.7354,97.8575
2025-06,139.5221,107.0685
2025-07,122.0012,110.7404
2025-08,126.5711,114.0337
2025-09,108.4278,121.6081
2025-10,97.9084,125.7153
2025-11,96.3954,125.0226
2025-12,100.3555,124.0393
2026-01,118.6659,127.2713
2026-02,165.8617,125.3185
