Date,rate_NLR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.3959,-1.8027
2016-03,7.5297,4.5695
2016-04,3.7612,3.6217
2016-05,2.8159,4.6859
2016-06,7.3077,4.2011
2016-07,6.6948,7.3141
2016-08,1.6386,6.5393
2016-09,2.166,5.8417
2016-10,1.0085,3.4057
2016-11,-1.6343,7.0013
2016-12,3.2641,8.6582
2017-01,2.7934,9.9058
2017-02,5.9547,13.4199
2017-03,7.3128,12.5861
2017-04,6.4055,12.9516
2017-05,10.1461,13.7442
2017-06,7.1381,14.6714
2017-07,8.9045,16.2352
2017-08,12.5683,15.7466
2017-09,7.6223,17.3266
2017-10,12.4933,19.2474
2017-11,13.2909,22.0133
2017-12,6.9317,22.6523
2018-01,5.8259,28.4864
2018-02,3.4108,22.6807
2018-03,5.3392,18.8927
2018-04,10.8094,18.6249
2018-05,8.4116,20.8091
2018-06,9.629,20.9812
2018-07,11.246,24.5763
2018-08,11.81,27.7899
2018-09,12.4519,27.6747
2018-10,10.1928,18.1983
2018-11,10.4261,19.8597
2018-12,8.8613,8.8011
2019-01,11.1791,17.1215
2019-02,13.1784,20.4441
2019-03,12.8818,22.1999
2019-04,11.1435,26.5012
2019-05,6.2813,17.9266
2019-06,10.2178,25.7011
2019-07,7.0178,26.9004
2019-08,6.0564,24.2426
2019-09,7.3846,26.142
2019-10,5.2743,28.3311
2019-11,3.5881,32.3256
2019-12,6.8983,35.5485
2020-01,9.2999,34.7719
2020-02,1.7993,23.2511
2020-03,-13.4005,7.5779
2020-04,-6.1976,21.2186
2020-05,-1.8523,26.5774
2020-06,-6.2241,28.3766
2020-07,-2.0531,35.3325
2020-08,-1.3108,44.0777
2020-09,-1.5385,37.914
2020-10,-0.1127,33.7633
2020-11,6.7081,47.7098
2020-12,10.9635,52.3667
2021-01,9.1169,49.9654
2021-02,7.1095,53.2453
2021-03,17.7122,60.4049
2021-04,19.8716,67.83
2021-05,21.6865,67.8968
2021-06,16.8567,70.6358
2021-07,15.3931,73.7106
2021-08,19.4439,77.7187
2021-09,17.3341,68.3779
2021-10,22.4965,79.119
2021-11,18.5814,76.6949
2021-12,22.7936,83.6042
2022-01,18.8618,72.9303
2022-02,20.5473,66.8181
2022-03,26.5104,72.1992
2022-04,22.5535,56.2223
2022-05,25.3349,55.8933
2022-06,15.4218,42.4002
2022-07,22.5556,54.8512
2022-08,23.999,47.8158
2022-09,13.3641,33.7039
2022-10,17.7543,44.0824
2022-11,24.7213,51.4429
2022-12,22.205,42.1877
2023-01,29.0859,50.5828
2023-02,22.5803,46.2373
2023-03,22.8282,52.2586
2023-04,24.8824,54.0684
2023-05,20.2827,54.1996
2023-06,30.4786,63.548
2023-07,34.4539,68.1942
2023-08,40.4594,64.7317
2023-09,54.2575,56.2636
2023-10,51.6866,52.2886
2023-11,59.7844,65.5989
2023-12,61.3897,72.448
2024-01,69.841,74.4576
2024-02,63.067,82.7177
2024-03,68.8021,89.0282
2024-04,69.8083,80.6052
2024-05,91.1982,88.8335
2024-06,75.3822,96.0415
2024-07,72.3124,97.3583
2024-08,64.399,101.128
2024-09,81.0897,105.7758
2024-10,96.3242,102.865
2024-11,104.8572,113.7798
2024-12,75.2283,107.7813
2025-01,91.7748,112.3595
2025-02,69.4456,108.6721
2025-03,55.9727,96.0839
2025-04,67.4824,93.6359
2025-05,105.4243,104.9003
2025-06,133.9153,114.5225
2025-07,139.934,118.4064
2025-08,147.3456,121.8959
2025-09,181.141,128.6764
2025-10,219.6652,133.0211
2025-11,166.376,132.409
2025-12,159.6818,131.4906
2026-01,209.2994,133.7386
2026-02,206.695,130.7823
2026-03,174.0086,117.6098
2026-04,198.7359,139.3863
2026-05,171.3812,150.8374
2026-06,134.964,146.5232
2026-07,115.465,145.3136
