Date,rate_MCHP_5D,rate_VOO_20D
2016-01,3.8069,1.4254
2016-02,0.3736,0.6142
2016-03,7.8938,6.1243
2016-04,6.053,4.6014
2016-05,12.45,5.2878
2016-06,7.7356,4.687
2016-07,14.9618,7.7174
2016-08,25.4084,6.8637
2016-09,23.1811,5.9421
2016-10,17.7613,3.4868
2016-11,27.7072,6.843
2016-12,21.6758,8.2789
2017-01,25.8802,9.3935
2017-02,34.0909,12.821
2017-03,33.9926,12.0413
2017-04,35.0239,12.4367
2017-05,48.4804,13.2406
2017-06,35.4843,14.1802
2017-07,38.3924,15.6892
2017-08,48.4074,15.2834
2017-09,51.1324,16.8657
2017-10,57.0301,18.7799
2017-11,42.7513,21.509
2017-12,42.3604,22.1709
2018-01,52.283,27.9258
2018-02,41.4403,22.2578
2018-03,48.9701,18.4465
2018-04,37.5839,18.162
2018-05,60.4038,20.337
2018-06,47.7817,20.5057
2018-07,50.1375,24.0401
2018-08,37.335,27.2093
2018-09,24.9284,27.1082
2018-10,3.8736,17.9327
2018-11,18.6847,19.5577
2018-12,9.2357,8.5722
2019-01,21.7926,16.8959
2019-02,31.5182,20.2219
2019-03,23.0474,21.9603
2019-04,42.0433,26.2654
2019-05,13.95,20.4953
2019-06,23.0703,25.3574
2019-07,33.3207,26.514
2019-08,22.1916,24.0717
2019-09,28.3921,25.9454
2019-10,28.7385,27.4086
2019-11,28.8989,31.384
2019-12,42.1095,34.5804
2020-01,31.4033,33.8021
2020-02,35.3062,22.3336
2020-03,16.7033,15.1867
2020-04,50.7702,29.6272
2020-05,42.9172,28.2305
2020-06,46.8699,28.0341
2020-07,40.4259,33.4885
2020-08,47.637,42.106
2020-09,42.8514,38.2475
2020-10,45.9848,34.0563
2020-11,67.563,42.9575
2020-12,73.011,47.5016
2021-01,76.4122,45.1166
2021-02,88.6129,43.0879
2021-03,93.789,49.8512
2021-04,86.1669,56.911
2021-05,93.5724,54.6413
2021-06,83.342,57.2758
2021-07,74.0648,60.2291
2021-08,90.7096,64.0213
2021-09,78.2533,55.5224
2021-10,74.5208,65.5435
2021-11,97.2588,65.5034
2021-12,96.4904,68.4598
2022-01,83.2196,58.7763
2022-02,67.713,53.2596
2022-03,78.2197,58.2953
2022-04,53.3982,52.2757
2022-05,70.8251,51.0659
2022-06,49.109,38.0304
2022-07,76.0744,50.1558
2022-08,66.7009,43.3725
2022-09,57.9805,29.6913
2022-10,52.5563,39.7003
2022-11,88.6117,46.8631
2022-12,83.1837,40.5677
2023-01,100.4171,48.7988
2023-02,111.7135,45.5387
2023-03,106.6957,49.6635
2023-04,83.056,48.4614
2023-05,85.5255,48.1923
2023-06,119.6258,57.2072
2023-07,123.3069,61.7125
2023-08,99.1318,59.5229
2023-09,88.8867,51.3631
2023-10,71.6633,47.5518
2023-11,101.0161,60.474
2023-12,116.0661,67.125
2024-01,102.9632,69.1001
2024-02,100.5185,77.1309
2024-03,112.6737,83.2841
2024-04,98.7712,75.177
2024-05,110.1049,83.1784
2024-06,96.7639,90.182
2024-07,89.8517,90.9416
2024-08,90.3985,97.1965
2024-09,83.7564,98.31
2024-10,67.2246,95.5089
2024-11,58.0173,105.9957
2024-12,32.4823,100.2436
2025-01,25.1536,104.6582
2025-02,36.435,101.1287
2025-03,29.4521,89.045
2025-04,48.5511,88.6819
2025-05,87.9818,99.6712
2025-06,114.538,109.046
2025-07,111.8058,112.823
2025-08,110.7818,112.1707
2025-09,107.3043,118.6779
2025-10,100.5854,122.8639
2025-11,73.0965,122.3204
2025-12,105.1323,121.4705
2026-01,131.0968,123.6468
2026-02,126.706,120.852
